product_id,bm_number,product_name,product_dsc,category_name,brand_name
3700,BM1A5Z9,Flagging Tape Fluorescent Red 150 Ft,,Warning Tapes,Legacy Brand
3707,BM1A7H1,Cotter Pin Hairpin 0.091X2 Pk 25,,Accessories,Legacy Brand
3710,BM1A7S9,G2613 Overshoes Mens L Pull On Blk/Red Pvc Pr,,Plain Toe Boots and Shoes,Legacy Brand
3712,BM1A4O9,Reducer 'E/D' Iso50/40 Nickel Plated Brass - Crs-H Cap741104,,Accessories,Legacy Brand
3716,BM1A4O5,"Gasket, CAP225049 CAP225049",,Gaskets,Legacy Brand
3719,BM1A4B0,Reducer 'E/D' Iso40/32 Nickel Plated Brass - Crs-H Cap740834,,Accessories,Legacy Brand
3723,BM1A7T5,Rubber Cord Buna 4.5mm Dia 25 Ft,,Accessories,Legacy Brand
3727,BM1A4P2,Cxtm Monorail Hoist 5T (With 2 Disc Brakes),,Accessories,Legacy Brand
3730,BM1A7U1,Grease Gun Lever Handle 10 000 Psi,,Grease Guns and Accessories,Legacy Brand
3751,BM1A8O4,Padlock With Long Shackle - Key Different - Red Colour,,Padlocks,Legacy Brand
3752,BM1A8O5,Padlock With Long Shackle - Key Different - Blue Colour,,Padlocks,Legacy Brand
3753,BM1A8O6,Plsp De - Electric Padlock With Nylon Shackle - Key Different,,Padlocks,Legacy Brand
3761,BM1A3M3,Duct Sealing Compound Wt,,Valve Sealants,Legacy Brand
3764,BM1A6A8,H5935 Psa Disc Roll No Hole 6 In P500G Alo,,Accessories,Legacy Brand
3856,BM1A5I2,Digital Stop Watch - BM1A5I2,,Accessories,Legacy Brand
3765,BM1A7M6,H5935 Psa Disc Roll No Hole 6 In P120G Alo,,Accessories,Legacy Brand
3767,BM1A6A5,Knot Wire Cup Brush 2 3/4 In Dia Steel,,Scrub and Scratch Brushes,Legacy Brand
3768,BM1A7U3,Axial Fan 230Vac 8In H 8In W,,Tube Axial Fans,Legacy Brand
3776,BM1A7S7,G2613 Overshoe Men S Pull On Blk/White Pvc Pr,,Miscellaneous,Legacy Brand
3782,BM1A7S1,Mach Screw Button 10-24X1/2 L Pk50,,Miscellaneous Screws,Legacy Brand
3783,BM1A7Q3,Chart 10.313 In 0 To 100 7 Day Pk 100,,Accessories,Legacy Brand
3790,BM1A6P9,Lantern Battery Alkaline 6V Screw Term,,Specialty Batteries,Legacy Brand
3800,BM1A7L2,Anti-Vibration Gloves M Covert Black Pr,,Anti Vibration and Impact Resistant Gloves,Legacy Brand
3802,BM1A6E8,Paint Brush 1In. 6-3/4In,,Accessories,Legacy Brand
3809,BM1A8P9,Cut Resistant Hand Gloves - Nitrilon Flex. Item Code Gl-022-Midas,,Cut-Resistant Gloves,Legacy Brand
3810,BM1A8Q0,"Hand Gloves Frontier 75 Style:921C75 Item Code: Gl021, Midas Safety",,Coated Gloves,Legacy Brand
3798,BM1A7L3,Anti-Vibration Gloves Xl Covert Black Pr,,Anti Vibration and Impact Resistant Gloves,Legacy Brand
3813,BM1A8Q3,Racheting Type Safety Helmet - White,,Hard Hats,Legacy Brand
