Code,INSIDE SALES PERSON,Inquiry Number,BM #,Description,Company Alias,SO #,Order Date,AR Invoice #,AR Invoice Date,Qty,Selling Price (as per SO / AR Invoice),Total Landed Cost,Margin,Margin (in % ),Client Order #,Client Order Date,Unit Price,Freight,Tax Type,Tax Rate,Tax Amount,Gross Total Selling,Buying Rate,Buying Total,Invoice Value,Invoice Value With TAX,SO Month Code,NON-ONG / ONG,Price Currency,Document Rate,Magento Company Name,AR Month Code,Magento Supplier Name,Supplier PO #,AP Invoice #,Qty,AP Invoice Value (Not for Margin Calculation),Cost of Good Sold (viz. Sales Qty),Customs,International Freight,Domestic Inward Logistics,Domestic Warehouse,Domestic Outward Logistics,Outside Sales,Sales Manager,Product Category,OEM / NON OEM,MRO / ONG,Invoice #,Date,Invocie #,Date
BM0C7D3O-0001,Others,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD110259806147200000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7F5O-0001,Others,O-0001,BM0C7F5,"RETRACTABLE UTILITY KNIFE, 156mm - 6 1/8",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,250,245,5,2,OD211901514093312000,31-Mar-18,175,75,CGST,18,45,295,245,245,250,295,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,245,245,0,0,0,0,0,,,,,MRO,,,,
BM0C7F6O-0001,Others,O-0001,BM0C7F6,"Part # 84-475-22 - WIRE STRIPPER(CUTTER)-AWG12-22, 150mm-6 Make: Stanley",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,644.92,632,12.92,2,OD110049708820506000,31-Mar-18,609.92,35,CGST,18,116,761,632,632,644.92,761,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,632,632,0,0,0,0,0,,,,,MRO,,,,
BM0C7G1O-0001,Dipali Vasant Ghanvat,O-0001,BM0C7G1,Part # 54-111 - Ball Pein Hammer 340gms-12 Make: Stanley,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,279.66,274,5.66,2,OD212201019173436000,31-Mar-18,234.66,45,CGST,18,50,330,274,274,279.66,330,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,274,274,0,0,0,0,0,,,,,MRO,,,,
BM0C7Q4O-0001,Dipali Vasant Ghanvat,O-0001,BM0C7Q4,"STANLEY Combination Plier, Single Color Sleeve, 205mm/8 - 70-461",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,3,737.28,723,14.28,2,OD211546744235208000,31-Mar-18,200.76,135,CGST,18,133,870,241,723,737.28,870,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,3,723,723,0,0,0,0,0,,,,,MRO,,,,
BM0C7U2O-0001,Sheeba Shaikh,O-0001,BM0C7U2,"Part # 16-089 - WOOD CHISEL SET, 3 PCS Make: Stanley",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,529.66,519,10.66,2,OD211764025987385000,31-Mar-18,484.66,45,CGST,18,95,625,519,519,529.66,625,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,519,519,0,0,0,0,0,,,,,MRO,,,,
BM0C8W6O-0001,Sheeba Shaikh,O-0001,BM0C8W6,"Part # 70-965E - 23pc Comb Spanners Set(6-25,27,30,32mm) Make: Stanley",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,1903,1864,39,2,OD110716627715017000,31-Mar-18,1858,45,CGST,18,343,2246,1864,1864,1903,2246,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,1864,1864,0,0,0,0,0,,,,,MRO,,,,
BM0Q8U1O-0001,Komal Nagar,O-0001,BM0Q8U1,"STANLEY Essential Tool Box Metal Latch, Length 16""-BM0Q8U1",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,872.04,855,17.04,2,OD110991872767855000,31-Mar-18,772.04,100,CGST,18,157,1029,855,855,872.04,1029,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,855,855,0,0,0,0,0,,,,,MRO,,,,
BM0Q8U1O-0001,Others,O-0001,BM0Q8U1,"STANLEY Essential Tool Box Metal Latch, Length 16""-BM0Q8U1",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,753.38,855,-101.62,-13,OD211924872845612000,31-Mar-18,653.38,100,CGST,18,136,889,738,738,753.38,889,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,855,855,0,0,0,0,0,,,,,MRO,,,,
BM0Q8U1O-0001,Others,O-0001,BM0Q8U1,"STANLEY Essential Tool Box Metal Latch, Length 16""-BM0Q8U1",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,732.2,855,-122.8,-17,OD211954747827273000,31-Mar-18,657.2,75,CGST,18,132,864,718,718,732.2,864,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,855,855,0,0,0,0,0,,,,,MRO,,,,
BM0Q8X7O-0001,Others,O-0001,BM0Q8X7,"STANLEY Tough Case Tape, Width 13 mm, Length 3 Mtr - STHT36000-812-BM0Q8X7",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,250,245,5,2,OD211704622186203000,31-Mar-18,205,45,CGST,18,45,295,245,245,250,295,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,245,245,0,0,0,0,0,,,,,MRO,,,,
BM4K4E7O-0001,Others,O-0001,BM4K4E7,STANLEY Measuring Short Tape_Length 5 Mtr - STHT36127-812,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,237.28,233,4.28,2,OD212154074927416000,31-Mar-18,207.28,30,CGST,18,43,280,233,233,237.28,280,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,233,233,0,0,0,0,0,,,,,MRO,,,,
BM9J8U1O-0001,Others,O-0001,BM9J8U1,DCD700C2A - IN 12V DrillDriver with 109 pc Accessory Kit (less discount)-BM9J8U1,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,7229,7084,145,2,OD211856355615071000,31-Mar-18,7199,30,CGST,18,1301,8530,7084,7084,7229,8530,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,7084,7084,0,0,0,0,0,,,,,MRO,,,,
BM9J8U1O-0001,Others,O-0001,BM9J8U1,DCD700C2A - IN 12V DrillDriver with 109 pc Accessory Kit (less discount)-BM9J8U1,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,8343,7084,1259,15,OD211816407466533000,31-Mar-18,8298,45,CGST,18,1502,9845,8176,8176,8343,9845,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,7084,7084,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Sheeba Shaikh,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 09,31-Mar-18,1,635.59,623,12.59,2,OD211504278733942000,31-Mar-18,570.59,65,IGST,18,114,750,623,623,635.59,750,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 09,31-Mar-18,1,588.98,623,-34.02,-6,OD110140450389808000,31-Mar-18,523.98,65,IGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 07,31-Mar-18,1,571.19,623,-51.81,-9,OD110119544315971000,31-Mar-18,506.19,65,IGST,18,103,674,560,560,571.19,674,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 07,31-Mar-18,1,635.59,623,12.59,2,OD110218069360473000,31-Mar-18,570.59,65,IGST,18,114,750,623,623,635.59,750,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 07,31-Mar-18,1,635.59,623,12.59,2,OD211479556488140000,31-Mar-18,570.59,65,IGST,18,114,750,623,623,635.59,750,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 07,31-Mar-18,1,588.98,623,-34.02,-6,OD110134239484384000,31-Mar-18,523.98,65,IGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 07,31-Mar-18,1,563.56,623,-59.44,-11,OD110091939294004000,31-Mar-18,498.56,65,IGST,18,101,665,552,552,563.56,665,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Piyush Yadav,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 05,31-Mar-18,1,571.19,623,-51.81,-9,OD110114195560278000,31-Mar-18,506.19,65,IGST,18,103,674,560,560,571.19,674,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Dipali Vasant Ghanvat,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 04,31-Mar-18,1,588.98,623,-34.02,-6,OD110157081072585000,31-Mar-18,523.98,65,IGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Dipali Vasant Ghanvat,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 03,31-Mar-18,1,622.03,623,-0.97,0,OD110753441724927000,31-Mar-18,557.03,65,IGST,18,112,734,610,610,622.03,734,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Dipali Vasant Ghanvat,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 03,31-Mar-18,1,635.59,623,12.59,2,OD111201418153620000,31-Mar-18,570.59,65,IGST,18,114,750,623,623,635.59,750,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0002,Dipali Vasant Ghanvat,O-0002,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order2,31-Mar-2018,Flipkart17/18 02,31-Mar-18,1,635.59,623,12.59,2,OD211682979147546000,31-Mar-18,570.59,65,IGST,18,114,750,623,623,635.59,750,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,623,623,0,0,0,0,0,,,,,MRO,,,,
