id,aliasname,address,sap_id,created_at,updated_at
2504,"McClelland Engineers",,1268,"1970-01-01 00:00:00","2018-05-08 10:53:35"
2505,"Magus Customer",,1379,"2017-11-21 10:38:46","2018-05-08 10:54:27"
2506,"Macleods Pharma",,535,"2017-09-12 06:59:21","2018-05-08 10:50:25"
2507,"Midland Credit",,618,"2017-08-18 11:48:56","2018-05-08 10:50:47"
2508,"MD Elec.",,235,"2017-07-17 12:42:06","2018-05-08 10:49:02"
2509,"Miba Drivetec",,,"2017-10-11 08:51:16","2018-05-08 10:48:36"
2510,"Multi Dimension Sol",,1481,"2017-11-18 06:40:54","2018-05-08 11:00:15"
2511,"MEC Technology",,249,"2017-07-17 12:42:06","2018-05-08 10:49:07"
2512,"Mineral Exploration",,762,"2017-09-13 07:01:21","2018-05-08 10:51:26"
2513,"Medispray Lab.",,263,"2017-07-17 12:42:06","2018-05-08 10:49:10"
2514,"Mavani Engg and Die",,667,"2017-08-21 08:00:53","2018-05-08 10:50:59"
2515,"Meera Engineering",,278,"2017-07-17 12:42:06","2018-05-08 10:49:13"
2516,"Meluha - The Fern",,292,"2017-07-17 12:42:06","2018-05-08 10:49:17"
2517,"Mojj Engineering",,374,"2017-10-03 06:17:35","2018-05-08 10:49:39"
2518,"M.H. Enterprises",,893,"2017-09-26 05:19:31","2018-05-08 10:52:08"
2519,"Midas Safety",,332,"2017-07-17 12:42:06","2018-05-08 10:49:28"
2520,"Monnet Ispat Energy",,371,"2017-10-14 10:48:46","2018-05-08 10:49:38"
2521,"Minda SAI",,1333,"2017-11-21 09:50:37","2018-05-08 10:53:54"
2522,"Mindz Technology",,1022,"2017-07-17 12:42:06","2018-05-08 10:52:37"
2523,Magotteaux,,1191,"2017-09-21 10:35:59","2018-05-08 10:53:17"
2524,"Miracle Enterprises",,1064,"2017-11-16 06:11:27","2018-05-08 10:52:48"
2525,"Mita India",,296,"2017-11-02 09:42:28","2018-05-08 10:49:18"
2526,"J. Mitra.and Co.",,1383,"2018-02-21 09:19:30","2018-05-08 10:54:36"
2527,"MK LIDE Auto Clutch",,1067,"2017-09-01 07:28:32","2018-05-08 10:52:49"
2528,"MKP Engineering",,611,"2018-01-22 09:41:17","2018-05-08 10:50:50"
2529,Mercator,,1081,"1970-01-01 00:00:00","2018-05-08 10:52:52"
2530,"Millennium Motors",,1525,"2018-02-23 11:42:41","2018-05-08 11:02:22"
2531,"Meera Metal",,739,"2017-11-28 12:42:44","2018-05-08 10:51:20"
2532,"Metaltech Motor Body",,898,"2017-12-11 06:03:40","2018-05-08 10:52:08"
2533,"Maharashtra N, Gas",,1140,"2017-09-16 05:31:10","2018-05-08 10:53:06"
2534,"Mohsin Bros.",,345,"2017-07-17 12:42:06","2018-05-08 10:49:31"
2535,"Monad  University",,1185,"2017-11-16 09:36:59","2018-05-08 10:53:15"
2536,"Mondelez India Foods",,1123,"2017-10-25 07:44:35","2018-08-06 12:49:18"
2537,"Monsoon Agro",,1005,"2017-11-16 06:04:19","2018-05-08 10:52:33"
2538,"Moon Engg Services",,1201,"2017-09-26 06:21:03","2018-05-08 10:53:20"
2539,"Moon Beverage",,174,"2017-09-06 08:14:52","2018-05-08 10:48:43"
2540,"Moosajee Jevajee",,358,"2017-07-17 12:42:06","2018-05-08 10:49:34"
2541,"Motherson Sumi Sys",,1126,"2017-09-19 11:49:16","2018-05-08 10:53:02"
2542,"Mott MacDonald",,151,"2017-07-17 12:42:06","2018-05-08 09:42:42"
2543,"MP Jain and Co.",,916,"2017-07-17 12:42:06","2018-05-08 10:52:12"
2544,"Jain Trading Co.",,929,"2017-07-17 12:42:06","2018-05-08 10:52:15"
2545,"Manbras Plastronics",,1168,"2017-12-12 12:53:59","2018-05-08 10:53:12"
2546,"Multitone Polypack",,655,"2017-10-03 12:42:08","2018-05-08 10:50:59"
2547,"Mumbai Port Trust",,227,"2017-09-06 13:18:40","2018-05-08 10:48:59"
2548,"MRL Tyres",,817,"2017-10-24 11:57:43","2018-05-08 10:51:44"
2549,"Monarch Adhesive",,1072,"2017-09-19 09:44:58","2018-05-08 10:52:50"
2550,"MSR India",,704,"2018-01-23 10:11:33","2018-05-08 10:51:10"
2551,"Material Tech Lab",,571,"2017-09-25 11:21:43","2018-05-08 10:50:35"
2552,"Modern Transformers",,927,"2017-10-05 08:51:20","2018-05-08 10:52:15"
2553,"Musashi Auto Parts",,1132,"2018-02-03 09:29:56","2018-05-08 10:53:03"
2554,"Mutual Industries",,154,"2017-09-28 07:35:41","2018-05-08 10:48:36"
2555,"Muvtons Castors",,133,"2017-09-22 06:12:29","2018-05-08 11:03:26"
2556,"Marvel Vinyls",,1346,"2017-11-16 11:09:12","2018-05-08 10:53:59"
2557,"Mylo Industries",,382,"2017-07-17 12:42:06","2018-05-08 10:49:42"
2558,"Nitson And Amitsu",,1002,"2017-12-11 07:34:07","2018-05-08 10:52:32"
2559,"NADI Airtechnics",,965,"2018-01-31 07:32:31","2018-05-08 10:52:24"
2560,"Nagpur Boring Works",,415,"2017-07-17 12:42:06","2018-05-08 10:49:50"
2561,"National Aluminium",,433,"2017-07-17 12:42:06","2018-05-08 10:49:54"
2562,"DS Namah",,1504,"2017-07-21 10:23:37","2018-05-08 11:01:16"
2563,"National Fertilizer",,612,"2017-11-09 10:00:26","2018-05-08 10:50:44"
