Po number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Project Code,Tax Amount (SC),,
3301265,9 May 18,Worldd AV Solution,,9 May 18,,58995,7,Indian Rupee,1,Closed,No,19836-RFQ for Casio Projector,12905.16,,
3301266,9 May 18,Techniq Precision Tooling System,,11 May 18,,6018,100% advance against proforma invoice,Indian Rupee,1,Closed,No,18594-Fwd: Quote for below Collet for CTIPL Pithampur Plant.,918,,
4400076,30 Aug 18,Shree Parshwa Enterprise,,30 Aug 18,,562432,100% Advance,Indian Rupee,1,Open,No,10491-WD40 - Bundling,123032.00,,
4400142,4 Sep 17,Kohinoor Paints Mart,,4 Sep 17,,3840,Net-30,Indian Rupee,1,Open,No,11032-PO_4101354076_Yellow Paint_BulkMRO,840,,
4400191,22 Sep 17,Avin Enterprise,,22 Sep 17,,82190.3,Net-30,Indian Rupee,1,Closed,No,10491-WD40 - Bundling,12537.5,,
4400255,23 Oct 17,Umiya Gas Co.,,24 Oct 17,,149080,15 days after delivery,Indian Rupee,1,Open,No,13035-gas cylinder,22741.02,,
4400332,24 Nov 17,Shraddha Tooling Systems,,24 Nov 17,,544098,Net-30,Indian Rupee,1,Open,No,14815-STS Quotation No-0330 for Conical Cutter,82998,,
4400377,12 Dec 17,Innovative Engineering Products Pvt. Ltd.,,12 Dec 17,,2902.8,Net-30,Indian Rupee,1,Open,No,15693-Hand Tools & Consumables - Plant Integration,442.8,,
4400408,2 Jan 18,Evergreen Sales,,2 Jan 18,,36580,Net-30,Indian Rupee,1,Closed,Yes,16447-PO_4101444057_PPE Online_BulkMRO,5580,,
4400425,10 Jan 18,Rituraj Tapes Pvt. Ltd.,,10 Jan 18,,90496.87,100% advance against proforma invoice,Indian Rupee,1,Open,No,15515-Hand Tools & Consumables,13804.62,,
4400437,17 Jan 18,Sat Color Care,,17 Jan 18,,544570,Net-30,Indian Rupee,1,Open,No,12624-Acetone,83070,,
4400466,31 Jan 18,Manilal Pack Plast Pvt. Ltd.,,31 Jan 18,,47200,Net-30,Indian Rupee,1,Open,No,17455-pvc blister roll,7200,,
4400470,2 Feb 18,Kiran Diamond Tools,,2 Feb 18,,29481.12,Net-30,Indian Rupee,1,Open,No,16942-Qualfast Socket Head screw required,4497.12,,
4400488,9 Feb 18,Shree Jala Enterprise,,9 Feb 18,,472,Net-30,Indian Rupee,1,Open,No,16186-RFQ/ABFPPL/Sanand/Misc bought out - Telangana and Ghatampur,72,,
4400491,5 Aug 18,Vector Corporation,,5 Aug 18,,21051.2,Net-30,Indian Rupee,1,Closed,No,19202- water gun,3211.2,,
4400492,9 May 18,Neel Ceramics,,9 May 18,,74340,Net-30,Indian Rupee,1,Closed,No,18703-Hindware make Waterless Urinal cartridge,11340,,
4400493,9 May 18,S R Info Solution Pvt. Ltd.,,11 May 18,,65957.28,100% advance against proforma invoice,Indian Rupee,1,Closed,No,18363-Required Quotation Of Chain Tong(Indent-260),10061.28,,
4400494,9 May 18,Dhiren Traders,,23 May 18,,584.1,15 days after delivery,Indian Rupee,1,Closed,No,19815-MISC Item,89.1,,
4400495,9 May 18,Kohinoor Paints Mart,,23 May 18,,2549.96,100% advance against proforma invoice,Indian Rupee,1,Closed,No,19815-MISC Item,388.98,,
4400496,9 May 18,P. M. Bhimani Orgochem Pvt. Ltd.,,23 May 18,,3068,100% advance against proforma invoice,Indian Rupee,1,Closed,No,19815-MISC Item,468,,
4400497,9 May 18,Shreenathji Welding And Safety Pvt. Ltd.,,23 May 18,,1852.6,30 days after delivery,Indian Rupee,1,Closed,No,19815-MISC Item,282.6,,
6600050,1 Jun 18,Advance Tech Services Pvt. Ltd.,,1 Jun 18,,19175,100% advance against proforma invoice,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,2925,,
29690001,10 Dec 18,Industeel France,Based On Sales Orders 10211481.,10 Dec 18,29690,2338853,Net-30,Euro,81.95,Open,No,29690 - UNS 32615 Plates,0,,
33001196,2 Feb 18,Starlite Engineer Co.,,3 Feb 18,,154733.4,100% advance against proforma invoice,Indian Rupee,1,Open,No,17619-Fwd: PO 4700899972_Loctite 401_Bulk MRO,23603.4,,
40200008,16 Feb 18,As-Schneider Middle East FZE,,16 Feb 18,,51775.78,100% Advance Along With PI,Euro,79.9009,Open,No,16186-RFQ/ABFPPL/Sanand/Misc bought out - Telangana and Ghatampur,0,,
40200011,16 Feb 18,Raad Systems Inc.,,16 Feb 18,,20613044.04,Net-30,US Dollar,66.67,Closed,Yes,17145-RE: Action Required: New Request 2342 submitted - Third Party Buy,3144362.65,,
40200020,19 Feb 18,Dyna Filters Pvt. Ltd.,,19 Feb 18,,1103595,Net-30,Indian Rupee,1,Open,No,17808-Powder Dispensing Booth_Ganesha- For Routing,168345.00,,
40200021,19 Feb 18,Jagrati Enterprises,,5 Mar 18,,134520,60% advance and 40% after delivery,Indian Rupee,1,Closed,No,17738-Fwd: Request for quotation Honeywell scanner,20520,,
40200027,19 Feb 18,Marubeni Corporation,,19 Feb 18,,102799,Net-30,JPY,0.6047,Open,No,17898-N2 Purge capable FOUP - 3-in and 1-out,0,,
40200037,21 Feb 18,InDeutsch Systems Pvt. Ltd.,,21 Feb 18,,5274.6,100% advance against proforma invoice,Indian Rupee,1,Closed,No,17457-Fwd: Required quotation spring for Gripper screw (Loccioni : EOL),804.6,,
40200039,21 Feb 18,Alba Sales Corporation,,21 Feb 18,,16708.8,Net-30,Indian Rupee,1,Open,No,16837-Re: FW: Request for Quote for Supply of Emery Papers (03 Types).,2548.8,,
40200041,21 Feb 18,Neo Systek,,21 Feb 18,,6144,Net-30,Indian Rupee,1,Open,No,17881-Fwd: offer reqd for Neo Systek Aerator,1344,,
40200052,22 Feb 18,ABS Instruments Pvt. Ltd.,,1 Mar 18,,41182,100% After Delivery,Indian Rupee,1,Open,No,17623-Fwd: RFQ: Calibration of Shore A & shore D hardness tester,6282,,
40200085,27 Feb 18,Central Wood Testing Laboratory The Rubber Board,,13 Mar 18,,9145,100% Against Delivery,Indian Rupee,1,Closed,No,17979-Fwd: RFQ:Tensile shear test,1395,,
40200086,27 Feb 18,Hazari Trading Co.,,27 Feb 18,,29063.4,Net-30,Indian Rupee,1,Closed,No,17000-Fwd: Required quotation for vibration meter & cord,4433.4,,
