inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
16104,,2002695,BM99999,,1,19-Dec-17,,,,,,,,,
16116,,2002700,BM0C7I7,,1,19-Dec-17,,,,,,,,,
16117,,2002701,BM0C9M8,,1,19-Dec-17,,,,,,,,,
16117,,2002701,BM99999,,1,19-Dec-17,,,,,,,,,
16128,,2002704,BM9B7H7,,50,20-Dec-17,,,,,,,,,
16133,,2002703,BM0Q8Y7,,1,20-Dec-17,,,,,,,,,
16148,,2002711,BM0C9M8,,1,20-Dec-17,,,,,,,,,
16148,,2002711,BM99999,,1,20-Dec-17,,,,,,,,,
16149,,2002798,BM9K9E4,,200,20-Dec-17,,,,,,,,,
16149,,2002798,BM9K9E5,,100,20-Dec-17,,,,,,,,,
16149,,2002798,BM9L1X3,,50,20-Dec-17,,,,,,,,,
16149,,2002798,BM9L8C5,,10,20-Dec-17,,,,,,,,,
16167,,2002733,BM0K8Y0,,200,20-Dec-17,,,,,,,,,
16171,,2002727,BM0Q8Y6,,1,20-Dec-17,,,,,,,,,
16171,,2002727,BM99999,,1,20-Dec-17,,,,,,,,,
16172,,2002728,BM0C7I4,,1,20-Dec-17,,,,,,,,,
16172,,2002728,BM99999,,1,20-Dec-17,,,,,,,,,
16173,,2002729,BM0C7F6,,1,20-Dec-17,,,,,,,,,
16173,,2002729,BM99999,,1,20-Dec-17,,,,,,,,,
16174,,2002730,BM0O7C5,,1,20-Dec-17,,,,,,,,,
16174,,2002730,BM99999,,1,20-Dec-17,,,,,,,,,
16175,,2002731,BM0C7U8,,1,20-Dec-17,,,,,,,,,
16175,,2002731,BM99999,,1,20-Dec-17,,,,,,,,,
16176,,2002732,BM0C7U8,,1,20-Dec-17,,,,,,,,,
16176,,2002732,BM99999,,1,20-Dec-17,,,,,,,,,
16331,,2002808,BM0K8Y0,,300,20-Dec-17,,,,,,,,,
13919,,2002771,BM9K5Y7,,2,21-Dec-17,,,,,,,,,
16051,,2002717,BM9L7G9,,1,21-Dec-17,,,,,,,,,
16051,,2002717,BM9L7H1,,1,21-Dec-17,,,,,,,,,
16119,,2002805,BM9L7G8,,1,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A2,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A3,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A4,,5,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A5,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A6,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A7,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3A8,,2,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3B2,,8,21-Dec-17,,,,,,,,,
16156,,2002718,BM9A3B3,,8,21-Dec-17,,,,,,,,,
16156,,2002718,BM9J1H1,,5,21-Dec-17,,,,,,,,,
16156,,2002718,BM9J1H2,,11,21-Dec-17,,,,,,,,,
16156,,2002718,BM9J1H3,,14,21-Dec-17,,,,,,,,,
16156,,2002718,BM9J1H5,,3,21-Dec-17,,,,,,,,,
16156,,2002718,BM9L7Z7,,8,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3B8,,3,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3B9,,1,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3C4,,15,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3C6,,2,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D3,,10,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D4,,3,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D5,,3,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D6,,6,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D7,,8,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D8,,13,21-Dec-17,,,,,,,,,
16159,,2002719,BM9A3D9,,20,21-Dec-17,,,,,,,,,
16159,,2002719,BM9G9N3,,2,21-Dec-17,,,,,,,,,
16159,,2002719,BM9J1H8,,5,21-Dec-17,,,,,,,,,
16159,,2002719,BM9L8C6,,12,21-Dec-17,,,,,,,,,
16160,,2002720,BM9A3E2,,20,21-Dec-17,,,,,,,,,
16160,,2002720,BM9G9M7,,11,21-Dec-17,,,,,,,,,
16160,,2002720,BM9G9M8,,10,21-Dec-17,,,,,,,,,
16160,,2002720,BM9G9M9,,5,21-Dec-17,,,,,,,,,
16160,,2002720,BM9G9N5,,5,21-Dec-17,,,,,,,,,
16177,,2002734,BM0C7U8,,1,21-Dec-17,,,,,,,,,
16178,,2002735,BM0O6H8,,1,21-Dec-17,,,,,,,,,
16179,,2002736,BM0Q8U1,,1,21-Dec-17,,,,,,,,,
16179,,2002736,BM99999,,1,21-Dec-17,,,,,,,,,
16180,,2002737,BM0C8G8,,2,21-Dec-17,,,,,,,,,
16180,,2002737,BM99999,,1,21-Dec-17,,,,,,,,,
16195,,2002739,BM0C9A0,,1,21-Dec-17,,,,,,,,,
16196,,2002740,BM0C7B2,,1,21-Dec-17,,,,,,,,,
16217,,2002744,BM0C8Y9,,1,21-Dec-17,,,,,,,,,
16217,,2002744,BM99999,,1,21-Dec-17,,,,,,,,,
15845,,2002801,BM3X4Y9,,10,22-Dec-17,,,,,,,,,
15845,,2002801,BM9G8F3,,6,22-Dec-17,,,,,,,,,
16218,,2002745,BM0C9M8,,1,22-Dec-17,,,,,,,,,
16218,,2002745,BM99999,,1,22-Dec-17,,,,,,,,,
16219,,2002746,BM0O6H8,,1,22-Dec-17,,,,,,,,,
16268,,2002797,BM9L7L5,,100,22-Dec-17,,,,,,,,,
16268,,2002797,BM9L7L6,,500,22-Dec-17,,,,,,,,,
16276,,2002770,BM9G8G5,,600,22-Dec-17,,,,,,,,,
16291,,2002779,BM0C7I4,,1,22-Dec-17,,,,,,,,,
16291,,2002779,BM99999,,1,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9E3,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9E4,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9E5,,30,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9E6,,10,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9E9,,80,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9F1,,35,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9F2,,50,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9F4,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9F5,,15,22-Dec-17,,,,,,,,,
16321,,2002831,BM9K9F6,,30,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L1W4,,25,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L1W6,,15,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L1W9,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L1X3,,15,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L5C9,,30,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L5D1,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C3,,36,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C4,,10,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C5,,20,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C6,,5,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C7,,5,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9C8,,1,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9D1,,8,22-Dec-17,,,,,,,,,
16321,,2002831,BM9L9D3,,12,22-Dec-17,,,,,,,,,
16337,,2002814,BM0O7C5,,1,22-Dec-17,,,,,,,,,
16337,,2002814,BM99999,,1,22-Dec-17,,,,,,,,,
16338,,2002815,BM0C7U8,,1,22-Dec-17,,,,,,,,,
16338,,2002815,BM99999,,1,22-Dec-17,,,,,,,,,
16237,,2002756,BM1G0E9,,1,23-Dec-17,,,,,,,,,
16241,,2002757,BM0Q8Y3,,1,23-Dec-17,,,,,,,,,
16292,,2002780,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16292,,2002780,BM99999,,1,23-Dec-17,,,,,,,,,
16293,,2002781,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16293,,2002781,BM99999,,1,23-Dec-17,,,,,,,,,
16294,,2002782,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16294,,2002782,BM99999,,1,23-Dec-17,,,,,,,,,
16295,,2002783,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16295,,2002783,BM99999,,1,23-Dec-17,,,,,,,,,
16296,,2002784,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16296,,2002784,BM99999,,1,23-Dec-17,,,,,,,,,
16297,,2002785,BM0C8G8,,1,23-Dec-17,,,,,,,,,
16297,,2002785,BM99999,,1,23-Dec-17,,,,,,,,,
16298,,2002786,BM0Q8X8,,1,23-Dec-17,,,,,,,,,
16298,,2002786,BM99999,,1,23-Dec-17,,,,,,,,,
16242,,2002758,BM0Q8X8,,1,24-Dec-17,,,,,,,,,
16299,,2002787,BM0Q8X8,,1,24-Dec-17,,,,,,,,,
16299,,2002787,BM99999,,1,24-Dec-17,,,,,,,,,
16300,,2002788,BM0C8Y9,,1,24-Dec-17,,,,,,,,,
16300,,2002788,BM99999,,1,24-Dec-17,,,,,,,,,
16301,,2002789,BM0Q8X8,,1,24-Dec-17,,,,,,,,,
16301,,2002789,BM99999,,1,24-Dec-17,,,,,,,,,
16302,,2002790,BM0C8Y9,,1,24-Dec-17,,,,,,,,,
16302,,2002790,BM99999,,1,24-Dec-17,,,,,,,,,
16303,,2002791,BM0C8Y9,,1,24-Dec-17,,,,,,,,,
16303,,2002791,BM99999,,1,24-Dec-17,,,,,,,,,
16304,,2002792,BM0C7U8,,1,24-Dec-17,,,,,,,,,
16304,,2002792,BM99999,,1,24-Dec-17,,,,,,,,,
16137,,2002799,BM9D3C2,,100,25-Dec-17,,,,,,,,,
16253,,2002759,BM0Q8Y4,,1,25-Dec-17,,,,,,,,,
16253,,2002759,BM99999,,1,25-Dec-17,,,,,,,,,
16254,,2002760,BM0C7B2,,1,25-Dec-17,,,,,,,,,
16254,,2002760,BM99999,,1,25-Dec-17,,,,,,,,,
