address_uid,company_uid
9256,SC-8716
9256,SC-8716
9524,SC-8965
9524,SC-8965
4026,1377
4026,1377
1673,391
1673,391
1779,440
1779,440
A208083,208072
A208083,208072
A210071,SC-208427
A210071,SC-208427
A209509,SC-8198
A209509,SC-8198
9090,SC-8546
9090,SC-8546
9121,SC-02443
9121,SC-02443
A210072,SC-8198
A210072,SC-8198
2294,711
2294,711
4829,1484
4829,1484
A210079,SC-208191
A210079,SC-208191
6432,1841
6432,1841
A210302,SC-8201
A210302,SC-8201
A209998,SC-208417
6406,1829
1163,504
1163,504
A209998,SC-208417
A210080,SC-208428
4027,1378
4027,1378
1674,392
1674,392
3641,1133
3641,1133
2129,611
2129,611
1724,176
1724,176
6660,504
6660,504
9530,SC-8971
9530,SC-8971
9576,SC-9011
9576,SC-9011
5707,1692
5707,1692
1914,274
1914,274
1429,79
1429,79
4028,1379
4028,1379
1697,393
1697,393
3643,1134
3643,1134
4740,812
4740,812
A208478,208136
A208478,208136
4834,1486
4834,1486
2131,612
2131,612
1725,177
1725,177
1432,81
1432,81
4053,1380
4053,1380
3645,1135
3645,1135
2105,495
2105,495
A208479,SC-208137
A208479,SC-208137
4841,1487
4841,1487
2135,614
2135,614
1727,178
1727,178
1699,394
1699,394
1915,276
1915,276
1433,82
1433,82
1228,SC-02619
1228,SC-02619
5576,1606
5576,1606
4842,1488
4842,1488
4060,1381
4060,1381
2137,615
2137,615
1728,179
1728,179
9006,SC-8466
9006,SC-8466
9264,SC-6618
9264,SC-6618
8967,SC-8431
8967,SC-8431
1700,395
1700,395
5577,1607
5577,1607
4843,1489
4843,1489
A208098,SC-208077
A208098,SC-208077
3396,616
3396,616
1706,396
1706,396
4061,1382
4061,1382
9577,SC-9011
9577,SC-9011
6363,1803
6363,1803
8886,SC-8351
8886,SC-8351
4507,40
4507,40
4525,40
4525,40
4779,40
4779,40
9744,SC-9145
9744,SC-9145
6557,1803
6557,1803
A208271,SC-208077
A208271,SC-208077
A207645,SC-207971
A207645,SC-207971
5578,1608
5578,1608
A210296,SC-208462
A210296,SC-208462
A207144,SC-207874
A207144,SC-207874
4163,SC-7423
4163,SC-7423
A207149,SC-207877
A207149,SC-207877
9381,SC-8825
9381,SC-8825
1707,397
1707,397
1708,397
1708,397
2123,397
2123,397
445,SC-01273
445,SC-01273
1958,308
1958,308
5261,694
5261,694
1916,277
1916,277
9922,SC-9283
9922,SC-9283
2141,617
2141,617
4858,1491
4858,1491
A209482,SC-208296
A209482,SC-208296
9578,SC-9012
9578,SC-9012
5579,1609
5579,1609
1709,398
1709,398
A207997,208046
A207997,208046
4250,1384
4250,1384
1917,278
1917,278
3330,1032
3330,1032
A207998,208046
A207998,208046
A208452,208046
A208452,208046
3933,1254
3933,1254
A210080,SC-208428
1069,SC-02461
2142,618
2142,618
4859,1492
4859,1492
5580,1610
5580,1610
1069,SC-02461
A209609,SC-208342
1713,399
1713,399
4114,SC-7372
4114,SC-7372
4252,1387
4252,1387
4778,1387
4778,1387
4835,1387
4835,1387
5248,1387
5248,1387
5249,1387
5249,1387
9161,SC-8617
9161,SC-8617
9923,SC-9284
9923,SC-9284
9355,SC-8803
9355,SC-8803
1211,28
1211,28
5729,1705
5729,1705
9007,SC-8467
9007,SC-8467
A209346,SC-208257
A209346,SC-208257
2079,SC-00704
2079,SC-00704
9144,SC-00704
9144,SC-00704
3395,1079
3395,1079
710,SC-02016
710,SC-02016
6393,1822
6393,1822
A208519,SC-208138
A208519,SC-208138
2050,361
2050,361
9562,SC-8999
9562,SC-8999
A207256,SC-207893
A207256,SC-207893
9113,SC-8573
9113,SC-8573
4860,1493
4860,1493
1714,400
1714,400
5581,1611
5581,1611
2143,619
2143,619
1344,183
1344,183
1345,183
1345,183
1346,183
1346,183
1347,183
1347,183
1348,183
1348,183
1349,183
1349,183
1350,183
1350,183
1351,183
1351,183
1352,183
1352,183
1353,183
1353,183
1354,183
1354,183
1355,183
1355,183
1356,183
1356,183
1357,183
1357,183
1358,183
1358,183
1359,183
1359,183
1360,183
1360,183
1361,183
1361,183
1362,183
1362,183
1363,183
1363,183
4275,1388
4275,1388
2162,503
2162,503
2144,620
2144,620
1907,280
1907,280
4861,1494
4861,1494
1717,401
1717,401
2308,720
2308,720
5582,1612
5582,1612
9456,SC-8886
9456,SC-8886
8993,SC-8454
8993,SC-8454
4284,1389
4284,1389
2145,621
2145,621
9901,SC-8454
9901,SC-8454
5558,1593
5558,1593
5691,1684
5691,1684
A209089,SC-208209
A209089,SC-208209
1919,281
1919,281
2314,721
2314,721
1198,38
1198,38
1782,188
1782,188
4863,1495
4863,1495
1763,185
1763,185
5583,1613
5583,1613
4290,1390
4290,1390
1722,403
1722,403
1466,89
1466,89
2146,622
2146,622
2147,622
2147,622
3659,1141
3659,1141
1920,282
1920,282
A209363,SC-208262
A209363,SC-208262
2051,361
2051,361
1729,186
1729,186
5584,1614
5584,1614
4318,1391
4318,1391
3335,1037
3335,1037
1921,283
1921,283
3660,1142
3660,1142
575,SC-01943
575,SC-01943
3327,SC-6489
3327,SC-6489
9532,SC-8973
9532,SC-8973
5585,1615
5585,1615
2149,623
2149,623
4319,1392
4319,1392
1148,505
1148,505
8968,SC-8432
8968,SC-8432
2052,361
2052,361
2053,361
2053,361
9096,SC-8554
9096,SC-8554
5066,361
5066,361
9133,SC-7314
9133,SC-7314
8900,SC-8365
8900,SC-8365
5067,361
5067,361
A209609,SC-208342
A206809,SC-207730
A208522,361
A208522,361
A207994,SC-208045
A207994,SC-208045
2779,952
2779,952
2780,952
2780,952
A206809,SC-207730
338,SC-00294
A207002,SC-207847
A207002,SC-207847
A209102,SC-207847
A209102,SC-207847
4508,772
4508,772
2016,SC-00626
2016,SC-00626
5658,1674
5658,1674
9209,SC-00626
9209,SC-00626
2072,502
2072,502
3459,502
3459,502
3546,502
3546,502
9376,SC-6489
9376,SC-6489
338,SC-00294
621,SC-01204
9348,SC-8797
9348,SC-8797
A209374,SC-7372
A209374,SC-7372
683,SC-01866
683,SC-01866
3656,535
3656,535
5271,535
5271,535
8970,SC-8434
8970,SC-8434
6052,535
6052,535
1911,272
1911,272
6302,272
6302,272
6382,1818
6382,1818
6301,535
6301,535
