inquiry_no,alias,order_number,report_total,mis_date
26076,Henkel,10211177,800,26-Oct-2018
26085,Piramal,11210048,10082.54,6-Aug-2018
26086,Cummins,10210848,50609,31-Aug-2018
26089,Cummins,10210899,614600,12-Sep-2018
26090,Beckman Coulter,10210851,2000,3-Sep-2018
26093,GE Power Systems,10610278,7770,7-Aug-2018
26093,GE Power Systems,10610288,6000,10-Aug-2018
26093,GE Power Systems,10610316,12000,22-Aug-2018
26093,GE Power Systems,10610317,6000,23-Aug-2018
26093,GE Power Systems,10610341,2400,30-Aug-2018
26093,GE Power Systems,10610350,2400,5-Sep-2018
26093,GE Power Systems,10610353,2400,5-Sep-2018
26093,GE Power Systems,10610355,12000,5-Sep-2018
26104,AMAT,10210699,30988,7-Aug-2018
26106,GE,10610328,248162,25-Aug-2018
26108,IR,10610277,57000,7-Aug-2018
26112,SSI,10210728,41306.38,11-Aug-2018
26117,Henkel,10210709,163025.33,8-Aug-2018
26121,Duroshox,10210701,7230,7-Aug-2018
26121,Duroshox,10210831,9640,30-Aug-2018
26122,Covestro,10910067,3500,8-Aug-2018
26122,Covestro,10910069,3500,8-Aug-2018
26125,IR,10610279,17526,7-Aug-2018
26131,Beckman Coulter,10210714,26209,9-Aug-2018
26132,GE,10210919,32000,14-Sep-2018
26134,GE,10210855,13920,3-Sep-2018
26141,GE,10210896,70400,11-Sep-2018
26142,Piramal,10210734,130873.8,13-Aug-2018
26143,AMAT,10210729,3350,11-Aug-2018
26146,GE,10610331,6970,27-Aug-2018
26151,GHCL,10610281,2629.2,8-Aug-2018
26152,AMAT,10210733,14625,13-Aug-2018
26153,Beckman Coulter,10210711,11000,8-Aug-2018
26155,Cummins,10210818,66315,28-Aug-2018
26159,IR,10610303,5749.2,18-Aug-2018
26160,Henkel,10210722,6580,10-Aug-2018
26161,GHCL,10610282,108.8,8-Aug-2018
26167,Piramal,11210049,1024.8,8-Aug-2018
26169,Graziano,10910077,132000,17-Aug-2018
26175,GIA India Lab.,10210762,33860,18-Aug-2018
26177,IR,10610310,15800,22-Aug-2018
26178,Henkel,10210716,16240,9-Aug-2018
26179,Henkel,10210880,48000,7-Sep-2018
26183,JLL,10211032,44279.7,3-Oct-2018
26187,Henkel,10210954,3766,21-Sep-2018
26188,IR,10610305,15385,18-Aug-2018
26196,Delhivery,10910131,516000,13-Oct-2018
26200,Covestro,10210788,3200,23-Aug-2018
26201,Piramal,11210051,63156,10-Aug-2018
26204,Piramal,11210050,7053.27,9-Aug-2018
26205,GE Power Systems,10610286,21053,13-Aug-2018
26206,Bharti Airtel,10910075,2175,17-Aug-2018
26207,Videojet,10210838,5000,30-Aug-2018
26211,Bharti Airtel,10910072,2175,9-Aug-2018
26213,Bharti Airtel,10910080,2175,20-Aug-2018
26214,Adino Telecom,10210763,72712,18-Aug-2018
26220,Kirloskar,10210955,7136.5,21-Sep-2018
26223,AMAT,10210767,19211,18-Aug-2018
26224,GE,10610285,1795.2,11-Aug-2018
26226,AMAT,10210810,129000,28-Aug-2018
26228,Cummins,10210752,6588,16-Aug-2018
26229,Henkel,10210723,1650,10-Aug-2018
26232,ABB India,10610326,866,24-Aug-2018
26234,AMAT,10210787,1304.34,23-Aug-2018
26245,Cummins,10210808,86777,28-Aug-2018
26248,APM Terminals,10210739,25778,14-Aug-2018
26251,GE,10610332,25116,27-Aug-2018
26252,Henkel,10210736,117262.5,14-Aug-2018
26253,GE Power Systems,10610289,18000,11-Aug-2018
26257,Piramal,11210052,2576.25,11-Aug-2018
26261,GE Power Systems,10610457,32568,13-Oct-2018
26263,Cummins,10210732,42220.08,11-Aug-2018
26268,GE Power Systems,10610290,1391626,13-Aug-2018
26271,GE,10610359,26966,6-Sep-2018
26271,GE,10610362,26966,7-Sep-2018
26273,AMAT,10210737,69031,14-Aug-2018
26274,SSI,10210754,90758.78,17-Aug-2018
26276,Henkel,10210994,209982,27-Sep-2018
26278,SSI,10210783,1637,22-Aug-2018
26281,Henkel,10210823,2800,29-Aug-2018
26285,AMAT,10210738,7878,14-Aug-2018
26287,Henkel,10210761,10090,17-Aug-2018
26288,SSI,10210793,45054,23-Aug-2018
26289,Truevalue,10210749,1144.05,14-Aug-2018
26293,Henkel,10210814,8950,28-Aug-2018
26299,Henkel,10210746,117262.5,14-Aug-2018
26301,AMAT,10210786,137932,23-Aug-2018
26306,Henkel,10210990,17612,26-Sep-2018
26308,APM Terminals,10210740,21679.6,14-Aug-2018
26311,GE,10610392,35125,20-Sep-2018
26315,Piramal,11210055,3624.15,14-Aug-2018
26318,Plasser India,10610348,168568.47,4-Sep-2018
26318,Plasser India,10610427,2546,4-Oct-2018
26319,Henkel,10210747,110262.5,14-Aug-2018
26332,Midland Credit,10910092,40000,29-Aug-2018
26333,GHCL,10610397,3384,21-Sep-2018
26335,GE,10610352,27600,5-Sep-2018
26339,Piramal,10210779,13090.2,22-Aug-2018
26341,AMAT,10210847,10212,31-Aug-2018
26342,Piramal,10210778,42590.4,22-Aug-2018
26348,GHCL,10610297,3913.72,16-Aug-2018
26349,Piramal,11410001,21316,30-Aug-2018
26352,GE Power Systems,10610300,56000,17-Aug-2018
26356,Henkel,10210870,6246,5-Sep-2018
26357,Henkel,10210769,110019.74,18-Aug-2018
26360,GE Power Systems,10610296,10000,16-Aug-2018
26361,GE,10211246,94932.79,5-Nov-2018
26363,Bharti Airtel,10910076,2175,16-Aug-2018
26366,Piramal,11210057,1525,16-Aug-2018
26368,AMAT,10210774,6115,20-Aug-2018
26369,GE Power Systems,10610306,181875,20-Aug-2018
26370,GHCL,10610311,3179,22-Aug-2018
26372,Covestro,10910088,12600,24-Aug-2018
26376,GHCL,10610301,40680,17-Aug-2018
26378,Piramal,11410003,232830,31-Aug-2018
26380,GE,10610334,4500,29-Aug-2018
26387,GE,10210791,81435,23-Aug-2018
26388,Henkel,10210877,1477.5,6-Sep-2018
26389,AMAT,10210784,157026.76,22-Aug-2018
26390,Cummins,10211199,10465,30-Oct-2018
26391,Cummins,10211262,21261.45,13-Nov-2018
26392,Piramal,11410017,580622.47,17-Sep-2018
26396,Covestro,10910087,6780,23-Aug-2018
26399,ZF India,10210934,15693.7,19-Sep-2018
26403,Cummins,10210860,14332,4-Sep-2018
26404,Bharti Airtel,10910078,2900,17-Aug-2018
26405,Cummins,10210807,16815,28-Aug-2018
26407,Bharti Airtel,10910079,2175,17-Aug-2018
26409,GE,10610393,41649.5,20-Sep-2018
26411,HYATT,10910147,5778.83,24-Oct-2018
26416,Godrej,10211020,13780,1-Oct-2018
26422,GE Power Systems,10610304,7500,18-Aug-2018
26423,Henkel,10210764,16187.2,18-Aug-2018
26428,SRF,10211102,21985,11-Oct-2018
26430,Henkel,10210766,11766,18-Aug-2018
26430,Henkel,10210766,-11765.14,1-Sep-2018
26432,AMAT,10210770,158300,20-Aug-2018
26436,Nivea India,10610357,116000,5-Sep-2018
26440,Piramal,11410002,224201.4,22-Aug-2018
26442,GHCL,10610346,19666,28-Aug-2018
26443,Bharti Airtel,10910085,2175,21-Aug-2018
26444,Cummins,10210858,14556,4-Sep-2018
26445,GE Power Systems,10610313,61250,22-Aug-2018
26447,GE Power Systems,10610503,4630,1-Nov-2018
26448,ABB India,10610329,19000,24-Aug-2018
26449,VVF,10210947,16200,20-Sep-2018
26450,Bharti Airtel,10910081,2175,20-Aug-2018
26451,Hyosung,10210772,1600,20-Aug-2018
26453,IR,10610325,18600,24-Aug-2018
26472,SSI,10210775,2474,21-Aug-2018
26496,Piramal,11410004,22329,3-Sep-2018
26498,Cummins,10210973,16513.5,24-Sep-2018
26506,Piramal,11210058,25634,21-Aug-2018
26507,GE Power Systems,10610307,21600,21-Aug-2018
26508,Henkel,10210824,60510,29-Aug-2018
26510,Henkel,10210861,6315,4-Sep-2018
26511,Henkel,10210812,3500,28-Aug-2018
26512,Carlsberg,10910104,280612.5,10-Sep-2018
26514,GE Power Systems,10610308,104626,21-Aug-2018
26516,SSI,10211005,19291.99,25-Sep-2018
26518,Bharti Airtel,10910083,2175,22-Aug-2018
26523,Henkel,10210935,197967.35,19-Sep-2018
26529,Godrej,10210883,27330,7-Sep-2018
26530,Stanley Engineered,10210813,14200,28-Aug-2018
26531,Piramal,11410008,1084900,6-Sep-2018
26535,Trident Computer,10210781,218088,22-Aug-2018
26542,Henkel,10210782,9211.05,22-Aug-2018
26545,Bharti Airtel,10910084,10875,22-Aug-2018
26548,GE Power Systems,10610345,12474,1-Sep-2018
26551,Henkel,10210795,30526,24-Aug-2018
26554,GE,10610340,2000,30-Aug-2018
26561,GE Power Systems,10610376,108000,12-Sep-2018
26562,Henkel,10210837,1344764,30-Aug-2018
26564,GHCL,10610321,819,23-Aug-2018
26565,GHCL,10610322,384.25,23-Aug-2018
26567,GHCL,10610323,517,23-Aug-2018
26569,GHCL,10610324,962,23-Aug-2018
26570,GHCL,10610320,12669.2,23-Aug-2018
26571,GHCL,10610319,3615.12,23-Aug-2018
26572,GE,10210809,1314,28-Aug-2018
26573,Henkel,10210970,105620,24-Sep-2018
26574,Piramal,11210059,56289,28-Aug-2018
26576,Cummins,10211239,109464,5-Nov-2018
26579,Henkel,10210865,14725.74,5-Sep-2018
26581,Henkel,10210949,311512.22,20-Sep-2018
26582,Henkel,10210904,246992,12-Sep-2018
26585,AMAT,10210802,15744.91,27-Aug-2018
26586,Piramal,11410005,140936,5-Sep-2018
26590,Cummins,10210944,19386.88,19-Sep-2018
26598,Nivea India,10610379,17550,14-Sep-2018
26600,AMAT,10210801,2419.4,27-Aug-2018
26602,ZF India,10211039,48819.4,4-Oct-2018
26604,Cummins,10210835,20228,30-Aug-2018
26606,IR,10610333,7700,28-Aug-2018
26608,Bharat Container,10210909,77146.5,12-Sep-2018
26610,Henkel,10210799,35730,24-Aug-2018
26612,Henkel,10210803,80432,24-Aug-2018
26621,GHCL,10610336,250052,29-Aug-2018
26624,Piramal,11410007,31593,6-Sep-2018
26632,GE Power Systems,10610327,345772.7,24-Aug-2018
26635,IR,10610394,3242,21-Sep-2018
26636,GE,10610354,22978,5-Sep-2018
26637,VVF India,10210816,1400,28-Aug-2018
26639,AMAT,10211076,14361.71,9-Oct-2018
26640,GE Power Systems,10610330,37000,27-Aug-2018
26643,Covestro,10910090,85000,28-Aug-2018
26644,Piramal,11410013,215787,12-Sep-2018
26644,Piramal,11410025,23100,3-Oct-2018
26657,AMAT,10210853,24247,3-Sep-2018
26661,ABB India,10610337,5604,29-Aug-2018
26662,GE,10610428,153721,5-Oct-2018
26667,JSE,10210805,2001106,27-Aug-2018
26676,AMAT,10210974,15691.49,24-Sep-2018
26677,Cummins,10210924,234982,17-Sep-2018
26678,Cummins,10211051,175977,5-Oct-2018
26682,Henkel,10210819,10518,28-Aug-2018
26684,Henkel,10210821,57600,28-Aug-2018
26685,Henkel,10210820,82530,28-Aug-2018
26689,Cummins,10210857,11499.1,4-Sep-2018
26693,Piramal,10210811,13995,28-Aug-2018
26695,Henkel,10210874,178602.11,6-Sep-2018
26696,Stanley Engineered,10210828,58000,29-Aug-2018
26700,Cargill,10210856,54000,4-Sep-2018
26710,Hyosung,10210873,4620,6-Sep-2018
26711,AMAT,10210822,390,29-Aug-2018
26716,Cummins,10211255,151350,12-Nov-2018
26717,Covestro,10910096,1410,3-Sep-2018
26724,PNP Maritime,10210832,936.37,30-Aug-2018
26725,AMAT,10210862,20063,4-Sep-2018
26726,Henkel,10211189,241013.39,29-Oct-2018
26728,Piramal,11410010,251342,7-Sep-2018
26729,Piramal,11410009,29610,6-Sep-2018
26730,Myntra Jabong India,10910109,180952,10-Sep-2018
26731,IR,10610338,5525,29-Aug-2018
26733,The Lalit,10210876,29348,6-Sep-2018
26734,Henkel,10210826,136684,29-Aug-2018
26737,Asahi India Glass,10910113,113858,24-Sep-2018
26738,JSE,10210825,1814557,29-Aug-2018
26739,GE Power Systems,10610343,18051.9,30-Aug-2018
26746,Henkel,10210889,73684,11-Sep-2018
26747,Henkel,10210918,18947,14-Sep-2018
26748,Hyosung,10210829,1000,29-Aug-2018
26750,ABB India,10610371,60824,11-Sep-2018
26751,Mahindra,10210841,22339,30-Aug-2018
26751,Mahindra,10210842,22339,30-Aug-2018
26752,Mahindra,10210840,22339,30-Aug-2018
26753,Mahindra,10210843,27330.52,30-Aug-2018
26770,Adino Telecom,10210833,42600,30-Aug-2018
26771,Cargill,10210892,283754,11-Sep-2018
26771,Cargill,10210897,283754,12-Sep-2018
26773,Cummins,10210931,50100.15,18-Sep-2018
26774,Cummins,10210885,28041,10-Sep-2018
26777,AMAT,10210845,1200,31-Aug-2018
26778,JSE,10210834,1846219.3,30-Aug-2018
26780,Henkel,10210948,8947,20-Sep-2018
26789,Nivea India,10610349,21000,4-Sep-2018
26793,GE,10610385,10429,17-Sep-2018
26796,GHCL,10610347,2244.5,31-Aug-2018
26797,Cummins,10210926,332026,18-Sep-2018
26802,GE Power Systems,10610342,12596,30-Aug-2018
26804,Beckman Coulter,10210871,30000,6-Sep-2018
26823,Piramal,11410024,48504,21-Sep-2018
26827,Piramal,11410023,42269.2,21-Sep-2018
26835,Piramal,11410015,22953,14-Sep-2018
26837,AMAT,10210867,60000,5-Sep-2018
26842,Cummins,10210905,57341,12-Sep-2018
26843,GHCL,10610381,9500,14-Sep-2018
26844,Cummins,10211009,33833.86,27-Sep-2018
26845,Piramal,11410011,26334,7-Sep-2018
26846,Cummins,10210900,8994,12-Sep-2018
26847,AMAT,10211031,10166.67,3-Oct-2018
26848,GE Power Systems,10610344,267490,31-Aug-2018
26850,Henkel,10210872,135786.26,6-Sep-2018
26852,GE,10210844,52560,31-Aug-2018
26855,Inarco,10610358,7500,6-Sep-2018
26856,Raymond,10210884,575000,10-Sep-2018
26876,AMAT,10210854,64229,3-Sep-2018
26878,Beckman Coulter,10210849,4000,1-Sep-2018
26880,Piramal,11210060,895,3-Sep-2018
26882,GE,10210929,42192,18-Sep-2018
26883,Henkel,10210852,94500,3-Sep-2018
26884,Cummins,10211071,60000,8-Oct-2018
26891,Godrej,10210859,10000,4-Sep-2018
26892,Godrej,10210913,85625,12-Sep-2018
26894,Bharti Airtel,10910102,2175,4-Sep-2018
26895,Bharti Airtel,10910097,2175,4-Sep-2018
26896,Bharti Airtel,10910100,2175,4-Sep-2018
26897,Bharti Airtel,10910101,2175,4-Sep-2018
26899,Bharti Airtel,10910098,2175,4-Sep-2018
26900,Bharti Airtel,10910099,2175,4-Sep-2018
26901,Delhivery,10910110,765000,10-Sep-2018
26901,Delhivery,10910110,-765000,18-Sep-2018
26901,Delhivery,10910112,780000,18-Sep-2018
26904,Beckman Coulter,10210943,31968,20-Sep-2018
26918,Henkel,10210895,147368,11-Sep-2018
26922,Cummins,10211202,8280,30-Oct-2018
26925,Covestro,10910103,4350,7-Sep-2018
26927,Cummins,10210953,50960,20-Sep-2018
26933,Hyosung,10210956,11000,21-Sep-2018
26938,IR,10610408,1783.72,24-Sep-2018
26940,Value Beverages,10210888,5944.5,11-Sep-2018
26944,Cummins,10210933,13220,19-Sep-2018
26945,Henkel,10210938,63157,19-Sep-2018
26949,AMAT,10210878,2128,6-Sep-2018
26963,Bharti Airtel,10910106,3625,5-Sep-2018
26964,Bharti Airtel,10910105,2175,10-Sep-2018
26970,Piramal,11210062,13599,6-Sep-2018
26977,Reliance,10210917,24500,14-Sep-2018
26978,Henkel,10210890,27368,11-Sep-2018
26980,GE,10210965,349375,21-Sep-2018
26981,Piramal,11210061,921.38,5-Sep-2018
26984,Nivea India,10610407,50000,24-Sep-2018
26985,AMAT,10210962,14530,24-Sep-2018
26987,Cummins,10211092,30106.38,8-Oct-2018
26988,Piramal,11410006,31880,5-Sep-2018
26989,Henkel,10210868,128325.5,6-Sep-2018
26993,GlaxoSmithKline,10910121,88426.08,1-Oct-2018
26995,Beckman Coulter,10210906,32000,11-Sep-2018
26997,Nivea India,10610377,16500,14-Sep-2018
26998,Trident Computer,10210866,267968,5-Sep-2018
27013,Piramal,11410018,210656.68,18-Sep-2018
27013,Piramal,11410026,19800,3-Oct-2018
27016,Beckman Coulter,10210942,450000,20-Sep-2018
27020,Ayoki Exports,10210916,70275,14-Sep-2018
27026,IR,10610367,11145,10-Sep-2018
27030,Piramal,11210063,1320.9,14-Sep-2018
27035,IGL,10210875,1440000,6-Sep-2018
27039,Covestro,10210983,14364,25-Sep-2018
27042,Cargill,10210898,9950,12-Sep-2018
27044,ABB India,10610383,54743.73,14-Sep-2018
27044,ABB India,10610383,-54743.73,1-Oct-2018
27044,ABB India,10610422,57569.24,1-Oct-2018
27045,ABB India,10610423,14060.6,1-Oct-2018
27046,ABB India,10610432,13334.48,5-Oct-2018
27049,AMAT,10210952,13667.32,20-Sep-2018
27057,Henkel,10211153,9841.18,24-Oct-2018
27060,Henkel,10210891,58142,11-Sep-2018
27070,Beckman Coulter,10210921,43744.64,17-Sep-2018
27071,Henkel,10211103,78022,11-Oct-2018
27075,Cargill,10210902,38024,12-Sep-2018
27076,Cummins,10211115,3522.75,15-Oct-2018
27080,SSI,10210886,138157.5,10-Sep-2018
27090,Kirloskar,10210941,4950,20-Sep-2018
27096,IR,10610364,13300,10-Sep-2018
27097,ICAR,10210882,1398.3,7-Sep-2018
27106,GHCL,10610395,1059,21-Sep-2018
27107,GHCL,10610403,12400.5,22-Sep-2018
27109,Graziano,10910108,3448.54,10-Sep-2018
27110,GHCL,10610399,19666,20-Sep-2018
27111,GHCL,10610398,2856.3,21-Sep-2018
27117,GE,10211004,10000,28-Sep-2018
27118,Piramal,11410012,24600,11-Sep-2018
27120,Hindustan Zinc,10910111,24500,17-Sep-2018
27121,Cargill,10210985,559400,25-Sep-2018
27122,Henkel,10210932,5100,18-Sep-2018
27123,AMAT,10210887,246915,11-Sep-2018
27125,GE Power Systems,10610365,15600,10-Sep-2018
27126,Cummins,10210901,7787.79,12-Sep-2018
27131,GE Power Systems,10610369,1100,10-Sep-2018
27132,Cummins,10211068,16736.84,8-Oct-2018
27136,Graziano,10910107,144165,10-Sep-2018
27138,GE Power Systems,10610370,4750,10-Sep-2018
27139,GE Power Systems,10610373,39472,11-Sep-2018
27144,GHCL,10610400,13570.98,22-Sep-2018
27145,Rexel India,10210923,1007300,17-Sep-2018
27149,GE,10610391,39688,19-Sep-2018
27158,Beckman Coulter,10211048,23100,5-Oct-2018
27158,Beckman Coulter,10211050,23100,5-Oct-2018
27160,Beckman Coulter,10211049,70600,5-Oct-2018
27162,Henkel,10210936,77782.32,19-Sep-2018
27163,Cummins,10210894,138840,11-Sep-2018
27164,Godrej,10210910,70620,12-Sep-2018
27165,Piramal,11210066,22705.96,21-Sep-2018
27166,Henkel,10210930,56250,18-Sep-2018
27168,Cummins,10211254,53040.9,12-Nov-2018
27170,Piramal,11410022,66150,20-Sep-2018
27172,IR,10610374,23630,12-Sep-2018
27175,Henkel,10210999,112630.57,27-Sep-2018
27182,Piramal,11410014,21329.1,14-Sep-2018
27187,Talis Valves,10210986,4879.23,25-Sep-2018
27187,Talis Valves,10210987,4879.23,25-Sep-2018
27189,Cummins,10211060,29050,8-Oct-2018
27197,Inarco,10610421,4611,28-Sep-2018
27201,AMAT,10210908,37282.98,12-Sep-2018
27203,Asahi India Glass,10910146,8000,26-Oct-2018
27207,GE,10610430,30928.84,5-Oct-2018
27208,Nivea India,10610405,1418.49,24-Sep-2018
27212,Videojet,10210907,65800,12-Sep-2018
27213,Cummins,10210920,18000,17-Sep-2018
27216,GE Power Systems,10610420,100245.6,28-Sep-2018
27220,GE Power Systems,10610378,4980,14-Sep-2018
27224,Piramal,11410016,14972,14-Sep-2018
27227,SSI,10210964,5911.84,24-Sep-2018
27229,ABB India,10610410,17856.88,25-Sep-2018
27230,GHCL,10610417,5700,27-Sep-2018
27234,GHCL,10610409,4896.4,24-Sep-2018
27235,Piramal,11210064,141.18,14-Sep-2018
27236,Cummins,10210988,33043.48,25-Sep-2018
27238,SSI,10210940,25068.91,19-Sep-2018
27239,Piramal,11210065,47150,17-Sep-2018
27245,Duroshox,10211070,709.46,8-Oct-2018
27248,GE,10210976,4800,25-Sep-2018
27249,Henkel,10210993,35042.64,27-Sep-2018
27264,GE Power Systems,10610382,37899,17-Sep-2018
27265,GHCL,10610419,72800,28-Sep-2018
27274,Cummins,10211073,3007.19,8-Oct-2018
27286,Henkel,10211074,80359.74,8-Oct-2018
27288,GE Power Systems,10610386,38750,17-Sep-2018
27294,Cummins,10211221,39930,1-Nov-2018
27295,Henkel,10210998,10588.53,27-Sep-2018
27298,Cummins,10211085,44810.12,9-Oct-2018
27300,Henkel,10211017,4787.23,1-Oct-2018
27303,Husco,10210989,5100,24-Sep-2018
27306,Cummins,10210961,5796.27,24-Sep-2018
27314,Henkel,10210937,8000,18-Sep-2018
27318,AMAT,10211029,17620.82,3-Oct-2018
27322,IR,10610459,75600,13-Oct-2018
27323,Henkel,10211173,24421.36,24-Oct-2018
27331,Henkel,10210927,8000,18-Sep-2018
27346,Henkel,10211019,32157.52,1-Oct-2018
27352,Henkel,10211035,4043,4-Oct-2018
27357,Henkel,10210958,119702,21-Sep-2018
27363,GE,10211010,26152,28-Sep-2018
27368,GE,10610404,376344,24-Sep-2018
27372,Beckman Coulter,10210971,1012852.67,24-Sep-2018
27373,GHCL,10610411,3507,25-Sep-2018
27379,GHCL,10610396,7580,21-Sep-2018
27382,Hyosung,10210939,3000,19-Sep-2018
27387,Godrej,10210969,9900,24-Sep-2018
27389,Knexir,10211111,6639.6,15-Oct-2018
27389,Knexir,10211170,6954.56,25-Oct-2018
27392,Beckman Coulter,10210950,5800,20-Sep-2018
27403,Piramal,11410019,57375,20-Sep-2018
27404,Piramal,11410020,7650,20-Sep-2018
27406,Piramal,11410021,286539,20-Sep-2018
27407,Henkel,10211007,10638.28,28-Sep-2018
27408,Godrej,10210963,8275,24-Sep-2018
27409,Enzene Biosciences,10211016,1061524.52,1-Oct-2018
27413,Henkel,10211041,38909.58,4-Oct-2018
27418,Henkel,10210995,8510.63,27-Sep-2018
27420,Henkel,10210951,1831.56,20-Sep-2018
27423,BITUFLEX,10210945,1695540,20-Sep-2018
27425,BITUFLEX,10210946,2595320,20-Sep-2018
27427,Beckman Coulter,10211024,241823.84,3-Oct-2018
27430,Beckman Coulter,10211044,20520,5-Oct-2018
27432,AMAT,10211181,77419.35,26-Oct-2018
27441,GE,10610444,30949.2,9-Oct-2018
27442,Cargill,10211056,27635,5-Oct-2018
27443,GE,10610412,13200,25-Sep-2018
27449,GE,10610502,41602.4,1-Nov-2018
27456,GE,10211023,61750,1-Oct-2018
27456,GE,10211063,20000,8-Oct-2018
27461,Henkel,10210957,114065,21-Sep-2018
27465,GHCL,10610450,79982.2,10-Oct-2018
27467,AMAT,10211008,4613.97,28-Sep-2018
27468,AMAT,10210966,34042.56,21-Sep-2018
27470,Henkel,10211036,11250,4-Oct-2018
27484,GHCL,10610401,5235.8,23-Sep-2018
27487,GHCL,10610402,961,23-Sep-2018
27488,GE,10610520,37285,14-Nov-2018
27489,Piramal,11210067,8296.24,25-Sep-2018
27492,Cummins - Recon India,10211066,10500,8-Oct-2018
27493,AMAT,10210967,21763.44,24-Sep-2018
27494,Graziano,10910156,173248.79,5-Nov-2018
27495,Hindustan Zinc,10910114,262290,24-Sep-2018
27498,Henkel,10211037,11515.96,4-Oct-2018
27500,SSI,10211105,17526,12-Oct-2018
27501,Cummins,10211089,5040,10-Oct-2018
27502,Nhava Sheva,10211081,77400,9-Oct-2018
27503,Henkel,10210982,4950,25-Sep-2018
27506,Piramal,10210978,126000,25-Sep-2018
27507,Henkel,10210991,8379,26-Sep-2018
27510,Henkel,10210972,900,24-Sep-2018
27512,Henkel,10210979,192350,25-Sep-2018
27514,Henkel,10910117,515789.47,28-Sep-2018
27515,Henkel,10211232,35929.44,2-Nov-2018
27516,Cummins,10211149,167391.3,23-Oct-2018
27519,GlaxoSmithKline,10910118,46342,1-Oct-2018
27526,Henkel,10210981,395320,25-Sep-2018
27528,BITUFLEX,10210975,1830683,25-Sep-2018
27530,AMAT,10211022,38075.49,1-Oct-2018
27530,AMAT,10211028,117380.87,3-Oct-2018
27533,Cummins,10211045,27870.4,5-Oct-2018
27535,Godrej,10211001,30375,28-Sep-2018
27543,JSE,10210977,704800,25-Sep-2018
27544,IR,10610413,1250,25-Sep-2018
27546,Landmark,10211259,26505,12-Nov-2018
27547,John Energy,10610463,162168,17-Oct-2018
27548,KazStroy,10210984,7521000,25-Sep-2018
27551,Henkel,10211079,87912,9-Oct-2018
27552,Henkel,10211086,133404,9-Oct-2018
27553,Henkel,10211091,133404,10-Oct-2018
27557,Covestro,10610453,7250,12-Oct-2018
27559,Covestro,10910115,24030,27-Sep-2018
27568,GE Power Systems,10610415,147110,26-Sep-2018
27572,Henkel,10211113,85957.45,15-Oct-2018
27576,Henkel,10211154,51919.41,24-Oct-2018
27579,Henkel,10211052,417220,5-Oct-2018
27580,GE,10210992,172800,26-Sep-2018
27592,AMAT,10211043,41436.16,4-Oct-2018
27600,ABB India,10610489,14695.65,29-Oct-2018
27604,GE Power Systems,10610418,28350,27-Sep-2018
27606,GE,10211201,93185,30-Oct-2018
27609,Henkel,10211003,32490,27-Sep-2018
27610,Huntsman,10211047,27578.43,5-Oct-2018
27612,Beckman Coulter,10211014,166978.8,29-Sep-2018
27613,Piramal,11410027,101462.4,6-Oct-2018
27614,Cummins,10211087,26470,9-Oct-2018
27615,GE,10211144,175000,22-Oct-2018
27617,Piramal,10210997,10028,27-Sep-2018
27624,Cummins,10211000,93740,27-Sep-2018
27630,Cummins,10211067,45597.73,8-Oct-2018
27631,Piramal,11410028,5842.56,6-Oct-2018
27636,GE,10211083,7893.06,9-Oct-2018
27649,Henkel,10211025,18659.52,3-Oct-2018
27651,AMAT,10211011,26595.74,29-Sep-2018
27652,Piramal,11410029,50700,6-Oct-2018
27658,BITUFLEX,10211033,1408359.5,28-Sep-2018
27666,Cargill,10610443,20900,9-Oct-2018
27667,Henkel,10211097,87000,11-Oct-2018
27668,JSE,10211006,931302.75,28-Sep-2018
27670,Piramal,11210070,18600,10-Oct-2018
27671,Henkel,10910119,28000,1-Oct-2018
27678,Henkel,10211078,89052.63,9-Oct-2018
27679,Piramal,10211034,2446.65,4-Oct-2018
27688,Mirza,10211160,4035,25-Oct-2018
27691,GE,10211026,5625,1-Oct-2018
27692,BITUFLEX,10211012,4622800,29-Sep-2018
27692,BITUFLEX,10211030,1807076,29-Sep-2018
27694,BITUFLEX,10211013,5692716.75,29-Sep-2018
27697,GIA India Lab.,10211080,6400,9-Oct-2018
27699,Piramal,10211018,9038,1-Oct-2018
27701,Nivea India,10610442,24952.68,9-Oct-2018
27702,SSI,10211027,9600,3-Oct-2018
27705,Henkel,10211021,192165,1-Oct-2018
27708,Piramal,11410032,488470.5,16-Oct-2018
27709,Piramal,11210068,38678.34,1-Oct-2018
27710,Huntsman,10211234,28472.95,2-Nov-2018
27714,Magicbricks,10910132,67200,13-Oct-2018
27727,Piramal,11210069,6360,3-Oct-2018
27733,Covestro,10910122,1225,3-Oct-2018
27735,GHCL,10610424,6928.5,3-Oct-2018
27736,Henkel,10211140,19680.85,19-Oct-2018
27737,GE,10610456,34000,13-Oct-2018
27741,Henkel,10211109,8510.64,15-Oct-2018
27742,Covestro,10910123,44685,3-Oct-2018
27751,Henkel,10211062,27750,8-Oct-2018
27752,GHCL,10610425,443.5,3-Oct-2018
27758,Henkel,10211042,10075,4-Oct-2018
27761,Henkel,10211061,79594,8-Oct-2018
27767,Micron Enterprises,10610439,320,8-Oct-2018
27768,BITUFLEX,10211033,1003690,25-Sep-2018
27777,Henkel,10211088,3518,10-Oct-2018
27778,AMAT,10211059,26595.74,6-Oct-2018
27779,GE,10610501,546113.57,31-Oct-2018
