inquiry_no,alias,order_number,report_total,mis_date
19971,Entrues Business,10210197,17085.12,11-May-2018
19971,Entrues Business,10210212,54102.88,15-May-2018
19973,Henkel,10910044,30340.62,5-Jul-2018
19980,Henkel,10210216,33000,1-Jun-2018
19982,Henkel,10210204,40840,1-Jun-2018
19991,Piramal,10210202,1488,14-May-2018
20001,Henkel,10210205,56250,14-May-2018
20002,SSI,10210333,15132,5-Jun-2018
20004,Compass India Support,10910022,131898.53,23-May-2018
20004,Compass India Support,10910022,-131898.53,1-Aug-2018
20007,Cummins,10210332,2400,5-Jun-2018
20020,Henkel,10210249,3281.5,23-May-2018
20024,GE Power Systems,10610084,2498,21-May-2018
20026,Asian Paints,10210869,52668,6-Sep-2018
20027,Henkel,10210214,13123,15-May-2018
20029,GE,10210399,1455476,15-Jun-2018
20036,Henkel,10210221,16560.72,17-May-2018
20037,Henkel,10210215,33000,15-May-2018
20038,IR,10610164,25587,22-Jun-2018
20039,Henkel,10210219,34453.98,1-Jun-2018
20041,PRATYARPANA,10210259,61200,25-May-2018
20058,GE Power Systems,10610088,1584,24-May-2018
20063,Cummins,10210549,12872,13-Jul-2018
20064,AMAT,10210528,13424.78,11-Jul-2018
20065,Henkel,10210246,5127,18-May-2018
20067,Cummins,10210324,135500,5-Jun-2018
20069,Compass India Support,10910017,730,22-May-2018
20072,Henkel,10210248,1785,23-May-2018
20073,Bharat Container,10210270,58000,28-May-2018
20074,Henkel,10210226,12568.66,18-May-2018
20075,SOKTAS,10210225,4410,18-May-2018
20076,Godrej,10210272,15555,28-May-2018
20078,Henkel,10210241,1241,18-May-2018
20081,SSI,10210266,27158,25-May-2018
20085,Henkel,10210239,739,21-May-2018
20086,Cummins,10210279,61600,29-May-2018
20088,GHCL,10610109,26320,4-Jun-2018
20096,GE,10610089,29477.5,24-May-2018
20099,GE,10210269,19450.5,28-May-2018
20100,AMAT,10210267,7263,18-May-2018
20102,Piramal,11210012,6631.2,31-May-2018
20104,Crosslay Remedies,10910019,29500,23-May-2018
20106,Cummins,10210468,8100,2-Jul-2018
20109,IR,10610169,117194.4,22-Jun-2018
20115,Henkel,10910053,180400,16-Jul-2018
20116,Bharti Airtel,10910021,4152,29-May-2018
20121,Nhava Sheva,10210353,7465.86,7-Jun-2018
20121,Nhava Sheva,10210501,9736,7-Jun-2018
20124,Piramal,11210005,4884,19-May-2018
