address_uid,company_uid,street1,pincode,city_name,country_code,State,gst,,
1190,577,"Gat No. 1264, Grampanchayat Property No. 921, Vadhu Bk, Pabal Road, Near Koregaon Bhima, Tal:",412216,Pune,IN,MH,,,
1190,577,"Gat No. 1264, Grampanchayat Property No. 921, Vadhu Bk, Pabal Road, Near Koregaon Bhima, Tal:",412216,Pune,IN,MH,,,
3492,1101,"Plot No. 22/24 & 25, Ankleshwar - Rajpipla Road, Village Dumala Boridra, Post - Kharchi,",393001,Bharuch,IN,GJ,,,
3492,1101,"Plot No. 22/24 & 25, Ankleshwar - Rajpipla Road, Village Dumala Boridra, Post - Kharchi,",393001,Bharuch,IN,GJ,,,
A207732,207987,"Office no. 421/A5, Dubai World Central, Dubai Aviation City, P.O. Box",712501,Dubai,AE,,NoGSTNumber1234,,
A207732,207987,"Office no. 421/A5, Dubai World Central, Dubai Aviation City, P.O. Box",712501,Dubai,AE,,NoGSTNumber1234,,
5258,1570,"Plot No.1041 to 1045,1053,1054 GIDC Estate Sanand-II",382110,Ahmedabad,IN,GJ,24AABCU0113A1ZD,,
5258,1570,"Plot No.1041 to 1045,1053,1054 GIDC Estate Sanand-II",382110,Ahmedabad,IN,GJ,24AABCU0113A1ZD,,
2042,353,"Plot 19, Sewa Towers, 5Th Floor, Udyog Vihar Phase IV",122015,Gurugram,IN,DL,,,
2042,353,"Plot 19, Sewa Towers, 5Th Floor, Udyog Vihar Phase IV",122015,Gurugram,IN,DL,,,
1967,459,"Via Consolatico Superiore, 96/98",43011,Busseto,IT,CN,,,
1967,459,"Via Consolatico Superiore, 96/98",43011,Busseto,IT,CN,,,
A209316,SC-208250,"101/A, 1st Floor,Road No 70, Journalist Colony, Jubilee Hills,",500033,Hyderabad,IN,TS,36AABCK5796P1ZO,,
A209316,SC-208250,"101/A, 1st Floor,Road No 70, Journalist Colony, Jubilee Hills,",500033,Hyderabad,IN,TS,36AABCK5796P1ZO,,
3935,1105,"Bharti Thaker Plot No. 432/A/2  Gitanjali Park Society, Sector - 8",382010,Gandhinagar,IN,GJ,,,
3935,1105,"Bharti Thaker Plot No. 432/A/2  Gitanjali Park Society, Sector - 8",382010,Gandhinagar,IN,GJ,,,
3493,1102,A-32 Mohan Co-operative Industrial Estate Mathura Road,110044,New Delhi,IN,DL,07AACCP1235F1ZU,,
3493,1102,A-32 Mohan Co-operative Industrial Estate Mathura Road,110044,New Delhi,IN,DL,07AACCP1235F1ZU,,
3572,1102,"6, Community Centre, East of Kailash",110065,New Delhi,IN,DL,07AACCP1235F1ZU,,
3572,1102,"6, Community Centre, East of Kailash",110065,New Delhi,IN,DL,07AACCP1235F1ZU,,
2428,778,"Hosiery Complex, Block C, Noida Phase-2, Yakubpur",201305,Noida,IN,UP,09AAACI0051N1ZM,,
2428,778,"Hosiery Complex, Block C, Noida Phase-2, Yakubpur",201305,Noida,IN,UP,09AAACI0051N1ZM,,
5228,1105,"G-1, Onida House, Mahakali Caves Road, Shanti Nagar, Andheri East",400093,Mumbai,IN,MH,27AAACA4557B1Z2,,
5228,1105,"G-1, Onida House, Mahakali Caves Road, Shanti Nagar, Andheri East",400093,Mumbai,IN,MH,27AAACA4557B1Z2,,
1321,44,"Guru Vidya, Office No: 501-505, Hill Road, Bandra (West)",400050,Mumbai,IN,MH,,,
1321,44,"Guru Vidya, Office No: 501-505, Hill Road, Bandra (West)",400050,Mumbai,IN,MH,,,
4625,1453,"3rd Floor, Quadra-1, Panchshil, Magarpatta Road, Sade Satra Nali",411028,Pune,IN,MH,,,
4625,1453,"3rd Floor, Quadra-1, Panchshil, Magarpatta Road, Sade Satra Nali",411028,Pune,IN,MH,,,
