category_legacy_id,product_legacy_id
1162,95489
930,95491
1159,95491
1162,95491
930,95492
1159,95492
1162,95492
930,95497
3854,95497
3864,95497
930,95498
3854,95498
3863,95498
930,95503
3854,95503
3863,95503
930,95506
3854,95506
3860,95506
930,95519
3854,95519
3858,95519
930,95527
3854,95527
3855,95527
930,95529
1053,95529
1086,95529
930,95530
1053,95530
1085,95530
930,95534
1053,95534
1079,95534
930,95535
1053,95535
1079,95535
930,95536
1053,95536
1055,95536
930,95541
1053,95541
1055,95541
930,95542
1053,95542
1055,95542
930,95543
1053,95543
1055,95543
930,95544
1053,95544
1055,95544
930,95545
1053,95545
1055,95545
930,95546
1053,95546
1055,95546
4001,95549
930,95563
1166,95563
1177,95563
930,95564
1166,95564
1177,95564
930,95566
1166,95566
1177,95566
1019,95576
930,95579
1017,95579
1018,95579
930,95582
1013,95582
1015,95582
930,95583
1013,95583
1015,95583
930,95584
992,95584
1000,95584
930,95585
992,95585
1000,95585
930,95587
992,95587
1000,95587
930,95589
992,95589
1000,95589
930,95591
992,95591
998,95591
930,95593
992,95593
998,95593
930,95594
992,95594
998,95594
930,95595
992,95595
998,95595
930,95597
992,95597
996,95597
930,95598
992,95598
996,95598
930,95600
992,95600
996,95600
930,95602
992,95602
994,95602
930,95606
992,95606
994,95606
930,95612
964,95612
979,95612
930,95614
964,95614
979,95614
930,95616
964,95616
979,95616
930,95617
964,95617
979,95617
930,95623
964,95623
975,95623
930,95628
964,95628
977,95628
930,95629
964,95629
977,95629
930,95631
964,95631
972,95631
930,95634
1166,95634
1176,95634
930,95659
1148,95659
1157,95659
930,95660
1148,95660
4031,95660
930,95661
1148,95661
4031,95661
930,95662
1148,95662
4031,95662
930,95663
1148,95663
4031,95663
930,95664
1148,95664
4031,95664
930,95665
1148,95665
4031,95665
930,95666
1148,95666
4031,95666
930,95667
1148,95667
4031,95667
930,95669
1148,95669
4031,95669
930,95670
1148,95670
4031,95670
930,95671
1148,95671
4031,95671
930,95672
1148,95672
4031,95672
930,95673
1148,95673
4031,95673
930,95674
1148,95674
4031,95674
930,95675
1148,95675
4031,95675
930,95676
1148,95676
4031,95676
930,95678
1148,95678
4031,95678
930,95679
1148,95679
4031,95679
930,95680
1148,95680
4031,95680
930,95681
1148,95681
4031,95681
930,95682
1148,95682
4031,95682
930,95683
1148,95683
4031,95683
930,95684
1148,95684
4031,95684
930,95685
1148,95685
4031,95685
930,95686
1148,95686
4031,95686
930,95694
1148,95694
4031,95694
930,95697
1148,95697
4031,95697
930,95698
1148,95698
4031,95698
930,95699
1148,95699
4031,95699
930,95705
1148,95705
4031,95705
930,95716
1148,95716
4031,95716
930,95717
1166,95717
1178,95717
930,95718
1166,95718
1178,95718
930,95719
1166,95719
1178,95719
930,95720
1166,95720
1178,95720
930,95721
1166,95721
1178,95721
930,95722
1166,95722
1178,95722
930,95723
1166,95723
1178,95723
930,95724
1166,95724
1178,95724
930,95725
1166,95725
1178,95725
930,95726
1166,95726
1178,95726
930,95727
1166,95727
1178,95727
930,95728
1166,95728
1178,95728
930,95729
1166,95729
1178,95729
930,95730
1166,95730
1178,95730
930,95731
1166,95731
