#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
99999044,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 324.,16 Mar 18,Gujarat,,0,"1,07,329.96",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,107329.96,16372.36,,Avni Shah,
99999042,2 Apr 18,Hyosung T and D India Pvt. Ltd.,Based On Sales Quotations 308.,27 Aug 17,Maharashtra,,0,"34,440.00",Open,No,0,0,0,IP-11 Khed City Village Nimgaon Khed Taluka Pune-Nashik RoadPune Maharashtra 410505 India,IP-11 Khed City Village Nimgaon Khed Taluka Pune-Nashik RoadPune Maharashtra 410505 India,0,34440,1640,,Sajida Sayyed,
99999040,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 258.,22 Mar 18,Gujarat,,0,"10,708.50",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,10708.5,1633.5,,Piyush Yadav,
99999039,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 461.,25 Mar 18,Gujarat,,0,"17,420.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,17420,1820,,Piyush Yadav,
99999036,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 364.,16 Nov 17,Gujarat,,0,"74,821.97",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,74821.97,11413.52,,Avni Shah,
99999035,2 Apr 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 286.,20 Jan 18,Maharashtra,,0,"10,631.74",Closed,No,0,0,0,IndiaTechnical Centre Division: Dahanukar Colony KothrudPune Maharashtra 411038 India,IndiaTechnical Centre Division: Dahanukar Colony KothrudPune Maharashtra 411038 India,0,10631.74,1621.8,,Sheeba Shaikh,
99999033,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 463.,2 Apr 18,Gujarat,,0,"16,874.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,16874,2574,,Piyush Yadav,
99999032,2 Apr 18,GE Power Conversion India Pvt. Ltd.,Based On Sales Quotations 254.,7 Mar 18,Maharashtra,,0,"10,246.33",Closed,No,0,0,0,Ramnath Tower Plot No.29 (SP) 7th Floor Thiru Vi Ka Industrial Estate Ekkantuthangal GuindyChennai Tamil Nadu 600032 India,Ramnath Tower Plot No.29 (SP) 7th Floor Thiru Vi Ka Industrial Estate Ekkantuthangal GuindyChennai Tamil Nadu 600032 India,0,10246.33,1563,,Swati Bhosale,
99999030,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 499.,7 Apr 18,Gujarat,,0,"54,904.50",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,54904.5,2614.5,,Dhrumil Patel,
99999027,2 Apr 18,Rexel India Pvt. Ltd.,Based On Sales Quotations 174.,22 Sep 17,Gujarat,,0,"17,369.60",Closed,No,0,0,0,Block no 1-4  BIDC  GorwaVadodara Gujarat 390016 India,Block no 1-4  BIDC  GorwaVadodara Gujarat 390016 India,0,17369.6,2649.6,,Avni Shah,
99999026,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 35.,5 Apr 18,Gujarat,,0,"29,736.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,29736,4536,,Piyush Yadav,
99999025,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 326.,21 Apr 18,Gujarat,,0,"3,73,328.40",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,373328.40,56948.4,,Avni Shah,
99999024,20 Apr 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 253.,20 Apr 18,Gujarat,,0,"11,256.92",Closed,No,0,0,0,21-30 GIDC Estate NarodaAhmedabad Gujarat 382330 India,21-30 GIDC Estate NarodaAhmedabad Gujarat 382330 India,0,11256.92,1717.16,,Prit Patel,
99999017,28 Feb 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 244.,7 Jan 18,Gujarat,,0,"14,747.30",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,14747.3,2249.6,,Avni Shah,
99999016,28 Feb 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 413.,4 Jan 18,Gujarat,,0,"1,46,275.76",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,146275.76,22313.26,,Avni Shah,
99999001,5 Apr 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 287.,6 Apr 18,Maharashtra,,0,"5,357.80",Closed,No,0,0,0,IndiaTechnical Centre Division: Dahanukar Colony KothrudPune Maharashtra 411038 India,IndiaTechnical Centre Division: Dahanukar Colony KothrudPune Maharashtra 411038 India,0,5357.8,1147.8,,Poonam Mohite,
11410068,12 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4260.,14 Dec 18,Telangana,,0,"1,78,553.77",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,178553.77,27237.02,29776,Dipali Ghanvat,
11410067,7 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4166.,10 Dec 18,Telangana,,0,"1,93,439.06",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,193439.06,29507.66,29570,Dipali Ghanvat,
11410066,7 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4111.,10 Dec 18,Telangana,,0,"41,843.57",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,41843.57,6001.82,28889,Dipali Ghanvat,
