#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
10211040,4 Oct 18,ZF India Pvt. Ltd.,Based On Sales Quotations 2914.,31 Oct 18,Maharashtra,,0,"35,910.00",Closed,No,0,0,0,B-38 MIDC Chakan Industrial Area Phase II Vasuli Tal Khed Pune 410501 Maharashtra,B-38 MIDC Chakan Industrial Area Phase II Vasuli Tal Khed Pune 410501 Maharashtra,0,35910,1710,27799,Pravin Shinde,
10211039,4 Oct 18,ZF India Pvt. Ltd.,Based On Sales Quotations 2147.,26 Oct 18,Maharashtra,,0,"57,606.88",Closed,No,0,0,0,B-38 MIDC Chakan Industrial Area Phase II Vasuli Tal Khed Pune 410501 Maharashtra,B-38 MIDC Chakan Industrial Area Phase II Vasuli Tal Khed Pune 410501 Maharashtra,0,57606.88,8787.48,26602,Pravin Shinde,
10211038,4 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2908.,20 Oct 18,Maharashtra,,0,"1,11,510.00",Closed,No,0,0,0,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,0,111510.00,17010,27790,Neha Mundhe,
10211037,4 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2883.,9 Oct 18,Maharashtra,,0,"13,588.84",Closed,No,0,0,0,Plot No.1/1 Part 2 TTC Industrial Area Thane Belapur Road Koparkhairne Navi Mumbai 400710 Maharashtra,Plot No.1/1 Part 2 TTC Industrial Area Thane Belapur Road Koparkhairne Navi Mumbai 400710 Maharashtra,0,13588.84,2072.88,27498,Rajani Kyatham,
10211036,4 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2906.,9 Oct 18,Maharashtra,,0,"13,275.00",Closed,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,0,13275,2025,27470,Rajani Kyatham,
10211035,4 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2783.,5 Oct 18,Maharashtra,,0,"4,770.74",Closed,No,0,0,0,10th & 11th FloorKesar Solitaire Plot # 5Sector 19 Sanpada Navi Mumbai 400705 Maharashtra,10th & 11th FloorKesar Solitaire Plot # 5Sector 19 Sanpada Navi Mumbai 400705 Maharashtra,0,4770.74,727.74,27352,Rajani Kyatham,
10211034,4 Oct 18,Piramal Enterprises Ltd.,Based On Sales Quotations 2840.,9 Oct 18,Maharashtra,,0,"2,887.05",Closed,No,0,0,0,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,0,2887.05,440.4,27679,Dipali Ghanvat,
10211033,3 Oct 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2904.,3 Oct 18,Maharashtra,,0,"11,84,354.20",Closed,No,0,0,0,House No.6 Mecca Hills Lane 3 Bhatindi Jammu 180012 Jammu and Kashmir,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,1184354.20,180664.20,27768,Mithun Trisule,
10211032,3 Oct 18,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,Based On Sales Quotations 2741.,4 Oct 18,Maharashtra,,0,"52,250.06",Open,No,0,0,0,New Technology Centre Bangalore (NTCB) Plot No. 7 Bengaluru Hardware Park KIADB Industrial Park Mahadeva Kodigehalli Bangalore 562149 Karnataka,Level 13 and 14 Prestige Khoday Towers No. 5 Raj Bhavan Road Bangalore 560001 Karnataka,0,52250.06,7970.36,26183,Mayur Salunke,
10211031,3 Oct 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2901.,4 Oct 18,Maharashtra,,0,"11,996.67",Closed,No,0,0,0,India Institute Of Technology-Bombay Near Power House Hill Side Powai Mumbai 400076 Maharashtra,India Institute Of Technology-Bombay Near Power House Hill Side Powai Mumbai 400076 Maharashtra,0,11996.67,1830,26847,Mayur Salunke,
10211030,29 Sep 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2852.,3 Oct 18,Maharashtra,,0,"22,86,495.44",Open,No,0,0,0,House No.6 Mecca Hills Lane 3 Bhatindi Jammu 180012 Jammu and Kashmir,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,2286495.44,348787.44,27692,Mithun Trisule,
10211029,3 Oct 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2618.,9 Oct 18,Maharashtra,,0,"20,792.56",Closed,No,0,0,0,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,20792.56,3171.74,27318,Supriya Govalkar,
10211028,3 Oct 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2749.,4 Oct 18,Maharashtra,,0,"1,38,509.43",Open,No,0,0,0,Exploration Centre Indian Institute of Technology Bombay Powai Mumbai 400076 Maharashtra,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,138509.43,21128.56,27530,Supriya Govalkar,
10211027,3 Oct 18,Survival Systems India,Based On Sales Quotations 2900.,9 Oct 18,Maharashtra,,0,"11,328.00",Closed,No,0,0,0,Goregaon Sports Club Near Toyota Showroom Link Road Malad (West) Mumbai 400064 Maharashtra,Goregaon Sports Club Near Toyota Showroom Link Road Malad (West) Mumbai 400064 Maharashtra,0,11328,1728,27702,Sarika Tanawade,
10211026,1 Oct 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2856.,5 Oct 18,Maharashtra,SAP Rejected (must fill remarks columns in SAP),0,"6,637.50",Open,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,6637.5,1012.5,27691,Swati Bhosale,
10211025,3 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2826.,10 Oct 18,Maharashtra,,0,"22,018.24",Open,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,0,22018.24,3358.72,27649,Husna Khan,
10211024,3 Oct 18,Beckman Coulter India Pvt. Ltd.,Based On Sales Quotations 2745.,23 Nov 18,Maharashtra,,0,"2,89,185.23",Closed,No,0,0,0,Shantipur Parli Part Kamrup (R) MirzaPuzhal The University of Burdawan Department of Zoology Golapbagh Rajbati Burdawan 713104 West Bengal,Madhavaram Redhillshighroad VedaperambakkamPuzhal Ground Floor and First Floor of Building II Hisaria Ward House Survey No 218 1A1 219 1A1 219 1A1A Chennai 600060 Tamil Nadu,0,289185.23,47361.39,27427,Puja Pawar,
10211023,1 Oct 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2711.,10 Oct 18,Maharashtra,,0,"60,837.50",Closed,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,60837.5,9087.5,27456,Neha Mundhe,
10211022,1 Oct 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2749.,4 Oct 18,Maharashtra,,0,"42,644.55",Open,No,0,0,0,Exploration Centre Indian Institute of Technology Bombay Powai Mumbai 400076 Maharashtra,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,42644.55,4569.06,27530,Supriya Govalkar,
10211021,1 Oct 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2873.,18 Oct 18,Maharashtra,,0,"2,26,754.70",Closed,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,0,226754.70,34589.7,27705,Aditya Andankar,
10211020,1 Oct 18,Godrej and Boyce Manufacturing Co. Ltd.,Based On Sales Quotations 2072.,15 Oct 18,Maharashtra,,0,"16,260.40",Closed,No,0,0,0,Stores Dept. Plant 16 Material Handling Division Godrej & Boyce Mfg. Co. Ltd. Vikhroli East Mumbai 400079 Maharashtra,MHE Plant 16 LBS Marg Pirojshanagar Vikhroli Mumbai 400079 Maharashtra,0,16260.4,2480.4,26416,Kartik Pai,
10211019,29 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2633.,30 Sep 18,Maharashtra,,0,"34,782.40",Closed,No,0,0,0,D-73/2 D-74/2 D-74/6 & D-73/3 TTC Ind. area Turbhe Naka Navi Mumbai 400705 Maharashtra,D-73/2 D-74/2 D-74/6 & D-73/3 TTC Ind. area Turbhe Naka Navi Mumbai 400705 Maharashtra,0,34782.4,2624.88,27346,Rajani Kyatham,
10211018,1 Oct 18,Piramal Enterprises Ltd.,Based On Sales Quotations 2865.,4 Oct 18,Maharashtra,,0,"10,664.84",Closed,No,0,0,0,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,0,10664.84,1626.84,27699,Puja Pawar,
10211017,28 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2839.,30 Sep 18,Maharashtra,,0,"5,648.93",Closed,No,0,0,0,10th & 11th FloorKesar Solitaire Plot # 5Sector 19 Sanpada Navi Mumbai 400705 Maharashtra,10th & 11th FloorKesar Solitaire Plot # 5Sector 19 Sanpada Navi Mumbai 400705 Maharashtra,0,5648.93,861.7,27300,Rajani Kyatham,
10211016,29 Sep 18,Enzene Biosciences Ltd,Based On Sales Quotations 2846.,29 Oct 18,Maharashtra,,0,"12,52,598.96",Closed,Yes,0,0,0,Plot No. 1 A/10Sector No. 10 Hanuman Industrial Premises Co-operative Pune 411026 Maharashtra,Plot No.165/1/26T block  MIDC  Bhosari Pune 411026 Maharashtra,0,1252598.96,191074.44,27409,Aditya Andankar,
10211015,29 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 1257.,28 Sep 18,Maharashtra,,0,"1,07,599.74",Closed,No,0,0,0,D-4/1KurkumbhMIDCDaund Pune 413802 Maharashtra,D-4/1KurkumbhMIDCDaund Pune 413802 Maharashtra,0,107599.74,16413.52,21458,Aditya Andankar,
10211014,29 Sep 18,Beckman Coulter India Pvt. Ltd.,Based On Sales Quotations 2848.,2 Oct 18,Maharashtra,,0,"1,97,034.98",Closed,No,0,0,0,Shantipur Parli Part Kamrup (R) MirzaPuzhal AARTHI DIAGNOSTICS - JAYANAGAR  No 156 9th main road Jayanagar 3rd Block Jayanagar Bengaluru 560011 Karnataka,Madhavaram Redhillshighroad VedaperambakkamPuzhal Ground Floor and First Floor of Building II Hisaria Ward House Survey No 218 1A1 219 1A1 219 1A1A Chennai 600060 Tamil Nadu,0,197034.98,30056.18,27612,Puja Pawar,
10211013,29 Sep 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2853.,29 Sep 18,Maharashtra,,0,"67,17,409.28",Open,No,0,0,0,House No.6 Mecca Hills Lane 3 Bhatindi Jammu 180012 Jammu and Kashmir,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,6717409.28,1024689.55,27694,Mithun Trisule,
10211012,29 Sep 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2852.,29 Sep 18,Maharashtra,,0,"56,18,121.60",Open,No,0,0,0,House No.6 Mecca Hills Lane 3 Bhatindi Jammu 180012 Jammu and Kashmir,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,5618121.60,857001.60,27692,Mithun Trisule,
10211011,29 Sep 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2847.,5 Oct 18,Maharashtra,,0,"31,382.97",Closed,No,0,0,0,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,31382.97,4787.23,27651,Supriya Govalkar,
10211010,28 Sep 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2652.,10 Oct 18,Maharashtra,,0,"30,859.36",Closed,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,30859.36,4707.36,27363,Supriya Govalkar,
10211009,27 Sep 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 2330.,2 Oct 18,Maharashtra,,0,"39,923.55",Closed,No,0,0,0,CFS / CES Division Plot No. A1-A1/2  Midc Phaltan SurvadI Phaltan Satara 415523 Maharashtra,CFS / CES Division Plot No. A1-A1/2  Midc Phaltan SurvadI Phaltan Satara 415523 Maharashtra,0,39923.55,6090.02,26844,Poonam Mohite,
10211008,28 Sep 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2768.,12 Oct 18,Maharashtra,,0,"5,444.48",Closed,No,0,0,0,Unit# 4and5 InventorGF ITPL Whitefield Road Bangalore 560066 Karnataka,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,5444.48,830.51,27467,Swati Bhosale,
10211007,28 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2828.,30 Sep 18,Maharashtra,,0,"12,553.18",Open,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,0,12553.18,1914.9,27407,Rajani Kyatham,
10211006,28 Sep 18,J S Equipments,Based On Sales Quotations 2835.,28 Sep 18,Maharashtra,,0,"10,98,937.25",Closed,No,0,0,0,G-11 Matru Mandir Next To I.T. Office Entrance 278 Tardeo Road Grant Road West Mumbai 400007 Maharashtra,G-11 Matru Mandir Next To I.T. Office Entrance 278 Tardeo Road Grant Road West Mumbai 400007 Maharashtra,0,1098937.25,167634.50,27668,Mithun Trisule,
10211005,25 Sep 18,Survival Systems India,Based On Sales Quotations 2095.,7 Sep 19,Maharashtra,SAP Rejected (must fill remarks columns in SAP),0,"22,764.38",Open,No,0,0,0,Goregaon Sports Club Near Toyota Showroom Link Road Malad (West) Mumbai 400064 Maharashtra,Goregaon Sports Club Near Toyota Showroom Link Road Malad (West) Mumbai 400064 Maharashtra,0,22764.38,3472.54,26516,Sarika Tanawade,
10211004,28 Sep 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2488.,16 Oct 18,Maharashtra,,0,"11,800.00",Closed,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,11800,1800,27117,Neha Mundhe,
10211003,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2819.,2 Oct 18,Maharashtra,,0,"38,338.20",Closed,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,0,38338.2,5848.2,27609,Husna Khan,
10211002,28 Sep 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2825.,28 Sep 18,Maharashtra,,0,"16,61,864.33",Closed,No,0,0,0,House No.6 Mecca Hills Lane 3 Bhatindi Jammu 180012 Jammu and Kashmir,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,1661864.33,253504.73,27658,Mithun Trisule,
10211001,28 Sep 18,Godrej and Boyce Manufacturing Co. Ltd.,Based On Sales Quotations 2827.,3 Oct 18,Maharashtra,,0,"35,842.50",Closed,No,0,0,0,Stores Dept. Plant 16 Material Handling Division Godrej & Boyce Mfg. Co. Ltd. Vikhroli East Mumbai 400079 Maharashtra,MHE Plant 16 LBS Marg Pirojshanagar Vikhroli Mumbai 400079 Maharashtra,0,35842.5,5467.5,27535,Kartik Pai,
10211000,27 Sep 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 2806.,19 Oct 18,Maharashtra,,0,"1,10,613.20",Closed,No,0,0,0,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,0,110613.20,16873.2,27624,Poonam Mohite,
10210999,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2805.,28 Sep 18,Maharashtra,,0,"1,18,262.57",Closed,No,0,0,0,Plot No 71 and 72 Sector-3 IIe Pantnagar Udham Singh Nagar 263153 Uttarakhand,Plot No 71 and 72 Sector-3 IIe Pantnagar Udham Singh Nagar 263153 Uttarakhand,0,118262.57,5631.55,27175,Rajani Kyatham,
10210998,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2802.,28 Sep 18,Maharashtra,,0,"13,076.46",Closed,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1KurkumbhMIDCDaund Pune 413802 Maharashtra,0,13076.46,2488.22,27295,Aditya Andankar,
10210997,27 Sep 18,Piramal Enterprises Ltd.,Based On Sales Quotations 2804.,10 Oct 18,Maharashtra,,0,"11,832.46",Closed,No,0,0,0,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,K-1 Additional MIDC Mahad District Raigad Navi Mumbai 402302 Maharashtra,0,11832.46,1804.96,27617,Puja Pawar,
10210996,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2803.,18 Jul 18,Maharashtra,,0,"68,119.54",Closed,No,0,0,0,D3/D4 Midc Industrail Estatetal. Purundhar Jejuri Pune 412303 Maharashtra,D3/D4 Midc Industrail Estatetal. Purundhar Jejuri Pune 412303 Maharashtra,0,68119.54,10391.12,21469,Rajani Kyatham,
10210995,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2801.,30 Sep 18,Maharashtra,,0,"10,042.55",Closed,No,0,0,0,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,0,10042.55,1531.92,27418,Rajani Kyatham,
10210994,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2635.,31 Oct 18,Maharashtra,,0,"2,47,778.76",Closed,No,0,0,0,Survey No 234 235 And 245Phase-1 Hinjewadi Pune 411057 Maharashtra,Survey No 234 235 And 245Phase-1 Hinjewadi Pune 411057 Maharashtra,0,247778.76,37796.76,26276,Rajani Kyatham,
10210993,27 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2632.,30 Sep 18,Maharashtra,,0,"38,354.78",Closed,No,0,0,0,D-73/2 D-74/2 D-74/6 & D-73/3 TTC Ind. area Turbhe Naka Navi Mumbai 400705 Maharashtra,D-73/2 D-74/2 D-74/6 & D-73/3 TTC Ind. area Turbhe Naka Navi Mumbai 400705 Maharashtra,0,38354.78,3312.14,27249,Rajani Kyatham,
10210992,26 Sep 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2779.,21 Oct 18,Maharashtra,,0,"2,03,881.88",Open,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,203881.88,31100.63,27580,Swati Bhosale,
10210991,26 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2724.,28 Sep 18,Maharashtra,,0,"9,886.88",Closed,No,0,0,0,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,D3/D4 MIDC Industrial AreaTal Purandar  Jejuri Pune 412303 Maharashtra,0,9886.88,1508.16,27507,Husna Khan,
10210990,26 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2024.,15 Oct 18,Maharashtra,,0,"20,781.12",Closed,No,0,0,0,D3/D4 Midc Industrail Estatetal. Purundhar Jejuri Pune 412303 Maharashtra,D3/D4 Midc Industrail Estatetal. Purundhar Jejuri Pune 412303 Maharashtra,0,20781.12,3170,26306,Husna Khan,
10210989,24 Sep 18,Husco Hydraulics Pvt. Ltd.,Based On Sales Quotations 2738.,5 Oct 18,Maharashtra,SAP Rejected (must fill remarks columns in SAP),0,"6,018.00",Closed,No,0,0,0,Plot A-4 Talegaon Ind. Area Tal-Mava Pune 410507 Maharashtra,Plot A-4 Talegaon Ind. Area Tal-Mava Pune 410507 Maharashtra,0,6018,918,27303,Pravin Shinde,
10210988,25 Sep 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 2757.,11 Oct 18,Maharashtra,,0,"38,991.30",Closed,No,0,0,0,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,0,38991.3,5947.82,27236,Pravin Shinde,
10210987,25 Sep 18,Talis Valves india Pvt ltd,Based On Sales Quotations 2650.,4 Oct 18,Maharashtra,,0,"5,661.50",Closed,No,0,0,0,Plot no 30 Sector C Sanwer road industrial area Indore 452015 Madhya Pradesh,Plot no 30 Sector C Sanwer road industrial area Indore 452015 Madhya Pradesh,0,5661.5,782.27,27187,Pravin Shinde,
10210986,25 Sep 18,Talis Valves india Pvt ltd,Based On Sales Quotations 2650.,4 Oct 18,Maharashtra,,0,"5,661.50",Closed,Yes,0,0,0,Plot no 30 Sector C Sanwer road industrial area Indore 452015 Madhya Pradesh,Plot no 30 Sector C Sanwer road industrial area Indore 452015 Madhya Pradesh,0,5661.5,782.27,27187,Pravin Shinde,
10210985,25 Sep 18,Cargill India Pvt. Ltd.,Based On Sales Quotations 2764.,5 Nov 18,Maharashtra,,0,"6,60,092.00",Closed,No,0,0,0,Plot No. E4 & E45 MIDC Industrial Area Daund Pune 413802 Maharashtra,Plot No. E4 & E45 MIDC Industrial Area Daund Pune 413802 Maharashtra,0,660092.00,100692.00,27121,Rahul Sonawane,
10210984,25 Sep 18,JSC OGCC KazstroyService,Based On Sales Quotations 2763.,25 Sep 18,Maharashtra,,87750,"76,34,250.00",Closed,No,0,0,0,Timiryazev ST 28V  50040 ALMATY KAZAKHSTAN,Timiryazev ST 28V  50040 ALMATY KAZAKHSTAN,0,7634250.00,0,,Swati Bhosale,
10210983,25 Sep 18,Covestro India Pvt. Ltd.,Based On Sales Quotations 2740.,1 Oct 18,Maharashtra,,0,"16,949.52",Closed,No,0,0,0,8th Floor Empire Towers Reliable Spaces campus Thane Belapur Road Airoli Navi Mumbai 400708 Maharashtra,8th Floor Empire Towers Reliable Spaces campus Thane Belapur Road Airoli Navi Mumbai 400708 Maharashtra,0,16949.52,2585.52,27039,Sandeep Pal,
10210982,25 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2759.,9 Oct 18,Maharashtra,,0,"5,544.00",Closed,No,0,0,0,D-4/1 Kurkumbh MIDC  Daund Pune 413802 Maharashtra,D-4/1KurkumbhMIDCDaund Pune 413802 Maharashtra,0,5544,594,27503,Sheeba Shaikh,
10210981,25 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2756.,5 Oct 18,Maharashtra,,0,"4,66,477.60",Open,No,0,0,0,Trading Unit Plant C-75 MIDC Industrail Area  Taluka Purundhar Jejuri Pune 412303 Maharashtra,Trading Unit Plant C-75 MIDC Industrail Area  Taluka Purundhar Jejuri Pune 412303 Maharashtra,0,466477.60,71157.6,27526,Sheeba Shaikh,
10210980,25 Sep 18,Ascott Beverly Park Hospitality (India) Pvt. Ltd.,Based On Sales Quotations 2752.,25 Dec 18,Maharashtra,,0,"5,76,600.00",Open,No,0,0,0,Plot No. 107 Sector 14 Koparkhairane Navi Mumbai 400709 Maharashtra,Plot No. 107 Sector 14 Koparkhairane Navi Mumbai 400709 Maharashtra,0,576600.00,66600,21179,Aditya Andankar,
10210979,25 Sep 18,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 2754.,5 Oct 18,Maharashtra,,0,"2,34,761.00",Open,No,0,0,0,Trading Unit Plant C-75 MIDC Industrail Area  Taluka Purundhar Jejuri Pune 412303 Maharashtra,Trading Unit Plant C-75 MIDC Industrail Area  Taluka Purundhar Jejuri Pune 412303 Maharashtra,0,234761.00,35811,27512,Sheeba Shaikh,
10210978,25 Sep 18,Piramal Enterprises Ltd.,Based On Sales Quotations 2728.,28 Sep 18,Maharashtra,,0,"1,25,999.88",Closed,No,0,0,0,Taluka Sanand Plot No. 18 PHARMEZ Pharmaceutical Special Economic Zone Village Matoda Sarkhej Bavla NH#8A Ahmedabad 382213 Gujarat,Taluka Sanand Plot No. 18 PHARMEZ Pharmaceutical Special Economic Zone Village Matoda Sarkhej Bavla NH#8A Ahmedabad 382213 Gujarat,0,125999.88,0,27506,Puja Pawar,
10210977,25 Sep 18,J S Equipments,Based On Sales Quotations 2760.,25 Sep 18,Maharashtra,,0,"8,31,522.40",Closed,No,0,0,0,G-11 Matru Mandir Next To I.T. Office Entrance 278 Tardeo Road Grant Road West Mumbai 400007 Maharashtra,G-11 Matru Mandir Next To I.T. Office Entrance 278 Tardeo Road Grant Road West Mumbai 400007 Maharashtra,0,831522.40,126842.40,27543,Mithun Trisule,
10210976,25 Sep 18,GE Diesel Locomotive Pvt. Ltd.,Based On Sales Quotations 2661.,3 Oct 18,Maharashtra,,0,"5,664.00",Closed,No,0,0,0,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,Diesel Locomotive Factory Village Bajid Bhoraha and Talpuraina Tehsil Marhowra Saran 841418 Bihar,0,5664,864,27248,Neha Mundhe,
10210975,25 Sep 18,Bituflex Shipping And Trading LLP,Based On Sales Quotations 2747.,8 Oct 18,Maharashtra,,0,"21,60,205.80",Closed,No,0,0,0,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,4th Floor Gift One Tower Gandhinagar 382355 Gujarat,0,2160205.80,329522.92,27528,Rajani Ong,
10210974,24 Sep 18,Applied Materials India Pvt. Ltd.,Based On Sales Quotations 2742.,31 Aug 18,Maharashtra,,0,"18,515.96",Closed,No,0,0,0,Exploration Centre Indian Institute of Technology Bombay Powai Mumbai 400076 Maharashtra,Unit 5 3rd Floor Explorer Building International Technology Park Whitefield Road Bangalore 560066 Karnataka,0,18515.96,2824.47,26676,Swati Bhosale,
10210973,24 Sep 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 2200.,5 Oct 18,Maharashtra,SAP Rejected (must fill remarks columns in SAP),0,"19,485.94",Closed,No,0,0,0,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,IndiaTechnical Centre Division: Dahanukar Colony Kothrud Pune 411038 Maharashtra,0,19485.94,2972.44,26498,Sarika Tanawade,
