manufacturer_id,name,image,identifier,website,description,is_featured,status,option_id,meta_keywords,meta_description,file,brand_icon,featured_order,sap_code
3796,WEG,weg.jpg,weg,NULL,NULL,0,1,3596,,,b:0;,weg.jpg,0,NULL
3797,WEHSCO,wehsco.jpg,wehsco,NULL,NULL,0,1,3597,,,b:0;,wehsco.jpg,0,NULL
3798,WEILER,weiler.jpg,weiler,NULL,NULL,0,1,3598,,,b:0;,weiler.jpg,0,NULL
3799,WEISS,weiss.jpg,weiss,NULL,NULL,0,1,3599,,,b:0;,weiss.jpg,0,1024
3800,WEKSLER,weksler.jpg,weksler,NULL,NULL,0,1,3600,,,b:0;,,0,NULL
3801,WELCH,NULL,welch,NULL,NULL,0,0,3601,,,,,NULL,NULL
3802,"WELD AID",weld-aid-.jpg,weld-aid,NULL,NULL,0,1,3602,,,b:0;,weld-aid-.jpg,0,NULL
3803,WELD-ON,weld-on.jpg,weld-on,NULL,NULL,0,1,3604,,,b:0;,,0,NULL
3804,"WELDBEND CORP.",weldbend-corp..jpg,weldbend-corp,NULL,NULL,0,1,3603,,,b:0;,weldbend-corp..jpg,0,NULL
3805,WELDWOOD,weldwood.jpg,weldwood,NULL,NULL,0,1,3605,,,b:0;,,0,NULL
3806,WELLER,weller.jpg,weller,NULL,NULL,0,1,3606,,,b:0;,,0,217
3807,"WELLS LAMONT",wells-lamont.jpg,wells-lamont,NULL,NULL,0,1,3607,,,b:0;,,0,NULL
3808,"WELLS MANUFACTURING",wells-manufacturing.jpg,wells-manufacturing,NULL,NULL,0,1,3608,,,b:0;,,0,NULL
3809,WERA,NULL,wera,NULL,NULL,0,1,3609,,,,,NULL,1100
3810,WERMA,werma.jpg,werma,NULL,NULL,0,1,3610,,,b:0;,,0,NULL
3811,WERNER,werner.jpg,werner,NULL,NULL,0,1,3611,,,b:0;,werner.jpg,0,NULL
3812,"WERNER ULTRA PRO",werner-ultra-pro.jpg,werner-ultra-pro,NULL,NULL,0,1,3612,,,b:0;,werner-ultra-pro.jpg,0,NULL
3813,WESCO,wesco.jpg,wesco,NULL,NULL,0,1,3613,,,b:0;,,0,2217
3814,WESTAFLEX,NULL,westaflex,NULL,NULL,0,0,3614,,,,,NULL,NULL
3815,WESTCOTT,westcott.jpg,westcott,NULL,NULL,0,1,3615,,,b:0;,westcott.jpg,0,NULL
3816,"WESTPOINT HOME",NULL,westpoint-home,NULL,NULL,0,0,3616,,,,,NULL,NULL
3817,WESTWARD,NULL,westward,NULL,NULL,0,0,275111,,,,,NULL,58
3818,"WET AND FORGET",wet-&-forget.jpg,wet-and-forget,NULL,NULL,0,1,3617,,,b:0;,wet-&-forget.jpg,0,NULL
3819,WEXCO,wexco.jpg,wexco,NULL,NULL,0,1,3618,,,b:0;,wexco.jpg,0,NULL
3820,"WG TRUCK",wg-truck.jpg,wg-truck,NULL,NULL,0,1,3619,,,b:0;,wg-truck.jpg,0,NULL
3821,WHEATON,wheaton.jpg,wheaton,NULL,NULL,0,1,3620,,,b:0;,wheaton.jpg,0,NULL
3822,WHEELER-REX,wheeler-rex.jpg,wheeler-rex,NULL,NULL,0,1,3621,,,b:0;,wheeler-rex.jpg,0,NULL
3823,WHIRLOUT,whirlout.jpg,whirlout,NULL,NULL,0,1,3622,,,b:0;,whirlout.jpg,0,NULL
3824,"WHITE BRITE",white-brite.jpg,white-brite,NULL,NULL,0,1,3623,,,b:0;,,0,NULL
3825,"WHITE LIGHTNING",white-lightning.jpg,white-lightning,NULL,NULL,0,1,3624,,,b:0;,white-lightning.jpg,0,NULL
3826,"WHITE MARBLE",white-marble-2.jpg,white-marble,NULL,NULL,0,1,3625,,,b:0;,white-marble-2.jpg,0,NULL
