Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
9227,2000350,25185,32091
9230,2000094,12195,14390
9231,2002708,122500,144550
9234,2000089,20380,24048
9247,2000055,26070,30763
9249,201815,10886,11431
9254,201782,750,795
9256,201819-3,18399,21159
9259,201780,40500,46170
9261,2000088-1,104104,133253
9263,201785,23200,26448
9266,201792,38528,40454
9275,201867,96120,110538
9292,2000058,171036,201822
9293,201821,26160,30084
9295,201797,40860,46580
9298,2000225,317460,406349
9302,201884,121873,140154
9305,201799,148692,170996
9312,201800,2000,2280
9313,201801,1198310,1258226
9316,201875-1,17750,19232
9319,201802,25609,26889
9321,201928,7556,8613
9323,201829,18046,20072
9324,201906,3000,3150
9329,201960,2262,2375
9331,201934,27450,28823
9334,201810,200130,225297
9335,201850,31040,35696
9336,2000134-1,524645,621319
9337,201814,3303,3765
9340,201812,26250,29925
9342,2000405,802605,802605
9343,201813,22840,23982
9344,2000133,61800,79104
9352,10210120,8160,9629
9357,201887,17528,19982
9359,201820,64200,73830
9360,201839,139236,160121
9365,201918,19995,20995
9366,201938,100844,100844
9367,2000035-1,53864,63560
9371,201865,161000,164220
9374,201861,15390,17699
9375,201838,71717,79200
9376,201874,28416,30121
9377,2000647,2100000,2478000
9381,2000057,260256,321258
9383,2000262,220072,259685
9383,99999003,4467,4467
9387,201846-1,22500,23625
9389,201902,28713,32732
9390,201834,25068,26321
9403,201908,15370,17676
9406,201840-1,207250,226825
9412,2000043,26358,27676
9415,2000626,15130,19366
9419,2000828,165090,194806
9425,201849,66652,76650
9429,2000393,47076,55549
9430,2000388,46171,54482
9431,201911,12141,13840
9433,201843,366122,366122
9434,201841,153811,153811
9435,201878,243731,258355
9440,2000008,4454,5256
9444,201891,25450,26723
9447,201853,1000,1150
9448,201854,7200,7200
9451,2000061,894337,1055318
9455,201859,277548,319180
9459,201860,210494,242068
9461,2001336,812384,1009784
9464,2000093-1,4530,5798
9465,2000049,13810,16296
9469,2000151,49236,58098
9471,2001982,42645,50321
9472,2000070,1713296,2193019
9478,201869,6270,6646
9479,2000429,6270,7399
9480,201871,6270,6646
9481,201872,6270,6646
9482,201873,6270,6646
9484,2000212,66825,85536
9485,2000117,130081,155310
9487,201898-2,295887,337433
9490,201889,2113,2409
9493,201877,2936,3347
9495,2000370,117936,134447
9499,2000010,12000,12600
9502,201984,18219,19312
9503,201879,490991,515541
9507,2000246,5463,6993
9517,201885,63834,72771
9518,202002-1,473113,496768
9540,2000054,748420,883136
9541,202003,4888,5132
9543,201890,2190,2321
9549,201895-1,512564,547627
9555,202007,1728626,1763198
9559,201897,24620,28313
9560,2000347,150000,177000
9565,2003362,1468868,1733264
9566,201900,2523934,2523934
9568,2000012,169477,189814
9569,201914,7070,7424
9571,201920,33000,37950
9574,201953,12189,14017
9575,201962-2,99484,114407
9579,201922,36845,42003
9580,2000083,25846,30498
9586,201917,3750,3938
9593,201907-2,30451,31974
9597,2000087,68154,80422
9597,99999082,64333,75913
9598,201921,68000,77520
9600,2000436,18900,22302
9607,2000510,15251,19077
9608,2000194,2585,2714
9609,202010,83900,88095
9614,201956,61163,69726
9615,2000064,12591,14858
9618,2000126,3200,3776
9619,201925-1,68174,71583
9621,201936-1,206098,216403
9623,2000108,105970,118686
9626,2000153-1,107880,127298
9627,201924,464226,533860
9628,201923,45000,51300
9630,201932-3,64041,70223
9631,2000115,2300,2714
9633,2000044,21250,22313
9634,201942,20708,23607
9635,2000002,1296000,1658880
9643,201933-1,509668,574767
9645,2000437,43686,51549
9647,2000003,19200,21504
9652,201937-1,10106,11133
9654,201957,34104,38879
9661,201941,19142,22013
9662,201954,6053,6900
9663,201992,3300,3795
9664,202040,42000,44100
9666,2000062,54632,58129
9667,201983,7146,8146
9668,2000368,21234,25056
9671,201985,21234,24207
9672,201949,147174,169250
9673,2000053,192567,227229
9674,202038,4525848,4525848
9678,202081,268500,316830
9682,2000276,1550,1829
9686,2000298,112035,132201
9686,99999099,568,670
9688,2000321,795867,939123
9690,201990,3623,4130
9696,201961,3300,3465
9706,202046,28028,30685
9709,202058,86951,93576
9713,202018,114210,130199
9714,2000068,78947,93157
9721,202070,142752,145607
9728,2000651,107060,126331
9729,201966,33940,35637
9730,2000147,218916,280212
9731,2000107,5410,6059
9732,2000280,792356,958824
9739,2000069-1,8446,9967
9740,201969,6250,7125
9741,2000116,93412,110226
9744,201973,55729,63531
9745,201970,7708,8787
9746,201971,2205,2514
9747,202085,8450,9633
9748,201974,1167,1330
9750,201975,9818,11193
9752,201976,37045,42231
9753,201977,37045,42231
9754,201978,37045,42231
9755,201979,37045,42231
9756,201980,37045,42231
9757,201981,37045,42231
9758,201982,37045,42231
9764,201996,990,1129
9770,201989,2684,3060
9771,2000067,15047,17756
9781,2000038,31040,36627
9785,2000047,4950,5841
9786,2000162,2500,3200
9787,201993,55692,63489
9788,202023-1,4600,5244
9793,2001145,32800,38704
9796,201998,85700,98555
9797,202000,4865,5108
9800,2000085,173223,204403
9804,2000245,9700,11446
9807,2000537,8590,10136
9809,2000042,97335,114855
9809,99999084,13073,15426
9818,202008,1137459,1160208
9828,2000795,50422,64540
9829,202012,28500,29925
9831,2000426,321312,403786
9836,202035,9152,10433
9838,2000046,20768,24506
9845,202025,192850,219849
9849,2000020,95852,113105
9851,202034,5896,6721
9853,202027,65600,74784
9856,2000369,65600,83968
9858,2000657,2601,3069
9859,2000187,2557,3017
9864,2000170,103191,132034
9865,2000279,266581,338379
9865,99999004,3582,3582
9869,2000268,11041,14132
9870,202052-3,95838,109255
9874,2001213,1295244,1295244
9875,202061,1020,1163
9877,2000034,65988,77866
9879,2000161-1,40783,48124
9884,202072,4404,5021
9885,202047,10680,12175
9892,2000027,38790,45772
9893,2000086,26569,34008
9897,2000033,9005,10626
9898,2000001-1,11175,12516
9901,2000186,1324,1562
9904,2000009-1,13545,15983
9906,2000048,357118,421399
9907,2000032,455026,509629
9909,2000644,40137,47362
9911,202063,584,666
9913,202064,3960,4514
9917,202069,443892,470526
9918,202067,3371535,3843550
9920,2000005,8400,9408
9925,2000140,18000,20160
9927,2000141,12000,13440
9928,2000081,2400,2688
9929,2000011,28799,33982
9932,2000249,16001,18881
9933,2000355,44415,56852
10000,2000395,50588,64753
10003,2000040,10350,12213
10004,2000016,24214,28573
10004,99999087,6054,7143
10010,2000631,15278,18028
10019,2000557,17751,20946
10022,2000015,466834,586908
10033,2002224,34253,40419
10034,2002215,7236117,7236117
10038,2000113,7940,9369
10043,2000215,6111,7822
10051,2000030,78389,100338
10055,2000023,18810,22196
10056,2000024,13110,15470
10057,2000026,12540,14797
10058,2000028-1,12540,14797
10059,2000029,6270,7399
10060,2000031,15390,18160
10061,2000037,9736,11488
10063,10210056,349248,412113
10069,2000412,66662,78661
10072,2000105,212444,250684
10076,2000869,1317393,1554524
10078,2000036,2800,3304
10080,2000119,19375,22863
10083,2000823,150195,160866
10084,2000041,19715,23264
10084,99999085,4810,5676
10085,2000363,150469,177553
10087,2000269,4888,5768
10089,2000039-1,45000,53100
10091,2000312,46182,59113
10093,2000091,221944,261894
10096,2000103,2208,2826
10100,2000090,74737,95663
10107,2000289,263500,310930
10108,2000097,6506,7678
10110,2000678,30409,38924
10111,2000203,16000,18880
10113,2002944,351810,415136
10117,2000072,3328,3927
10118,2000163,60000,70800
10119,2000100,68133,80397
10121,2000318,1217530,1452999
10123,2000490,12938,15291
10123,99999079,5235,6178
10127,2000132,7124,9119
10131,2000084,75000,96000
10131,2003612,37500,48000
10138,2000415,8244,10552
10139,2000281,37625,44398
10140,2000106-1,13704,16171
10142,2000438,39790,50931
10143,2000669,14994,17693
10146,2000414,563962,677446
10148,2000472,6000,7680
10152,2000574,165516,195309
10152,210200083,585,690
10156,2000411,42930,49927
10156,210200084,850,1003
10158,2001777,127882,147638
10162,2000101,6840,7182
10163,2000146,37131,43815
10165,2000104,43633,55850
10170,2000273,13000,15340
10171,2000291,8968,10582
10173,2000398,229979,279357
10175,2000686,69975,89568
10176,2000110,17680,19973
10177,2001348,2007527,2368882
10181,2000501,77788,99569
10184,2000127,320,410
10185,2000118,38850,45843
10195,2000122,31600,40448
10198,2000190,6100,7198
10200,2000150-2,27540,32497
10202,2000424,12500,16000
10203,2000182,6000,6720
10205,2000300,44231,52192
10206,2000139,92740,109433
10207,2001372,512541,604798
10208,2000143,3918,5016
10211,2000129,1817,2326
10213,2000282,24478,28884
10215,2000373,14353,16937
10216,2001798,64823,78066
10220,2000193,14056,17992
10223,2000152,5200,6336
10224,2000169,4460,5263
10227,2000138,1278,1509
10228,2000144,31550,37922
10232,2000635,153004,180545
10236,2000430,706,904
10237,2000171,2500,2950
10240,2000188,8313,9809
10241,10200032,18000,21240
10242,2000157,20070,23683
10244,2003168,28721,33891
10246,2002203,13712,16083
10246,99999066,38824,45812
10252,2000159,4334,5114
10252,99999081,60673,71594
10257,2000155,15000,19200
10258,2000340,59932,70720
10259,2000416,222000,261960
10260,2000164-1,305,360
10261,2000543,112026,142915
10263,2000353,16632,19626
10264,2000165,776,916
10266,2000166,1908,2251
10268,2000167,438,516
10269,2000209,1018,1201
10270,2000216,1018,1201
10273,2000406,5110,6030
10275,2000211,234,276
10276,2000213,531,626
10277,2000214,431,508
10278,2000160-2,30553,39108
10279,2000328,1743,2057
10281,2000217,531,626
10282,2000234,476,561
10284,2000172,38519,49304
10285,2000198,4558,5378
10286,2000236,35556,41956
10289,2000571,65012,76714
10292,2000514,34548,44221
10293,2000458-1,118020,139264
10295,2000175,516696,609701
10300,2000290,37800,48384
10301,2000180,7234,9215
10302,2000403,164767,194425
10304,2000632,9300,10974
10305,2000231,17699,20885
10309,2001658,658201,776677
10310,2001044,90607,106916
10312,2000201,1962,2315
10314,2000330-1,24172,25381
10315,2000327,310412,384336
10316,2000259,593,699
10317,2000360,762,899
10318,2000237,877,1035
10323,2000997,6000,7680
10326,2001910,13323,15721
10327,2000283,125793,148436
10328,2000633,9640,11735
10330,2000196-1,756,893
10332,2000197,598,705
10333,2000199,214,252
10334,2000200,598,705
10335,2001358,23305,27500
10336,2000202,598,705
10337,2000224,598,705
10338,2000204,1908,2251
10339,2000205,719,848
10340,2000208,468,553
10341,2000206,234,276
10342,2000207,234,276
10346,2000270,54000,63720
10346,2003707,8100,9558
10347,2000210,234,276
10351,2000553,57196,73211
10352,2001267,58454,74822
10353,2000220,1186,1399
10355,2000218,531,626
10357,2000219,1186,1399
10358,2000221,531,626
10359,2000222,1908,2251
10360,2000223,327,386
10361,2000226,1186,1399
10362,2000241,10852,12805
10363,2000439,36719,43328
10366,2000255,593,699
10368,2000227,719,848
10370,2000228,531,626
10372,2000256,531,626
10373,2000233,531,626
10375,2000513,22854,26968
10377,2000235,2453,2895
10378,2000238,27118,31999
10380,2000239,488,576
10381,2000240,531,626
10384,2000242,560,661
10386,2000345,32800,34440
10386,10200024,16400,17220
10386,99999042,32800,34440
10387,2000243,488,576
10389,2000244,954,1126
10392,2000559,12642,14159
10392,99999078,8428,9439
10396,2000984,187286,220997
10397,2000247,402,474
10398,2002614,1957,2309
10398,99999065,37206,43903
10399,2000603,4770,5629
10401,2000655,1450,1711
10402,2003504,6523,7697
10404,2000258,346,408
10405,2000250,16001,18881
10407,2000251,11201,13217
10408,2000252,4800,5664
10409,2000253,16001,18881
10411,2000260,762,899
10412,2000263,2438,2877
10413,2000649,81672,104540
10414,2000264,531,626
10415,2000265,762,899
10416,2000266,834,984
10417,2000267,2599,3067
10418,2000407,11125,13128
10422,2000272,44536,57006
10424,2000590,2853566,3367208
10425,2000271,5560,6837
10428,2000304,164210,210189
10433,2002003,14444,17044
10434,2002089,6900,8832
10435,2002137,3913,5009
10438,2000293,32384,38213
10440,2000441,5932,7080
10443,2000562,13900,16402
10445,2000404,39189,46243
10446,2000421,62400,79872
10456,2000299,21731,26591
10461,2000525,2800,3304
10463,2000325,31900,37642
10465,2000746,76250,97600
10467,2000351,28578,36580
10469,2000428,187588,223252
10470,2000386,32895,38816
10472,2000672,143994,182797
10473,2000354,7450,8791
10475,2000294,13209,15587
10478,2000496,11663,13762
10479,2001279,2940,3401
10483,2000302,33050,38999
10486,2000387-1,12649,15784
10489,2000545,105390,124360
10490,2000303,180000,201600
10491,2000485,136535,174765
10491,10610147,239465,282569
10492,2000445,41648,46646
10494,2001142,41790,49312
10495,2000554,116000,136880
10496,2000640,65223,76807
10497,2000443,4690,5534
10498,2000366,8100,9558
10502,2000639,361,426
10503,2001028,254723,326046
10503,99999072,2000,2560
10505,2000576,153600,161280
10506,2000397,5438,6960
10507,2000314,19229,22690
10510,2000476,78725,92896
10514,2000315-1,1047258,1314246
10515,2000563,3160,3729
10516,2000365,102080,120454
10517,202090,167266,192356
10525,2000391,308100,394368
10527,2000322,27118,31999
10529,2000326,12713,15001
10530,2001774,42940,42940
10531,2000617,54644,69944
10531,99999077,54644,69944
10534,2000653,11976,14254
10536,2000479,4114,5266
10539,2000394,26321,31058
10540,2000329,9003,10624
10541,10200222,2729458,3220760
10543,2000331-1,12086,12690
10546,2000339,1655,2118
10549,2000341,2100,2478
10550,2000349,5971,7045
10554,2000343,18500,21830
10555,2000344,5180,6112
10556,2001755,4410,5645
10558,2000379,103158,132042
10559,2000606,7621,8992
10560,2000536,18136,22327
10562,2001266,1405,1706
10570,2000431,3749,4423
10579,2000348,892,1053
10608,2000483,3300,3696
10611,2000502,4200,4410
10614,2000417-1,30456,38984
10617,2001027,63068,80727
10625,2000359,446,526
10627,2000561,38890,45890
10628,2000475,10365,12231
10629,2000737,120000,153600
10631,2000447,6800,8024
10634,2000361,877,1035
10638,2000362,678,801
10639,2000364,2819,3326
10641,2000367,9816,10994
10649,10210392,258985,305602
10650,2000650,7044,8312
10653,2000381,2014,2256
10655,2000579,6375,8160
10658,2000371,877,1035
10661,2000372,2776,3276
10665,2000374,402,474
10667,2000478,6960,7308
10668,2000376,673,794
