Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
14001,2002246,28060,33111
14002,2002087,22200,27380
14003,2001861,1552,1831
14005,2003372,234983,277280
14006,2001884,11502,13826
14008,2002594,353489,417117
14020,2001921,269580,269580
14023,2001883,1064,1362
14035,2001920,8248,9732
14059,2001859,1354,1598
14065,2002048,23520,27754
14068,2002480,12086,12690
14069,10200141,5147,5404
14080,2001868,26782,33571
14081,2001962,27368,32294
14085,2002276,18610,22650
14086,2001870,694,819
14087,2001871,694,819
14088,2001872,212,250
14096,2001874,201122,237324
14100,2002599,17265,20064
14103,2001896,33232,39214
14117,2001875,33600,39648
14123,2001906,1880,2218
14126,2001957,368805,435190
14129,2001917,20000,21000
14130,10400018,7530,8885
14134,2002054,23889,28189
14137,2001911,9947,10445
14138,2002013,60000,70800
14139,2001881,2558,3018
14145,2001886,864,1020
14168,2001887,377,445
14169,2001888,294,347
14170,2002583,3875298,4572851
14173,2001890,377,445
14175,2002006,2500,2950
14183,2002009,5700,7296
14186,2002012,23189,27813
14187,2001898,3257,3843
14190,2002691,12005,14166
14195,2001895,6641,8500
14200,2001899,1749000,2063820
14201,2002520,8106,9565
14203,2002107,120740,148683
14204,10200155,9018,10100
14205,2001900,803,948
14206,2001901,920,1085
14207,2001902,954,1126
14208,2001903,3348,3950
14209,2001904,980,1156
14210,2001905,747,881
14215,2003058,156389,194927
14218,2001933,200000,256000
14228,2001907,212,250
14229,2001908,2420,2856
14230,2001909,212,250
14235,2002484,4462,5265
14236,2001913,6800,8024
14238,2002459,17698,20849
14252,2001993,61473,78685
14257,2002077,312745,374742
14257,99999008,250688,295812
14261,2002251,30500,35990
14264,2001922,22083,24733
14268,2001925,547,646
14270,2001926,568,670
14272,2001928,568,670
14273,2001929,568,670
14274,2001930,568,670
14275,2002022,13300,15694
14276,2002024,3424,4040
14277,2001934,251370,296617
14277,2003645,98049,115698
14277,99999048,3381,3990
14296,2001935,694,819
14297,2001936,385,454
14300,2001937,377,445
14301,2001938,568,670
14302,2001939,694,819
14303,2001940,3700,4440
14308,2001941,9641,11376
14309,2001942,694,819
14310,2001943,212,250
14311,2001944,336,397
14312,2001945,504,595
14314,2001946,212,250
14315,2001947,385,454
14316,2001948,2109,2700
14317,2001949,233,275
14318,2001950,846,998
14319,2001951,397,468
14320,2003237,12400,15872
14321,2001954,30324,35783
14322,2002258,11410,13464
14324,2001952,877,1035
14325,2002496,59502,70213
14333,2002178,6043,6345
14339,2003205,1049596,1238523
14342,2001958,19515,23028
14343,2001961,4377,5165
14344,2002018,8050,9016
14346,10210126,8859,10454
14348,2002550,7804,9989
14352,2002217,2526,2981
14357,2001966,954,1126
14358,2001967,747,881
14361,2001968,694,819
14362,2001969,954,1126
14363,2001970,694,819
14372,2003371,26036,30722
14382,2001972,212,250
14384,2001973,252,297
14385,2001974,354,418
14386,2001975,694,819
14387,2001977,151200,178416
14389,2002019,8553,9938
14390,2001976,13790,15445
14391,2002462,33564,39606
14410,2002623,66606,78595
14411,2002049,38250,45135
14413,2001980,796,939
14414,2001981,1378,1626
14417,2001983,734,866
14418,2001984,247,291
14419,2001985,261,308
14420,2001986,954,1126
14422,2002005,977,1153
14429,2002204,9152,10799
14431,2001992,252,297
14433,2002021,26316,31053
14435,10400020,100238,118281
14463,2001995,354,418
14464,2001996,220,260
14465,2002046,28890,34090
14467,2001997,3053,3603
14468,2001998,220,260
14469,2001999,2456,2898
14470,2002477,7107,8386
14471,2002461,1740,1827
14472,2002004,631,745
14474,2002587,374230,441591
14480,2002633,4688,5531
14512,2002014,694,819
14518,2002015,546,644
14519,2002016,385,454
14520,2002017,846,998
14521,2002166,22888,27008
14523,2002062,89677,95734
14524,2002609,47030,52859
14526,2002102,10365,12231
14532,10211260,569412,671906
14540,2002435,313487,390924
14540,210200087,4144,4890
14542,2002033,6000,7080
14544,2002025,293,346
14547,2002027,354,418
14548,2002028,631,745
14549,2002029,419,495
14550,2002030,631,745
14551,2002031,561,662
14560,2002044,20563,24660
14585,2002036,561,662
14586,2002037,561,662
14587,2002038,561,662
14588,2002039,561,662
14594,2002040,603,712
14595,2002041,2456,2898
14596,2002042,377,445
14597,2002043,631,745
14598,2002111,41744,49258
14609,2002050,33600,39648
14613,2002051,547,646
14614,2002053,1354,1598
14616,2002216,10188,12022
14618,2002055,45479,53665
14618,2003646,15160,17888
14618,99999047,2527,2981
14628,2002063,25365,29931
14628,99999009,2930,3457
14645,2002057,1354,1598
14646,2002058,877,1035
14650,2002059,397,468
14651,2002060,561,662
14652,2002061,846,998
14653,2002226,6900,8142
14661,2002539,15432,18210
14663,2003507,21023,24807
14667,2002065,247,291
14668,2002066,980,1156
14669,2002067,1493,1762
14686,2002068,561,662
14689,2002069,561,662
14690,2002070,694,819
14699,2002097,13890,17779
14705,2002078,4088,4824
14707,2002466,26439,26439
14709,2002485,76316,90053
14712,2002122,96501,113871
14713,2002072,264,311
14714,2002073,2948,3478
14715,2002074,1737,2049
14716,2002075,980,1156
14741,2002079,694,819
14742,2002080,354,418
14743,2002081,263,310
14744,2002082,354,418
14745,2002083,220,260
14750,2002084,377,445
14751,2002085,339,400
14752,2002086,242,285
14753,2002176,33066,39018
14754,2002090,848,1000
14757,2002483,17325,20444
14759,2002091,56250,63000
14762,2002118,37000,43660
14768,2002518,14796,17459
14770,2002094,264,311
14776,2002101,9600,11328
14796,2002098,293,346
14797,2002099,354,418
14798,2002100,694,819
14804,2002139,241022,285140
14811,2003183,34480,38618
14815,10610040,500850,591003
14816,2003085,44700,50471
14816,99999063,2625,2756
14817,2002108,600,708
14819,2002109,754,890
14826,2002113,2456,2898
14827,2002114,2456,2898
14828,2002115,293,346
14829,2002116,1354,1598
14832,2002117,1737,2049
14834,2002123,38750,43400
14835,2002272,12900,14910
14841,2002845,3532,3532
14842,2002143,29883,35262
14847,2002174,18293,21586
14850,2002124,780,920
14852,2002125,1354,1598
14853,2002126,747,881
14854,2002127,980,1156
14855,2002128,1354,1598
14857,2002205,7764,9162
14877,2002129,377,445
14878,2002130,377,445
14879,2002131,354,418
14880,2002132,220,260
14881,2002133,694,819
14882,2002134,354,418
14886,2002861,11400,13452
14888,2003217,4252,5017
14892,2002605,89472,105577
14895,2002160,292347,344969
14902,2002140,252,297
14903,2002141,419,495
14904,2002221,8159,9628
14927,2002145,377,445
14928,2002146,220,260
14929,2002147,380,448
14931,2002148,1699,2005
14936,2002149,377,445
14937,2002150,354,418
14938,2002151,397,468
14941,2002153,1354,1598
14942,2002154,293,346
14943,2002155,267,315
14946,2002827,330970,390545
14947,2002751,30450,35931
14949,2002158,31670,33926
14949,99999014,330,389
14954,2002749,18850,22243
14955,2002157,2020,2384
14958,2003059,26316,31053
14959,2002750,21750,25665
14960,2002259,192893,216040
14961,2002492,4754,5609
14962,2002755,53650,63307
14963,2002275,5266,6214
14963,2003652,490,578
14965,2002752,37700,44486
14967,2002273,1675,1759
14968,2002754,49300,58174
14971,2002753,40600,47908
14972,2002161,4410,5645
14973,2002175,4029,4754
14977,2002622,81677,96379
14981,2002968,98920,116725
14983,2002966,32791,38693
14984,2002167,2545,3003
14985,2002168,293,346
14986,2002170,261,308
14987,2002172,354,418
14988,2002173,629,742
14989,2002612,26728,31539
15005,10210074,71468692,71468692
15007,2002184,694,819
15008,2002185,377,445
15009,2002186,273,322
15010,2002187,252,297
15011,2002188,252,297
15012,2002189,432,510
15013,2002190,336,397
15014,2002191,380,448
15015,2002192,759,896
15016,2002193,380,448
15017,2002194,422,498
15018,2002195,354,418
15019,2002196,846,998
15020,2002197,694,819
15029,10210128,7246634,8551028
15029,10210328,6072522,7165576
15032,2002248,5118,5732
15034,2002641,9260,10927
15040,2003229,1659,1957
15040,99999061,776,916
15041,2002207,1737,2049
15042,2002208,1058,1248
15043,2002209,1058,1248
15044,2002210,747,881
15045,2002211,1737,2049
15048,2002697,146071,172364
15055,2002689,174648,206085
15068,2002213,397,468
15069,2002214,25800,28896
15073,2002774,23700,27965
15075,2002545,6995,8254
15076,2002238,12870,12870
15079,2002228,1303,1537
15085,2002538,16000,18880
15089,2002239,28421,33537
15091,2002709,4829,5698
15092,2002230,49320,58198
15093,2002231,620,732
15094,2002232,620,732
15096,2002233,432,510
15097,2002234,252,297
15098,2002235,354,418
15099,2002236,7904,9326
15100,2002237,694,819
15104,2002266,9600,11328
15115,2002241,2420,2856
15116,2002242,379,447
15117,2002243,2288,2700
15118,2002244,2708,3195
15119,2002245,694,819
15120,2002532,42476,50121
15121,2002426,47368,60631
15125,2002250,14900,17582
15126,2002519,97500,102375
15128,2002601,10880,11424
15129,2002544,16800,16800
15130,2002531,9310,10986
15132,2002434,4376,5164
15134,2002257,44825,50918
15136,2002252,4318,5095
15137,2002253,620,732
15138,2002254,864,1019
15140,2002255,620,732
15142,2002267,1600,1792
15157,2002260,631,745
15158,2002261,877,1035
15166,2002262,846,998
15167,2002263,220,260
15168,2002264,394,465
15169,2002270,9187,11392
15170,2002271,8576,10671
15171,2002596,386560,456140
15172,2002287,78931,93139
15174,2002265,276,326
15176,2003075,669016,669016
15207,2002665,192885,246893
15215,2002286,6043,6345
15218,2002277,980,1156
15219,2002278,2545,3003
15220,2002279,2037,2403
15221,2002280,531,626
15222,2002281,365,431
15223,2002282,1991,2349
15224,2002283,276,326
15227,2002284,369,435
15228,2002285,1886,2225
15230,2002436,3066,3618
15231,2002288,1022,1206
15250,2002289,380,448
15251,2002290,394,465
15252,2002291,694,819
15254,2002521,55624,65636
15256,2002294,2288,2700
15257,2002295,352,415
15258,2002296,2453,2895
15259,2002297,373,440
15260,2002298,267,315
15261,2002299,263,310
15262,2002300,331,390
15263,2002301,352,415
15264,2002302,377,445
15265,2002303,220,260
15266,2002304,1652,1949
15267,2002305,377,445
15268,2002306,377,445
15269,2002307,694,819
15270,2002308,729,860
15271,2002309,293,346
15272,2002310,377,445
15273,2002311,212,250
15274,2002312,503,594
15275,2002313,364,430
15276,2002314,377,445
15277,2002315,364,430
15278,2002316,364,430
15279,2002317,364,430
15280,2002318,385,454
15281,2002319,252,297
15282,2002320,694,819
15283,2002321,694,819
15284,2002322,631,745
15285,2002323,385,454
15286,2002324,264,311
15287,2002325,212,250
15288,2002326,2456,2898
15289,2002327,336,397
15290,2002328,339,400
15291,2002329,2456,2898
15292,2002330,694,819
15293,2002331,694,819
15294,2002332,754,890
15295,2002333,263,310
15296,2002334,212,250
15297,2002335,377,445
15298,2002336,427,504
15299,2002337,450,531
15300,2002338,212,250
15301,2002339,694,819
15302,2002340,377,445
15303,2002341,754,890
15304,2002342,254,300
15305,2002343,212,250
15306,2002344,568,670
15307,2002345,568,670
15308,2002346,568,670
15309,2002433,16000,18880
15310,2002351,800,944
15310,2003653,2400,2832
15311,2002347,568,670
15312,2002348,631,745
15313,2002349,354,418
15314,2002350,354,418
15315,2002352,2420,2856
15316,2002353,336,397
15317,2002354,354,418
15318,2002355,846,998
15319,2002356,846,998
15320,2002357,631,745
15321,2002358,1354,1598
15322,2002360,354,418
15323,2002361,2109,2489
15324,2002362,354,418
15325,2002363,2109,2489
15326,2002364,561,662
15327,2002365,2288,2700
15328,2002366,561,662
15329,2002367,220,260
15330,2002368,561,662
15331,2002369,561,662
15332,2002370,354,418
15333,2002371,561,662
15334,2002372,1354,1598
15335,2002373,694,819
15336,2002374,694,819
15337,2002375,380,448
15338,2002376,380,448
15339,2002377,220,260
15340,2002378,561,662
15341,2002379,631,745
15342,2002380,294,347
15343,2002381,354,418
15344,2002382,258,305
15345,2002383,377,445
15346,2002384,377,445
15347,2002385,220,260
15348,2002386,694,819
15349,2002387,354,418
15350,2002388,220,260
15351,2002389,694,819
15352,2002390,631,745
15353,2002391,694,819
15354,2002392,220,260
15355,2002393,377,445
15356,2002394,846,998
15357,2002395,419,495
15358,2002396,846,998
15359,2002397,354,418
15360,2002398,377,445
15361,2002399,694,819
15362,2002400,2456,2898
15363,2002401,694,819
15364,2002402,9641,11376
15365,2002403,1354,1598
15366,2002517,16950,20001
15366,99999034,3800,4484
15366,210200104,800,944
15367,2002404,631,745
15368,2002405,397,468
15369,2002406,220,260
15370,2002407,631,745
15371,2002408,377,445
15372,2002409,1508,1780
15373,2002410,397,468
15374,2002411,694,819
15375,2002413,1354,1598
15376,2002414,252,297
15377,2002415,568,670
15378,2002416,212,250
15379,2002417,631,745
15380,2002418,419,495
15381,2002419,631,745
15382,2002420,220,260
15383,2002421,261,308
15384,2002422,397,468
15386,2002423,354,418
15387,2002424,252,297
15388,2002425,694,819
15392,2002427,694,819
15398,2002428,694,819
15399,2002429,1354,1598
15401,2002430,352,415
15403,2002431,297,351
15404,2002432,297,351
15407,2002534,2410,2844
15408,2001015,1166484,1166484
15408,2002200,3907286,3907286
15415,2002438,40000,47200
15416,2002698,101260,119487
15425,2002479,13096,14668
15428,2002439,276,326
15429,2002440,276,326
15430,2002441,276,326
15431,2002442,276,326
15432,2002443,276,326
15433,2002444,620,732
15434,2002445,553,652
15435,2002446,276,326
15436,2002447,276,326
15437,2002448,276,326
15438,2002449,293,346
15439,2002450,229,270
15440,2002451,1737,2049
15441,2002452,747,881
15442,2002453,620,732
15443,2002454,220,260
15444,2002455,380,448
15486,2002456,3226,3807
15489,2002460,193790,228672
15502,2002595,8326,9825
15505,2002463,3267,3855
15506,2002478,10720,12650
15508,2002678,34222,40382
15510,2002529,1450,1711
15515,2002475,32759,38656
15515,99999016,123963,146276
15517,2002476,60000,70800
15518,2002467,2545,3003
15519,2002468,2545,3003
15520,2002469,2545,3003
15521,2002470,2545,3003
15522,2002471,903,1066
15523,2002472,365,431
15525,2002473,369,435
15526,2002474,380,448
15529,2003271,28202,32973
15529,2003713,59836,70606
15529,99999046,146073,172366
15545,2002481,846,998
15546,2002535,2520,2974
15547,2002482,220,260
15551,2002939,6600,7392
15559,10200073,262353,309577
15564,2002494,80500,94990
15568,2002486,1051,1240
15569,2002487,731,862
15570,2002488,980,1156
15571,2002489,365,431
15573,2002490,365,431
15577,2003185,78443,92563
15603,2002495,380,448
15608,2003401,85272,100621
15609,2002497,220,260
15610,2002498,694,819
15611,2002499,1354,1598
15612,2002500,1007,1188
15613,2002501,2288,2700
15614,2002502,220,260
15615,2002503,653,770
15616,2002504,220,260
15617,2002505,347,410
15618,2002506,352,415
15619,2002507,220,260
15620,2002508,280,330
15621,2002509,352,415
15622,2002510,394,465
15623,2002511,2288,2700
15624,2002512,602,710
15625,2002513,877,1035
15626,2002514,339,400
15627,2002515,326,385
15628,2002516,220,260
15636,2002530,11952,14104
15637,10210409,208756,246332
15638,2002522,297,351
15639,2002523,297,351
15640,2002524,1991,2349
15641,2002525,261,308
15642,2002526,1991,2349
15643,2002527,620,732
15644,2002528,1737,2049
15666,2003144,39640,46775
15670,2002537,19995,23594
15671,2002586,14569,16672
15681,10210093,212,250
15684,2002540,3982,4698
15685,2002541,620,732
15686,2002542,365,431
15687,2002543,365,431
15689,2002546,377,445
15690,2002547,352,415
15691,2002548,620,732
15693,2002588,4066,4797
15693,99999017,12498,14747
15709,2002552,1991,2349
15710,2002553,258,305
15711,2002554,377,445
15712,2002555,846,998
15713,2002556,377,445
15714,2002557,294,347
15715,2002558,252,297
15716,2002559,252,297
15719,2002560,220,260
15720,2002561,394,465
15726,2002562,877,1035
15727,2002563,503,594
15728,2002564,283,334
15729,2002565,380,448
15730,2002566,694,819
15731,2002567,380,448
15732,2002568,377,445
15733,2002569,377,445
15734,2002570,220,260
15743,2002821,41364,48810
15744,2003081,218421,257737
15748,2002574,3460,4083
15749,2002772,5000,5900
15757,2002575,531,626
15758,2002576,1051,1240
15759,2002577,300,354
15760,2002578,251,296
15761,2002579,365,431
15762,2002580,980,1156
15763,10610372,207650,245027
15765,2002581,2431,2869
15766,2002582,2288,2700
15770,2002584,465230,548971
15778,2002683,6840,7182
15780,2002593,16520,17346
15780,99999015,530,557
15793,2002589,846,998
15795,2002590,846,998
15796,2002591,380,448
15797,2002592,1493,1762
15798,2002686,19728,23044
15799,2002688,38718,45687
15804,2002630,8600,10148
15813,2002806,6452,7613
15815,2003529,25353,29917
15816,2002602,326,385
15817,2002603,267,315
15818,2002604,4217,4976
15819,2002696,2680,3162
15821,2002684,1850,2183
15841,2002610,352,415
15845,2002801,822,970
15849,2002826,63802,81667
15856,2003060,9490,11198
15857,2002663,270500,305240
15857,99999013,9500,10760
15860,2002707,26472,31237
15861,2002615,365,431
15862,2002616,229,270
15863,2002617,1991,2349
15865,2002619,380,448
15866,2002620,1886,2225
15868,2002679,89590,105716
15893,2002621,369,435
15895,2003385,239984,283181
15896,2002667,19149,22596
15899,2002692,446039,446039
15900,2003201,21073,24866
15903,2002810,31232,36854
15904,2002742,9572,11295
15906,2002769,5750,6785
15906,99999097,33530,39565
15907,2002658,2076,2450
15908,2002863,4565,5387
15908,2003663,11720,13830
15911,2003209,25410,28459
15912,2002624,1991,2349
15913,2002625,620,732
15914,2002626,300,354
15915,2002627,620,732
15916,2002628,1991,2349
15917,2002629,694,819
15924,2002636,130870,154427
15956,2002631,377,445
15957,2002632,380,448
15964,2003023,12086,12690
15967,2002973,1885000,2224300
15970,2002640,21000,24780
15971,2002677,44916,53001
15979,2002777,29972,38364
15981,2002645,620,732
15982,2002646,538,635
15985,2003065,46260,46260
15986,2002647,2288,2700
15987,2002648,694,819
15988,2002649,2420,2856
15991,2003071,33480,33480
15992,10200124,1500000,1770000
16010,2002654,2288,2700
16011,2002655,241,284
16014,2002660,9600,11328
16018,2003399,2076,2450
16021,2002661,9748,11502
16029,2002662,1354,1598
16032,2002664,2076,2450
16033,2003041,18505,21836
16033,99999035,9010,10632
16033,210200100,4643,5479
16034,2003147,19900,23482
16035,10200021,19000,22420
16037,2002682,35211,41549
16045,2003255,26659,31458
16046,2002687,18000,21240
16047,2002723,146317,172654
16050,2002676,102666,121146
16051,2002717,63368,74774
16054,2002668,229,270
16055,2002669,620,732
16056,2002670,300,354
16057,2002671,297,351
16058,2002672,300,354
16059,2002673,1050,1239
16060,2002675,2283,2694
16061,2002702,32118,37899
16068,2002937,18632,21986
16069,2003092,39158,46206
16077,2002680,322,380
16081,2002681,620,732
16087,2002965,16306,19289
16092,2002964,122228,144229
16093,2002839,10560,12461
16100,2002690,620,732
16101,2002829,2792,2792
16102,2002693,2283,2694
16103,2002694,2246,2650
16104,2002695,300,354
16116,2002700,1354,1598
16117,2002701,394,465
16118,2002800,4000,4720
16119,2002805,470,555
16123,2003120,370482,437169
16126,2003131,41468,48932
16128,2002704,11000,11550
16133,2002703,846,998
16136,2003064,98280,98280
16137,2002799,17400,19488
16148,2002711,394,465
16149,2002798,38422,45338
16151,2002716,4152,4899
16156,2002718,1237572,1460335
16159,2002719,1508585,1780130
16160,2002720,602092,710469
16162,2002743,1988,2346
16164,2002813,36716,43325
16166,2002738,51250,60475
16167,2002733,6840,7182
16169,2002725,2222,2621
16171,2002727,759,895
16172,2002728,1111,1311
16173,2002729,538,635
16174,2002730,300,354
16175,2002731,620,732
16176,2002732,620,732
16177,2002734,551,650
16178,2002735,694,819
16179,2002736,1050,1239
16180,2002737,3474,4099
16181,2003335,98000,115640
16185,2003025,18360,21665
16185,99999096,18360,21665
16186,2003560,53676,63338
16186,99999052,100440,118519
16186,99999095,540,637
16195,2002739,877,1035
16196,2002740,258,305
16197,2003088,11366,13412
16200,2002741,114000,134520
16209,2003026,31701,40577
16217,2002744,229,270
16218,2002745,394,465
16219,2002746,694,819
16235,2002795,232320,274138
16236,2003287,11535,13024
16237,2002756,2445,2885
16241,2002757,252,297
16242,2002758,322,380
16243,2003158,57087,73071
16253,2002759,398,470
16254,2002760,280,330
16255,2002761,258,305
16256,2002762,694,819
16257,2002763,700,826
16258,2002764,551,650
16259,2002765,694,819
16261,10200093,34884,41163
16262,2002828,222480,262526
16266,2002927,2476254,2921980
16267,2002766,14900,17582
16268,2002797,34630,40863
16269,2002864,2794,3297
16270,2003330,2712,3200
16273,10200105,50200,59236
16276,2002770,4410,5204
16282,2002862,5957,7029
16283,2002773,2344,2766
16285,2002807,85000,100300
16291,2002779,1111,1311
16292,2002780,286,338
16293,2002781,286,338
16294,2002782,286,338
16295,2002783,286,338
16296,2002784,286,338
16297,2002785,1737,2049
16298,2002786,286,338
16299,2002787,286,338
16300,2002788,229,270
16301,2002789,286,338
16302,2002790,229,270
16303,2002791,229,270
16304,2002792,620,732
16305,2002793,300,354
16306,2002794,286,338
16309,2002818,157894,186315
16317,2002802,846,998
16320,2003370,23000,27140
16320,99999058,4200,4956
16321,2002831,282080,332855
16323,2002842,3020400,3564072
16324,2002811,259145,305791
16326,2003204,650,767
16329,2002943,9107,10746
16329,2003710,911,1075
16331,2002808,10260,10773
16335,2002819,15142,15899
16337,2002814,300,354
16338,2002815,620,732
16339,2002816,394,465
16340,2002817,352,415
16346,2002823,50000,59000
16352,2002940,15384,18153
16355,2002824,1354,1598
16356,2002825,252,297
16359,2003072,327800,386804
16364,2003181,29520,34834
16368,2002832,212400,250632
16373,2003309,2430,2867
16375,2003280,21860,25795
16379,2002833,11441,13500
16380,2002834,255,301
16381,2002835,322,380
16385,2003021,12000,14160
16386,2002972,2250,2655
16395,2002836,846,998
16396,2002837,301,355
16399,2002838,283,334
16400,2003240,21053,24843
16401,2003227,26316,31053
16402,2003232,9474,11179
16403,2003241,19516,23029
16404,2003056,103140,121705
16408,2002841,8850,10443
16413,2002844,229,270
16414,2002846,28260,33347
16423,2002847,2288,2700
16424,2002848,352,415
16425,2002849,754,890
16429,2002850,377,445
16430,2002851,2288,2700
16431,2002852,2288,2700
16432,2002853,597,705
16434,2002855,377,445
16436,2002856,252,297
16438,2003687,2768,3266
16440,2003228,15304,18059
16443,2002857,249,294
16447,2002859,9600,11328
16447,99999088,74140,87485
16447,210200099,3960,4673
16448,2003042,82632,86764
16455,2003281,18172,18172
16459,2002941,65000,76700
16461,2003376,6129,6864
16465,2002926,45290,53442
16468,2002865,9748,11502
16469,2002866,352,415
16470,2002867,631,745
16471,2002868,294,347
16472,2002869,394,465
16473,2002870,966,1140
16474,2002871,377,445
16475,2002872,694,819
16476,2002873,694,819
16477,2002874,432,510
16478,2002875,877,1035
16479,2002876,322,380
16480,2002877,377,445
16481,2002878,352,415
16482,2002879,252,297
16483,2002880,301,355
16484,2002881,352,415
16485,2002882,258,305
16486,2002883,258,305
16487,2002884,694,819
16488,2002885,694,819
16489,2002886,877,1035
16490,2002887,694,819
16492,2002888,2420,2856
16493,2002889,1354,1598
16494,2002890,352,415
16495,2002891,326,385
16496,2002892,694,819
16497,2002893,631,745
16498,2002894,694,819
16499,2002895,380,448
16500,2002896,377,445
16501,2002897,377,445
16502,2002898,258,305
16503,2002899,380,448
16504,2002900,2288,2700
16505,2002901,326,385
16506,2002902,846,998
16507,2002903,877,1035
16508,2002904,4492,5301
16509,2002905,694,819
16510,2002906,846,998
16511,2002907,380,448
16512,2002908,694,819
16513,2002909,432,510
16514,2002910,352,415
16515,2002911,432,510
16516,2002912,352,415
16517,2002913,336,396
16518,2002914,301,355
16519,2002915,1354,1598
16520,2002916,2277,2687
16521,2002917,694,819
16522,2002918,551,650
16523,2002919,694,819
16524,2002920,551,650
16525,2002921,631,745
16526,2002922,492,581
16527,2002923,475,560
16528,2002924,339,400
16529,2003040,85432,100810
16539,2002925,846,998
16541,2003331,6437,7596
16543,2002934,38400,45312
16545,2002933,6400,7552
16548,2002936,6600,7788
16549,2003047,3710,4378
16550,2003226,6053,7143
16550,2003712,3740,4413
16553,10200140,21717,25626
16560,2003083,87531,103287
16562,2003133,228893,270094
16562,99999062,128088,151144
16566,10300085,1274648,1504085
16590,2002942,694,819
16593,2003062,65435,77213
16595,11210007,23534,27770
16598,2002947,112500,132750
16600,2002949,6350,7493
16602,2002951,1267828,1267828
16607,2002948,3327,3926
16614,2003044,60525,77472
16616,2003356,157298,185612
16619,2002963,1286000,1517480
16633,2002956,24632,29066
16634,2002957,1354,1598
16637,2002960,7880,9298
16640,2002962,377,445
16643,2002970,2118,2499
16644,10200052,613,723
16654,2002967,190783,225124
16660,2003105,23700,30336
16663,2002971,338,399
16665,10200098,69749,82304
16665,99999032,8683,10246
16667,2003476,80435,94913
16667,99999056,288790,340772
16672,2002979,435368,513734
16675,10200023,19072,24257
16677,2002974,694,819
16679,2002992,14400,16992
16681,2002976,377,445
16682,2002977,694,819
16683,2002978,14000,16520
16684,2003022,72306,85321
16688,2003063,3516718,4149727
16690,2003054,5346,6308
16691,2003124,4802,5666
16701,2002981,1678,1980
16702,2002982,1377,1625
16703,2002983,764,901
16708,2002986,292,345
16709,2002987,694,819
16710,2002988,694,819
16711,2002989,377,445
16712,2002990,694,819
16713,2002991,2288,2700
16717,2002993,631,745
16718,2002994,377,445
16719,2002995,261,308
16720,2002996,1051,1240
16721,2002997,694,819
16722,2002999,644,760
16723,2003000,212,250
16725,2003002,220,260
16726,2003003,2453,2895
16728,2003005,377,445
16730,2003007,1354,1598
16733,2003010,1354,1598
16734,2003011,694,819
16735,2003012,380,448
16736,2003013,252,297
16737,2003014,377,445
16738,2003015,1652,1949
16739,2003016,322,380
16740,2003017,2982,3519
16741,2003018,1354,1598
16742,2003019,877,1035
16743,2003020,694,819
16752,2003061,33800,43264
16753,2003206,850000,952000
16755,2003093,1525,1800
16758,2003107,168246,198530
16759,2003024,1354,1598
16760,2003479,104000,109200
16764,2003089,87500,98000
16766,10200194,1919302,2149618
16777,2003028,620,732
16778,2003029,620,732
16779,2003030,620,732
16780,2003031,325,383
16781,2003032,620,732
16782,2003033,620,732
16783,2003034,322,380
16787,2003035,252,297
16788,2003036,2627,3100
16790,2003077,257500,303850
16791,2003046,48000,56640
16795,2003045,14052,16582
16796,2003055,11336,14204
16797,2003180,386732,456344
16801,2002998,694,819
16822,2003090,13684,16147
16823,10200058,39600,46728
16824,2003043,1000,1050
16825,2003412,1600,1888
16831,2003048,620,732
16832,2003049,620,732
16833,2003050,1377,1625
16834,2003051,620,732
16835,2003052,1346,1588
16836,2003053,620,732
16837,2003493,17664,20844
16848,2003057,2627,3100
16854,10200129,2438,2876
16855,10210038,115722,136552
16856,2003162,27000,31860
16857,2003243,114000,134520
16867,2003067,9754,11510
16869,2003069,1050,1239
16870,2003082,1800,2124
16873,2003070,419,495
16885,2003091,23312,27508
16890,2003157,12310,14526
16891,10200012,88500,104430
16893,10200086,32474,38256
16899,2003096,2076,2450
16903,2003253,6600,7788
16904,2003084,11070,13063
16906,2003234,4152,4899
16914,10200150,231954,273706
16915,2003080,377,445
16925,2003328,2457,2899
16927,2003327,2250,2655
16937,2003087,1346,1588
16942,2003400,30918,36483
16943,10400016,30000,33600
16948,2003311,548626,647378
16951,2003095,112770,112770
16951,2003665,3580,3580
16953,2003563,12409,14642
16955,2003160,7066,8338
16956,2003104,16000,18880
16959,10200005,20577,24281
16960,2003098,12648,14924
16961,2003099,596,703
16962,2003100,229,270
16963,2003101,411,485
16964,2003102,1652,1949
16965,2003103,411,485
16969,2003384,7447,8788
16970,2003145,15900,18762
16972,2003108,19395,22886
16975,10200115,2603,3072
16983,2003110,411,485
16984,2003111,1346,1588
16985,2003112,551,650
16987,2003113,551,650
16988,2003114,252,297
16989,2003115,551,650
16990,2003116,377,445
16991,2003117,411,485
16996,10200062,24354,28738
16997,10210302,75000,88500
16999,2003495,34632,44329
17000,10200072,30000,35400
17003,2003119,60000,70800
17005,2003352,17179,20271
17015,2003553,83862,98957
17016,2003252,9645,11381
17019,2003122,694,819
17020,2003123,258,305
17025,2003125,389,459
17026,2003126,389,459
17030,2003301,16887,19927
17034,10210012,5260,6207
17041,2003132,7450,8791
17045,2003137,12395,14626
17050,2003146,11200,13216
17051,2003139,267,315
17052,2003140,267,315
17053,2003141,267,315
17054,2003142,229,270
