PO#,Inq No.,inquiry date,company_name,,,,,,,,,,,,,,,,,,,,,,,,
40212567,31639,11-Feb-19,Flextronics Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material ready for pickup,,,Farhan,,,
41210107,28682,1-Nov-18,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,Not Received,Material not ready,43518,,Mahendra,Supplier,Client Warehouse,
40211762,28748,3-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43549,,Mahendra,,,
40211827,29487,3-Dec-18,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,Received,Material not ready,43508,,Mahendra,Supplier,Client Warehouse,
40211868,28786,12-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43816,,Mahendra,,,
40211872,28707,2-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43503,,Mahendra,,,
40211898,28864,13-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43487,,Mahendra,,,
41410158,29776,12-Dec-18,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40211988,29392,29-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43461,,Mahendra,,,
40212010,29422,29-Nov-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212076,30265,28-Dec-18,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43486,,Mahendra,,,
40212237,30395,3-Jan-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212277,31013,22-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212296,30751,15-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212316,30354,2-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40610857,31044,23-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40610861,30824,17-Jan-19,ABB Global Industries and Services Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43538,,Mahendra,,,
41410231,30342,2-Jan-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212375,31354,31-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
41210155,31365,1-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43518,,Mahendra,Supplier,BM Warehouse,
40212410,31056,23-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212431,31434,4-Feb-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
41210158,31531,6-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43545,,Mahendra,,,
41410252,31534,6-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
41410253,31534,6-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
41410254,31534,6-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40212487,31085,24-Jan-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
40610904,31166,25-Jan-19,ABB India Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43514,,Mahendra,,,
40610905,31166,25-Jan-19,ABB India Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43514,,Mahendra,,,
40610906,31166,25-Jan-19,ABB India Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43511,,Mahendra,,,
40610907,31166,25-Jan-19,ABB India Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43512,,Mahendra,,,
40212529,31657,11-Feb-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43511,,Mahendra,,,
40212514,29444,30-Nov-18,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43511,,Mahendra,,,
41210162,31708,12-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43517,,Mahendra,,,
41410257,29444,30-Nov-18,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43511,,Mahendra,,,
40212545,31677,11-Feb-19,Cargill India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43514,,Mahendra,,,
40610914,31384,1-Feb-19,ABB India Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43514,,Mahendra,,,
41210164,31559,7-Feb-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,43526,,Mahendra,,,
41410259,30796,16-Jan-19,Piramal Enterprises Ltd.,,,,,,,,,,,,,,,,,,Material not ready,,,Mahendra,,,
