SKU,SKU Description,Last Buying Price,Image Link,Links
BM9B1V3,500 ml spray bottle heavy duty cleaner,600,https://www.janitorialdirect.co.uk/media/product/34d/trigger-spray-bottle-750ml-4d0.jpg,
BM0K9T2,Caustic soda Flackes - 50kg bag,44,https://3.imimg.com/data3/JS/NC/MY-3598598/caustic-soda-flakes-250x250.jpg,
BM9B4X2,"SONY Cybershot Digital Camera, Max. Resolution 18.2 MP, Body Colour Black - DSC-WX220/B",11148.44,https://images-na.ssl-images-amazon.com/images/I/61%2BjOpykV7L._SX425_.jpg,
BM9Q2E6,Crompton Greaves fans High Flo Wave - White,1504.237288,https://n3.sdlcdn.com/imgs/a/t/v/Crompton-Greaves-16-Hiflow-Pedestal-SDL007337233-1-ed337.jpg,
BM9X0K7,Bulk MRO APPROVED Shoe Cover,3.5,https://www.rsea.com.au/images/ProductImages/432062.jpg,
BM9P0R0,BULK MRO APPROVED Shoe Dispenser,6500,https://3.imimg.com/data3/MM/XG/MY-745685/shoe-cover-dispenser-250x250.jpg,
BM9Q2T2,RATTAN WEAVE CHAIR - FURACH0008679,38211.86,https://cdn.shopify.com/s/files/1/0726/3305/products/natural-weave-butterfly-chair_1_copy_800x.jpg?v=1532460763,
BM1D1J5,GROZ Continuous Duty Electric Diesel Pump - CDP/220/EU,9738.18,http://www.groz-tools.com/Pix/CDP%20WITH%20MARKING.jpg,
BM9P8X6,"Aluminium Profile Patti 1/2\""(20mm) with PVC cover & Selecon Dubble Gun and Tape",160,https://www.dhresource.com/0x0s/f2-albu-g5-M01-38-95-rBVaJFl5-uGAZ-wuAAIv6p_ZrqY191.jpg/led-aluminium-profile-1m-per-piece-led-aluminum.jpg,
BM9R1R4,"Marble Cleaninh and profile patti fitting,strip light fixing and connection with labour chargers",65,,
BM9N4E8,BULK MRO APPROVED Venom Defender Snake Chap,0,https://snakeprofessional.com/images/detailed/0/snake-protection-chaps-3.jpg,
BM9P2D5,GMP MR-12 LAMINATION MACHINE,16700,https://rukminim1.flixcart.com/image/832/832/lamination-machine/k/f/g/mr-12-gmp-original-imae5myjvzvkvepw.jpeg?q=70,
BM9P5S3,BULK MRO APPROVED Under Vehicle Search Mirror,3400,https://5.imimg.com/data5/CS/ML/MY-454908/under-vehicle-search-mirror-500x500.jpg,
BM9N6X5,"JIFFY Pro-Line Garment Steamer, Voltage 120V - J-4000",28566.67,https://jiffysteamer.com/media/catalog/product/cache/1/image/540x/040ec09b1e35df139433887a97daa66f/j/-/j-4000_grey_1.jpg,
BM9N2B7,"BULK MRO APPROVED Megaphone, Power 20W, Size 200 X 325 mm, Material Fresh ABS, Dry Cell 6 X 1.5V, 30",1659.32,http://www.completerentallsorillia.com/events/wp-content/uploads/sites/3/2016/06/52725-watt-megaphone.jpg,
BM9N2F1,"BULK MRO APPROVED Megaphone, Power 25W, Size 230 X 350 mm, Material Fresh ABS, Dry Cell 8 X 1.5V",2301.69,http://www.completerentallsorillia.com/events/wp-content/uploads/sites/3/2016/06/52725-watt-megaphone.jpg,
BM9N2B4,"AHUJA PA Megaphone, Watt 20W, Horn Dia 220 mm, Length 370 mm - AM-21SM",2616.95,http://ahujaradios.com//images/UploadedImages/thumbs/0010804_ahuja-pa-megaphone-AM-21SM.png,
BM9N2Y5,"KORES Easy Cut Paper Shredder, Bin Capacity 15.9 Ltr -",832,https://5.imimg.com/data5/OE/PE/MY-22735246/kores-easy-cut-832-500x500.jpg,
,,,,
Reliance Corporate IT Park Ltd.,,,,
