Inquiry,Order Number,Sales Quote,Product Sku,Duplicate SKU,No Of Count,Tax Different SO,Sales Quote Row Tax Rate,Sheet Tax Rate
4436,200093,1168,BM9B3W3,Yes,2,No,,
4436,200093,1168,BM9B3W4,Yes,2,No,,
4436,200093,1168,BM9B3W5,Yes,2,No,,
4436,200093,1168,BM9B3W6,Yes,2,No,,
4436,200093,1168,BM9B3W8,Yes,2,No,,
4436,200093,1168,BM9B3W9,Yes,2,No,,
4436,200093,1168,BM9B3X1,Yes,2,No,,
4436,200093,1168,BM9B3X2,Yes,2,No,,
4436,200093,1168,BM9B3X3,Yes,2,No,,
4436,200093,1168,BM9B3X4,Yes,2,No,,
4436,200093,1168,BM9B3X5,Yes,2,No,,
4436,200093,1168,BM9B3X6,Yes,2,No,,
4436,200093,1168,BM9B3X7,Yes,2,No,,
4436,200093,1168,BM9B3X8,Yes,2,No,,
4436,200093,1168,BM9B3X9,Yes,2,No,,
4436,200093,1168,BM9B3Y1,Yes,2,No,,
4436,200093,1168,BM9B3Y2,Yes,2,No,,
4436,200093,1168,BM9B3Y3,Yes,2,No,,
4436,200093,1168,BM9B3Y4,Yes,2,No,,
4436,200093,1168,BM9B3Y5,Yes,2,No,,
4436,200093,1168,BM9B3Y6,Yes,2,No,,
4436,200093,1168,BM9B3Y7,Yes,2,No,,
4436,200093,1168,BM9B3Y8,Yes,2,No,,
4436,200093,1168,BM9B3Y9,Yes,2,No,,
4436,200093,1168,BM9B3Z1,Yes,2,No,,
4436,200093,1168,BM9B3Z2,Yes,2,No,,
4436,200093,1168,BM9B3Z3,Yes,2,No,,
4436,200093,1168,BM9B3Z4,Yes,2,No,,
4436,200093,1168,BM9B3Z6,Yes,2,No,,
4436,200093,1168,BM9B3Z7,Yes,2,No,,
4436,200093,1168,BMA9D7L,Yes,2,No,,
4436,200093,1168,BMA9D7M,Yes,2,No,,
4436,200093,1168,BMA9D7N,Yes,2,No,,
4436,200093,1168,BMA9D7O,Yes,2,No,,
4436,200093,1168,BMC4F1N,Yes,2,No,,
4436,200093,1168,BMC6H8E,Yes,2,No,,
4436,200093,1168,BMG9F7I,Yes,2,No,,
4436,200093,1168,BMG9G1H,Yes,2,No,,
4436,200093,1168,BMH7I8A,Yes,2,No,,
4436,200093,1168,BMJ9U8F,Yes,2,No,,
5744,200094,1271,BM0Y9Z9,Yes,2,No,,
5744,200094,1271,BM0Z0P6,Yes,2,No,,
5744,200094,1271,BM1B2N7,Yes,2,No,,
5744,200094,1271,BM1B2N8,Yes,2,No,,
5744,200094,1271,BM1B2N9,Yes,2,No,,
5744,200094,1271,BM9A1K1,Yes,2,No,,
5744,200094,1271,BM9B5J4,Yes,2,No,,
5751,200102,1278,BM0O4V2,Yes,2,No,,
4966,200103,1057,BM9A9T2,Yes,2,No,,
4966,200103,1057,BM9A9T3,Yes,2,No,,
4966,200103,1057,BM9A9T4,Yes,2,No,,
4966,200103,1057,BM9A9U2,Yes,2,No,,
4966,200103,1057,BM9A9U3,Yes,2,No,,
4966,200103,1057,BM9A9U4,Yes,2,No,,
4966,200103,1057,BM9A9U6,Yes,2,No,,
4966,200103,1057,BM9A9U7,Yes,2,No,,
4966,200103,1057,BM9A9U8,Yes,2,No,,
4966,200103,1057,BM9A9U9,Yes,2,No,,
4966,200103,1057,BM9A9V2,Yes,2,No,,
4966,200103,1057,BM9A9V9,Yes,2,No,,
4966,200103,1057,BM9A9W3,Yes,2,No,,
4966,200103,1057,BM9A9W7,Yes,2,No,,
4966,200103,1057,BM9A9X7,Yes,2,No,,
4966,200103,1057,BM9A9X8,Yes,2,No,,
5766,200106,1282,BM0K8Y0,Yes,2,No,,
5494,200107,1099,BM9B2H2,Yes,2,No,,
5676,200108,1237,BM9B4T8,Yes,2,No,,
5779,200110,1284,BM0O7Y8,Yes,2,No,,
5726,200113,1287,BM9B5S3,Yes,2,No,,
5257,200115,962,BM9A8H3,Yes,2,No,,
5199,200121,1194,BM9B4E3,Yes,2,No,,
5199,200121,1194,BM9B4E4,Yes,2,No,,
5199,200121,1194,BM9B4E5,Yes,2,No,,
5199,200121,1194,BM9B4E6,Yes,2,No,,
5199,200121,1194,BM9B4E7,Yes,2,No,,
5199,200121,1194,BM9B4E8,Yes,2,No,,
5785,200122,1293,BM9B5T4,Yes,2,No,,
5805,200125,1307,BM0O4V2,Yes,2,No,,
5303,200127,1245,BM9B4W1,Yes,2,No,,
5303,200127,1245,BM9B4W2,Yes,2,No,,
5594,200132,1157,BM0K9N3,Yes,2,No,,
5594,200132,1157,BM0O9Q4,Yes,2,No,,
4668,200133,642,BM0K8G4,Yes,2,No,,
4668,200133,642,BM0K8H6,Yes,2,No,,
4668,200133,642,BM0K8H7,Yes,2,No,,
4668,200133,642,BM0K8R5,Yes,2,No,,
4668,200133,642,BM0K8W2,Yes,2,No,,
4668,200133,642,BM0K9A3,Yes,2,No,,
4668,200133,642,BM0K9A7,Yes,2,No,,
4668,200133,642,BM0K9B1,Yes,2,No,,
4668,200133,642,BM0L0B0,Yes,2,No,,
5686,200134,1241,BM0K8K8,Yes,2,No,,
5686,200134,1241,BM0O8A0,Yes,2,No,,
5686,200134,1241,BM9B4U9,Yes,2,No,,
5686,200134,1241,BM9B4V1,Yes,2,No,,
5686,200134,1241,BM9B4V2,Yes,2,No,,
5686,200134,1241,BM9B4V3,Yes,2,No,,
5763,200135,1308,BM9B5W5,Yes,2,No,,
5720,200136,1268,BM9B5G4,Yes,2,No,,
5732,200138,1266,BM9B5D5,Yes,2,No,,
5732,200138,1266,BM9B5D6,Yes,2,No,,
5732,200138,1266,BM9B5D7,Yes,2,No,,
5732,200138,1266,BM9B5D8,Yes,2,No,,
5732,200138,1266,BM9B5D9,Yes,2,No,,
5732,200138,1266,BM9B5E1,Yes,2,No,,
5732,200138,1266,BM9B5E2,Yes,2,No,,
5732,200138,1266,BM9B5E3,Yes,2,No,,
5732,200138,1266,BM9B5E4,Yes,2,No,,
5732,200138,1266,BM9B5E5,Yes,2,No,,
5732,200138,1266,BM9B5E6,Yes,2,No,,
5732,200138,1266,BM9B5E7,Yes,2,No,,
5732,200138,1266,BM9B5E8,Yes,2,No,,
5732,200138,1266,BM9B5E9,Yes,2,No,,
5732,200138,1266,BM9B5F1,Yes,2,No,,
5732,200138,1266,BM9B5F2,Yes,2,No,,
5732,200138,1266,BM9B5F3,Yes,2,No,,
5732,200138,1266,BM9B5F4,Yes,2,No,,
5732,200138,1266,BM9B5F5,Yes,2,No,,
5732,200138,1266,BM9B5F6,Yes,2,No,,
5732,200138,1266,BM9B5F7,Yes,2,No,,
5732,200138,1266,BM9B5F8,Yes,2,No,,
5732,200138,1266,BM9B5F9,Yes,2,No,,
5732,200138,1266,BM9B5G1,Yes,2,No,,
5732,200138,1266,BM9B5G2,Yes,2,No,,
5732,200138,1266,BM9B5G3,Yes,2,No,,
4468,200139,770,BM9A5D8,Yes,2,No,,
4710,200140,1305,BM0O9Q4,Yes,2,No,,
5853,200146,1334,BM9A2W7,Yes,2,No,,
5853,200146,1334,BM9A2W9,Yes,2,No,,
5853,200146,1334,BM9A2X1,Yes,2,No,,
5340,200147,1085,BM9B1L9,Yes,2,No,,
5340,200147,1085,BM9B1M1,Yes,2,No,,
5340,200147,1085,BM9B1M2,Yes,2,No,,
5340,200147,1085,BM9B1M3,Yes,2,No,,
5340,200147,1085,BM9B1M4,Yes,2,No,,
5340,200147,1085,BM9B1M5,Yes,2,No,,
5340,200147,1085,BM9B1M6,Yes,2,No,,
5340,200147,1085,BM9B1M7,Yes,2,No,,
5340,200147,1085,BM9B1M8,Yes,2,No,,
5340,200147,1085,BM9B1M9,Yes,2,No,,
5340,200147,1085,BM9B1N1,Yes,2,No,,
5340,200147,1085,BM9B1N2,Yes,2,No,,
5340,200147,1085,BM9B1N3,Yes,2,No,,
5340,200147,1085,BM9B1N4,Yes,2,No,,
5340,200147,1085,BM9B2T5,Yes,2,No,,
5340,200147,1085,BM9B2T6,Yes,2,No,,
5585,200151,1153,BM9B3N8,Yes,2,No,,
5645,200156,1214,BM0K8F8,Yes,2,No,,
5645,200156,1214,BM0K8H6,Yes,2,No,,
5645,200156,1214,BM0K8H8,Yes,2,No,,
5645,200156,1214,BM0K8Q5,Yes,2,No,,
5645,200156,1214,BM0K8R9,Yes,2,No,,
5645,200156,1214,BM0K8Y0,Yes,2,No,,
5645,200156,1214,BM0K9A3,Yes,2,No,,
5645,200156,1214,BM0K9A7,Yes,2,No,,
5645,200156,1214,BM0K9C1,Yes,2,No,,
5645,200156,1214,BM0K9D1,Yes,2,No,,
5645,200156,1214,BM0K9D4,Yes,2,No,,
5645,200156,1214,BM0K9F8,Yes,2,No,,
5645,200156,1214,BM0K9V5,Yes,2,No,,
5645,200156,1214,BM0K9Z0,Yes,2,No,,
5645,200156,1214,BM1G0U3,Yes,2,No,,
4899,200157,651,BM0K8G0,Yes,2,No,,
4899,200157,651,BM0K8G2,Yes,2,No,,
4899,200157,651,BM0K8G7,Yes,2,No,,
5008,200158,864,BM9A5W8,Yes,2,No,,
3639,200159,629,BM1B2T0,Yes,2,No,,
5875,200160,1358,BM0C8I0,Yes,2,No,,
5875,200160,1358,BM0C8W6,Yes,2,No,,
5875,200160,1358,BM1G0A6,Yes,2,No,,
5875,200160,1358,BM1G0E9,Yes,2,No,,
5875,200160,1358,BM1G0J2,Yes,2,No,,
3185,200161,854,BM0O3Y7,Yes,2,No,,
3185,200161,854,BM0O4A1,Yes,2,No,,
3185,200161,854,BM0O4E6,Yes,2,No,,
3185,200161,854,BM0O4G4,Yes,2,No,,
3185,200161,854,BM0O4H5,Yes,2,No,,
3185,200161,854,BM0O4J5,Yes,2,No,,
3185,200161,854,BM0O4J8,Yes,2,No,,
3185,200161,854,BM0O4K5,Yes,2,No,,
3185,200161,854,BM0O4M2,Yes,2,No,,
3185,200161,854,BM0O4O5,Yes,2,No,,
3185,200161,854,BM0O4O7,Yes,2,No,,
3185,200161,854,BM0O4P5,Yes,2,No,,
3185,200161,854,BM0O4Q8,Yes,2,No,,
3185,200161,854,BM0O4R0,Yes,2,No,,
3185,200161,854,BM0O4S3,Yes,2,No,,
3185,200161,854,BM0O4S6,Yes,2,No,,
3185,200161,854,BM0O4T5,Yes,2,No,,
3185,200161,854,BM0O4T7,Yes,2,No,,
3185,200161,854,BM0O4T8,Yes,2,No,,
3185,200161,854,BM0O4U3,Yes,2,No,,
3185,200161,854,BM0O4V1,Yes,2,No,,
3185,200161,854,BM0O4V2,Yes,2,No,,
3185,200161,854,BM0O4V4,Yes,2,No,,
3185,200161,854,BM0Z1J6,Yes,2,No,,
1975,200162,1351,BM0C4H3,Yes,2,No,,
1975,200162,1351,BM0C7B2,Yes,2,No,,
1975,200162,1351,BM0C7F5,Yes,2,No,,
1975,200162,1351,BM0C7F6,Yes,2,No,,
1975,200162,1351,BM0C7K0,Yes,2,No,,
1975,200162,1351,BM0C7K2,Yes,2,No,,
1975,200162,1351,BM0C7P6,Yes,2,No,,
1975,200162,1351,BM0C7Q9,Yes,2,No,,
1975,200162,1351,BM0C7R3,Yes,2,No,,
1975,200162,1351,BM0C7R6,Yes,2,No,,
1975,200162,1351,BM0C8E9,Yes,2,No,,
1975,200162,1351,BM0C8F1,Yes,2,No,,
1975,200162,1351,BM0C8F4,Yes,2,No,,
1975,200162,1351,BM0C8F5,Yes,2,No,,
1975,200162,1351,BM0C8F6,Yes,2,No,,
1975,200162,1351,BM0C8F7,Yes,2,No,,
1975,200162,1351,BM0C8F8,Yes,2,No,,
1975,200162,1351,BM0C8T7,Yes,2,No,,
1975,200162,1351,BM0C8X4,Yes,2,No,,
1975,200162,1351,BM0C8X7,Yes,2,No,,
1975,200162,1351,BM0C8X9,Yes,2,No,,
1975,200162,1351,BM0C8Y9,Yes,2,No,,
1975,200162,1351,BM0C9M8,Yes,2,No,,
1975,200162,1351,BM0F7O3,Yes,2,No,,
1975,200162,1351,BM0F7O8,Yes,2,No,,
1975,200162,1351,BM0O3Z4,Yes,2,No,,
1975,200162,1351,BM0O4A7,Yes,2,No,,
1975,200162,1351,BM0O4D2,Yes,2,No,,
1975,200162,1351,BM0O5X6,Yes,2,No,,
1975,200162,1351,BM0O5X7,Yes,2,No,,
1975,200162,1351,BM0Z1F0,Yes,2,No,,
1975,200162,1351,BM0Z1H9,Yes,2,No,,
1975,200162,1351,BM0Z1I0,Yes,2,No,,
1975,200162,1351,BM0Z1I1,Yes,2,No,,
1975,200162,1351,BM0Z1I2,Yes,2,No,,
1975,200162,1351,BM0Z1I3,Yes,2,No,,
1975,200162,1351,BM0Z1I4,Yes,2,No,,
1975,200162,1351,BM0Z1I5,Yes,2,No,,
1975,200162,1351,BMC6G6Z,Yes,2,No,,
1975,200162,1351,BMC6G9G,Yes,2,No,,
5044,200163,726,BM1B1Y3,Yes,2,No,,
5044,200163,726,BM1B1Y4,Yes,2,No,,
5044,200163,726,BM9A4K5,Yes,2,No,,
5044,200163,726,BM9A4K6,Yes,2,No,,
5044,200163,726,BM9A4K8,Yes,2,No,,
5044,200163,726,BM9A4K9,Yes,2,No,,
5044,200163,726,BM9A4L1,Yes,2,No,,
5044,200163,726,BM9A4L3,Yes,2,No,,
5044,200163,726,BM9A4L4,Yes,2,No,,
5480,200164,1117,BM9B2S7,Yes,2,No,,
5480,200164,1117,BM9B2S8,Yes,2,No,,
5480,200164,1117,BM9B2S9,Yes,2,No,,
3624,200165,1353,BM0O3Y7,Yes,2,No,,
3624,200165,1353,BM0O4A1,Yes,2,No,,
3624,200165,1353,BM0O4F5,Yes,2,No,,
3624,200165,1353,BM0O4G7,Yes,2,No,,
3624,200165,1353,BM0O4J6,Yes,2,No,,
3624,200165,1353,BM0O4J8,Yes,2,No,,
3624,200165,1353,BM0O4J9,Yes,2,No,,
3624,200165,1353,BM0O4K2,Yes,2,No,,
3624,200165,1353,BM0O4K5,Yes,2,No,,
3624,200165,1353,BM0O4L2,Yes,2,No,,
3624,200165,1353,BM0O4L4,Yes,2,No,,
3624,200165,1353,BM0O4M2,Yes,2,No,,
3624,200165,1353,BM0O4O5,Yes,2,No,,
3624,200165,1353,BM0O4O6,Yes,2,No,,
3624,200165,1353,BM0O4O7,Yes,2,No,,
3624,200165,1353,BM0O4P5,Yes,2,No,,
3624,200165,1353,BM0O4Q3,Yes,2,No,,
3624,200165,1353,BM0O4Q5,Yes,2,No,,
3624,200165,1353,BM0O4R0,Yes,2,No,,
3624,200165,1353,BM0O4R2,Yes,2,No,,
3624,200165,1353,BM0O4R6,Yes,2,No,,
3624,200165,1353,BM0O4T4,Yes,2,No,,
3624,200165,1353,BM0O4T5,Yes,2,No,,
3624,200165,1353,BM0O4T7,Yes,2,No,,
3624,200165,1353,BM0O4T8,Yes,2,No,,
3624,200165,1353,BM0O4U3,Yes,2,No,,
3624,200165,1353,BM0O4V2,Yes,2,No,,
3624,200165,1353,BM0O4V3,Yes,2,No,,
3624,200165,1353,BM0O4V4,Yes,2,No,,
5780,200166,1302,BM9B5V5,Yes,2,No,,
1133,200167,915,BM0L8R8,Yes,2,No,,
1133,200167,915,BM0L8R9,Yes,2,No,,
5341,200168,999,BM9A8W6,Yes,2,No,,
4187,200169,1359,BM1B0W4,Yes,2,No,,
4187,200169,1359,BM1B0W5,Yes,2,No,,
4187,200169,1359,BM1B0W6,Yes,2,No,,
2804,200170,795,BM1A3S2,Yes,2,No,,
2804,200170,795,BM1A3S3,Yes,2,No,,
4447,200171,749,BM0O7T0,Yes,2,No,,
4440,200172,701,BM0O7T8,Yes,2,No,,
5849,200173,1332,BM0Z1K1,Yes,2,No,,
5849,200173,1332,BM1A9I9,Yes,2,No,,
5849,200173,1332,BM1A9J1,Yes,2,No,,
3401,200174,1360,BM0P0U7,Yes,2,No,,
3645,200175,1361,BM1G0T2,Yes,2,No,,
4167,200176,70,BM0P1G2,Yes,2,No,,
4167,200176,70,BM0P1G4,Yes,2,No,,
4167,200176,70,BM0P1G6,Yes,2,No,,
4167,200176,70,BM0P1I5,Yes,2,No,,
4167,200176,70,BM0P1O9,Yes,2,No,,
4167,200176,70,BM0P1R1,Yes,2,No,,
4167,200176,70,BM0P1S8,Yes,2,No,,
4167,200176,70,BM0P2K8,Yes,2,No,,
4167,200176,70,BM0P2P8,Yes,2,No,,
3659,200177,41,BM0C7U2,Yes,2,No,,
3659,200177,41,BM0C7U4,Yes,2,No,,
3659,200177,41,BM0C7W7,Yes,2,No,,
3659,200177,41,BM0C8Y9,Yes,2,No,,
3659,200177,41,BM0C9A0,Yes,2,No,,
3659,200177,41,BM0C9D0,Yes,2,No,,
3659,200177,41,BM0O8K9,Yes,2,No,,
3659,200177,41,BM0O8L0,Yes,2,No,,
3659,200177,41,BM0Z0V1,Yes,2,No,,
407,200178,819,BM1A7I1,Yes,2,No,,
407,200178,819,BM1A7I2,Yes,2,No,,
2912,200179,1364,BM1G1G2,Yes,2,No,,
2658,200180,383,BM0O4E0,Yes,2,No,,
4162,200181,1365,BM1B0V2,Yes,2,No,,
3141,200182,786,BM0L8J3,Yes,2,No,,
3305,200183,793,BM0Z1D6,Yes,2,No,,
3305,200183,793,BM0Z1D7,Yes,2,No,,
3305,200183,793,BM0Z1D8,Yes,2,No,,
3305,200183,793,BM0Z1D9,Yes,2,No,,
3305,200183,793,BM0Z1E0,Yes,2,No,,
3152,200186,1368,BM0Z0X5,Yes,2,No,,
4598,200192,1371,BM0P0L1,Yes,2,No,,
4598,200192,1371,BM0P0L3,Yes,2,No,,
4598,200192,1371,BM0P0L4,Yes,2,No,,
4598,200192,1371,BM0P0L5,Yes,2,No,,
4598,200192,1371,BM0P0L6,Yes,2,No,,
4598,200192,1371,BM0Z0N5,Yes,2,No,,
4598,200192,1371,BM0Z0N6,Yes,2,No,,
4598,200192,1371,BM0Z0N7,Yes,2,No,,
5576,200194,1149,BM0J2Q8,Yes,2,No,,
3006,200195,270,BM0O4A5,Yes,2,No,,
1015,200196,835,BM0O4A9,Yes,2,No,,
1053,200197,489,BM1A6E9,Yes,2,No,,
5782,200198,1312,BM9B5Z8,Yes,2,No,,
1266,200199,515,BM0C7C6,Yes,2,No,,
1266,200199,515,BM0C7F5,Yes,2,No,,
1266,200199,515,BM0C7R0,Yes,2,No,,
1266,200199,515,BM0C8G9,Yes,2,No,,
1266,200199,515,BM0C8T7,Yes,2,No,,
1266,200199,515,BM0C9D6,Yes,2,No,,
1266,200199,515,BM0C9D7,Yes,2,No,,
1266,200199,515,BM0C9D8,Yes,2,No,,
1266,200199,515,BM0C9D9,Yes,2,No,,
1266,200199,515,BM0L8M4,Yes,2,No,,
1266,200199,515,BM0Z1D0,Yes,2,No,,
1266,200199,515,BM0Z1D2,Yes,2,No,,
1266,200199,515,BM1A5Z3,Yes,2,No,,
1266,200199,515,BM1A5Z4,Yes,2,No,,
1266,200199,515,BM1A6O4,Yes,2,No,,
1266,200199,515,BM1A6O5,Yes,2,No,,
1266,200199,515,BM1A6O6,Yes,2,No,,
1266,200199,515,BM1A8B5,Yes,2,No,,
1266,200199,515,BM1A8B6,Yes,2,No,,
1266,200199,515,BM1A8B7,Yes,2,No,,
4093,200200,88,BM1B0I6,Yes,2,No,,
4120,200201,81,BM1A9Z6,Yes,2,No,,
1401,200202,1156,BM1A5Z0,Yes,2,No,,
1401,200202,1156,BM1A5Z1,Yes,2,No,,
1401,200202,1156,BM1A6Q6,Yes,2,No,,
1401,200202,1156,BM1A6Q7,Yes,2,No,,
1401,200202,1156,BM1A6Q8,Yes,2,No,,
1401,200202,1156,BM1A6Q9,Yes,2,No,,
1401,200202,1156,BM1A6R0,Yes,2,No,,
1401,200202,1156,BM1A6R1,Yes,2,No,,
1401,200202,1156,BM1A6R2,Yes,2,No,,
1401,200202,1156,BM1A6R3,Yes,2,No,,
1401,200202,1156,BM1A6R4,Yes,2,No,,
1401,200202,1156,BM1A6R5,Yes,2,No,,
1401,200202,1156,BM1A6R6,Yes,2,No,,
1401,200202,1156,BM1A6R7,Yes,2,No,,
1401,200202,1156,BM1A6R9,Yes,2,No,,
1401,200202,1156,BM1A6S0,Yes,2,No,,
1401,200202,1156,BM1A6S1,Yes,2,No,,
1401,200202,1156,BM1A6S2,Yes,2,No,,
