Inquiry number,company id,company name
5343,163,Indian Rayon
5345,50,Bharat Foils Ltd.
5346,161,Integrated Headquarters of Ministry of Defense (Navy)
26435,1761,Honda Cars India Ltd.
6166,384,Manas Automotive Systems Ltd.
6965,316,TAG Offshore Ltd.
7631,289,Seamec Ltd.
5451,93,Directorate Of Purchase And Stores
5462,60,ExxonMobil Service and Technology Pvt. Ltd.
8352,308,Sterlite Technologies Ltd.
26474,1790,Royal Sundaram General Insurance Co. Ltd.
5521,203,Lovely Professional University
5522,59,Cairn India Ltd.
5523,203,Lovely Professional University
5524,37,Atomberg Technologies Pvt. Ltd.
7541,303,SMPS Supply Pvt. Ltd.
7531,303,SMPS Supply Pvt. Ltd.
5547,93,Directorate Of Purchase And Stores
5552,24,Allison Transmission India Pvt. Ltd.
7512,59,Cairn India Ltd.
26476,59,Cairn India Ltd.
5563,279,Royal Project Suppliers
26480,1782,Roto Auto Engineering Solutions Pvt. Ltd.
5602,93,Directorate Of Purchase And Stores
6994,203,Lovely Professional University
6248,287,Schneider Electric
5642,128,GerOil Oil and Gas Products
5657,158,"INS Hansa, Indian Navy"
5660,52,Bharat Wire Ropes Ltd.
7427,179,Jhaveri Labs
6998,203,Lovely Professional University
6261,368,Indian Agricultural Research Institute
1601,174,ITC Grand Central - A Luxury Collection Hotel
5694,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6262,94,DLS Aircon Pvt. Ltd.
5695,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
5697,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6266,174,ITC Grand Central - A Luxury Collection Hotel
9468,73,Cummins Emission Solutions INC
5727,59,Cairn India Ltd.
5734,190,KION India Pvt. Ltd.
7004,254,Pentair Water India Pvt. Ltd.
26560,1603,One97 Communications Ltd
5746,26,Amazon Seller Services Pvt. Ltd.
5752,108,ESK Telecom India
26578,680,Supreme Offshore Constructions And Tech Serv Ltd.
5756,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
1508,128,GerOil Oil and Gas Products
5764,26,Amazon Seller Services Pvt. Ltd.
9380,306,Sotax India Pvt. Ltd.
5774,256,PNP Maritime Services Pvt. Ltd.
9369,294,Shelf Drilling Offshore Services India Pvt. Ltd.
5801,263,Process Construction and Technical Services Pvt. Ltd.
5802,244,Nupros Engineering
5808,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
9332,148,Hindalco Industries Ltd.
9311,138,Gruppe Littlesilver
26620,1392,GHCL Ltd.
9273,402,Time Techno Plast Ltd.
9248,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6379,103,Eirich India Pvt. Ltd.
6380,103,Eirich India Pvt. Ltd.
6400,165,IndySoft eCommerce Pvt. Ltd.
9220,334,Uttam Galva Steels Ltd.
6407,409,Wadia Group
26651,263,Process Construction and Technical Services Pvt. Ltd.
26652,1769,KG Offshore Services Pvt. Ltd.
6424,108,ESK Telecom India
1639,59,Cairn India Ltd.
10659,306,Sotax India Pvt. Ltd.
28257,477,Akzo Nobel India Ltd.
1013,118,Galiakotwala Engineering Co. Pvt. Ltd.
6493,342,Wika Instruments India Pvt. Ltd.
7062,139,Gujrat Lathe Manufacturer Pvt. Ltd.
6524,388,Shanti Iron and Steel
7073,136,Greatship India Ltd.
9826,419,HP International
7075,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
9790,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9759,214,Mahindra Gears and Transmissions Pvt. Ltd.
9244,59,Cairn India Ltd.
7092,203,Lovely Professional University
6622,317,Taikisha Engineering India Pvt. Ltd.
6631,233,Mylo Industries Pvt. Ltd.
6647,254,Pentair Water India Pvt. Ltd.
583,60,ExxonMobil Service and Technology Pvt. Ltd.
6664,56,Bosch Ltd.
9659,121,Wipro GE Healthcare Pvt. Ltd.
8792,389,Symbiosis Institute of Design
16316,1566,Hitachi Automotive Systems India Pvt. Ltd.
6679,220,Mazagon Dock Shipbuilders Ltd.
6685,293,Shraddha Industries
6690,319,Tal Manufacturing Solutions Ltd.
