increment_id,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
27320,65363,27320,1,765141,1,0,0,0.00,0.00,1,1333.33,"Air bubble sheet 1500mm x 100 mtrs.",0.00,0.00,0,0,1000.00,BM9Q1M9,a%3A0%3A%7B%7D,NULL,0.00,,ea,"1 week",0,0,0,16,"IGST 18%",0,3920,NULL,NULL,0,0
27319,65365,27319,1,765146,1,0,0,0.00,0.00,1,1824.14,"ENCLOSURE KAEDRA FOR 2 SOCKETS - part no-13178",0.00,0.00,0,0,1587.00,BM9V7X6,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8538,NULL,NULL,0,0
27319,65366,27319,2,765151,2,0,0,0.00,0.00,1,295.40,"Panel socket angled PK PratiKa screw 16A- part no- PKF16F423",0.00,0.00,0,0,257.00,BM9W1G3,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65367,27319,3,765148,2,0,0,0.00,0.00,1,274.71,"Wander plug PK PratiKa screw 16A IP44 - part no - PKE16M423",0.00,0.00,0,0,239.00,BM9Z6P3,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65368,27319,4,765143,2,0,0,0.00,0.00,1,466.67,"Acti 9 MCB xC60 2P 16A C 10000A - part no - A9N2P16C",0.00,0.00,0,0,406.00,BM9Q4W8,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65369,27319,5,765144,2,0,0,0.00,0.00,1,154.02,"Acti 9 MCB xC60 1P 16A C 10000A - part no - A9N1P16C",0.00,0.00,0,0,134.00,BM9R7V6,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65370,27319,6,765147,1,0,0,0.00,0.00,1,4672.41,"ENCLOSURE KAEDRA FOR 8 SOCKETS - part no- 13182",0.00,0.00,0,0,4065.00,BM9W4M7,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8538,NULL,NULL,0,0
27319,65371,27319,7,765156,2,0,0,0.00,0.00,1,295.40,"Panel socket angled PK PratiKa screw 16A - part no- PKF16F423",0.00,0.00,0,0,257.00,BM9Y6C8,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65372,27319,8,765152,2,0,0,0.00,0.00,1,274.71,"Wander plug PK PratiKa screw 16A IP44 -part no- PKE16M423",0.00,0.00,0,0,239.00,BM9S8A3,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65373,27319,9,765145,1,0,0,0.00,0.00,1,480.46,"Wander socket PK PratiKa screws 16A IP44- part no- PKF16M435",0.00,0.00,0,0,418.00,BM9Z3N4,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65374,27319,10,765149,1,0,0,0.00,0.00,1,504.60,"Wander plug PK PratiKa screw 32A IP44 - part no- PKE32M435",0.00,0.00,0,0,439.00,BM9Z2H5,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65375,27319,11,765150,2,0,0,0.00,0.00,1,466.67,"Acti 9 MCB xC60 2P 16A C 10000A- partno-  A9N2P16C",0.00,0.00,0,0,406.00,BM9U8B1,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65376,27319,12,765154,1,0,0,0.00,0.00,1,154.02,"Acti 9 MCB xC60 1P 16A C 10000A - part no - A9N1P16C",0.00,0.00,0,0,134.00,BM9Y5E1,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65377,27319,13,765153,1,0,0,0.00,0.00,1,763.22,"Acti 9 MCB xC60 3P 32A C 10000A - part no- A9N3P32C",0.00,0.00,0,0,664.00,BM9X5J4,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27319,65378,27319,14,765155,1,0,0,0.00,0.00,1,1029.89,"Acti 9 MCB xC60 4P 32A C 10000A - part no- A9N4P32C",0.00,0.00,0,0,896.00,BM9T8X3,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"6-8 weeks",0,0,2637,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27318,65276,27318,1,765080,2,0,0,0.00,0.00,1,4139.78,"ACRYLIC BODY ROTAMETER (1/2” F NPT SWAGLOK FITTING TOP BOTTOM REAR SS 304 WITHFINE CONTROL VALVE)",0.00,0.00,0,0,3850.00,BM9V6G2,a%3A0%3A%7B%7D,NULL,0.00,-,ea,"1-2 weeks",0,0,6122,16,"IGST 18%",0,9026,NULL,0,0,0
27318,65277,27318,2,765081,2,0,0,0.00,0.00,1,4354.84,"ACRYLIC BODY ROTAMETER (1” F NPT SWAGLOK FITTING REAR WITH FINE CONTROL VALVE)",0.00,0.00,0,0,4050.00,BM9R4P4,a%3A0%3A%7B%7D,NULL,0.00,-,ea,"1-2 weeks",0,0,6122,16,"IGST 18%",0,9026,NULL,1,0,0
27318,65278,27318,3,754504,1,0,0,0.00,0.00,1,631.58,Freight.,0.00,0.00,0,0,600.00,BM00008,a%3A0%3A%7B%7D,NULL,5500.00,,ea,"1-2 weeks",0,0,6122,16,"IGST 18%",0,9967,NULL,2,0,0
27316,65310,27316,1,765103,8,0,0,0.00,0.00,1,1638.95,"Contactor MNX-32, LandT Make",0.00,0.00,0,0,1557.00,BM9T7P7,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
