legacy_id,invoice_number,order_number,original_file_name,original_file_path,duplicate_file_name,duplicate_file_path,triplicate_file_name,triplicate_file_path
848811,20210961,10210693,invoice_Original_20210961.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210961.pdf,invoice_Duplicate_20210961.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210961.pdf,invoice_Triplicate_20210961.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210961.pdf
848809,20210960,10210282,invoice_Original_20210960.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210960.pdf,invoice_Duplicate_20210960.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210960.pdf,invoice_Triplicate_20210960.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210960.pdf
848807,20210959,10210889,invoice_Original_20210959.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210959.pdf,invoice_Duplicate_20210959.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210959.pdf,invoice_Triplicate_20210959.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210959.pdf
848805,20210958,10210425,invoice_Original_20210958.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210958.pdf,invoice_Duplicate_20210958.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210958.pdf,invoice_Triplicate_20210958.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210958.pdf
848803,20210957,10200191,invoice_Original_20210957.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210957.pdf,invoice_Duplicate_20210957.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210957.pdf,invoice_Triplicate_20210957.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210957.pdf
848801,21210066,11210062,invoice_Original_21210066.pdf,https://bulkmro.com/media/poattachment/invoice_Original_21210066.pdf,invoice_Duplicate_21210066.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_21210066.pdf,invoice_Triplicate_21210066.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_21210066.pdf
848799,21210065,11210060,invoice_Original_21210065.pdf,https://bulkmro.com/media/poattachment/invoice_Original_21210065.pdf,invoice_Duplicate_21210065.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_21210065.pdf,invoice_Triplicate_21210065.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_21210065.pdf
848797,20210956,10210909,invoice_Original_20210956.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210956.pdf,invoice_Duplicate_20210956.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210956.pdf,invoice_Triplicate_20210956.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210956.pdf
848795,20610464,10610132,invoice_Original_20610464.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610464.pdf,invoice_Duplicate_20610464.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610464.pdf,invoice_Triplicate_20610464.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610464.pdf
848793,21910013,11410012,invoice_Original_21910013.pdf,https://bulkmro.com/media/poattachment/invoice_Original_21910013.pdf,invoice_Duplicate_21910013.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_21910013.pdf,invoice_Triplicate_21910013.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_21910013.pdf
