legacy_id,inquiry_number,calculation_sheet,calculation_sheet_path,customer_po_sheet,customer_po_sheet_path,email_attachment,email_attachment_path,supplier_quote_attachment,sqa_path,supplier_quote_attachment_additional,sqa_additional_path
18662,16044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18661,16043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18660,16042,16042CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16042CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18659,16041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18658,16040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18657,16039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18656,16038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18655,16037,16037CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16037CalculationSheet.xlsx,16037POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16037POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18654,16036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18653,16035,16035_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/16035_Calc_Sheet.xlsx,16035POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16035POSheet.pdf,NULL,NULL,16035SupplierQuote.jpg,https://bulkmro.com/media/quotation_attachment3/16035SupplierQuote.jpg,NULL,NULL
18652,16034,16034CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16034CalculationSheet.xlsx,16034POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16034POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18651,16033,16033CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16033CalculationSheet.xlsx,16033POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16033POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18650,16032,16032CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16032CalculationSheet.xlsx,16032POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16032POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18649,16031,16031CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16031CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18648,16030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18646,16028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18645,16027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18644,16026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18643,16025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18642,16024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18641,16023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18640,16022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18638,16020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18637,16019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18636,16018,16018CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16018CalculationSheet.xlsx,16018POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16018POSheet.pdf,16018EmailSheet.docx,https://bulkmro.com/media/quotation_attachment2/16018EmailSheet.docx,NULL,NULL,NULL,NULL
18635,16017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18634,16016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18633,16015,16015CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16015CalculationSheet.xlsx,16015POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/16015POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18632,16014,16014CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/16014CalculationSheet.xlsx,16014POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/16014POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18631,16013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18630,16012,tender_order_calc_141.xlsx,https://bulkmro.com/media/quotation_attachment/tender_order_calc_141.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18627,16009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18626,16008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18625,16007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18624,16006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18623,16005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18622,16004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18621,16003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18620,16002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18619,16001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18618,16000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18617,15999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18616,15998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18615,15997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18614,15996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18613,15995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18612,15994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18611,15993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18610,15992,15992_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/15992_Calc_Sheet.xlsx,15992POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15992POSheet.pdf,NULL,NULL,15992SupplierQuote.pdf,https://bulkmro.com/media/quotation_attachment3/15992SupplierQuote.pdf,NULL,NULL
18609,15991,15991CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15991CalculationSheet.xlsx,15991POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15991POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18608,15990,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18607,15989,15989CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15989CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18603,15985,15985CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15985CalculationSheet.xlsx,15985POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15985POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18602,15984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18601,15983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18598,15980,15980CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15980CalculationSheet.xlsx,15980POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15980POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18597,15979,15979CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15979CalculationSheet.xlsx,15979POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15979POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18596,15978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18595,15977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18594,15976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18593,15975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
