Order Number,Sales Order Row ID,SKU,Old Margin,New Margin,Unit Cost Price with Freight,Unit Selling Price
99999082,47643,BM9F8N8,5.0,4.94,250.0,263.0
2000087,47644,BM9F8N9,5.0,4.94,250.0,263.0
99999082,47645,BM9F8P1,5.0,4.94,250.0,263.0
201966,47678,BM0K8H5,10.0,14.29,1.2,1.4
202063,47790,BM0O4J6,3.0,7.61,8.5,9.2
202063,47791,BM0O4J8,-2.0,2.47,15.0,15.38
202063,47794,BM0O4T3,1.0,5.72,14.5,15.38
202069,47796,BM9G2V3,8.0,7.99,1359.0,1477.0
202069,47798,BM9G2V5,8.0,7.99,2234.0,2428.0
202069,47799,BM9G2V6,8.0,7.99,2234.0,2428.0
202067,47802,BM9G2U6,8.0,8.01,1815.0,1973.0
202067,47803,BM9G2U7,8.0,8.01,1815.0,1973.0
2000598,47814,BM9H3N9,5.0,4.99,800.0,842.0
2003552,47842,BM9E6Q7,87.0,86.93,4.0,30.6
2003552,47843,BM9E6Q8,85.0,84.68,5.0,32.64
2003552,47853,BM9M7F6,70.0,70.08,12.0,40.11
2003552,47854,BM9M7F7,62.0,61.62,18.0,46.9
2003552,47857,BM9M7G1,40.0,39.53,10.6,17.53
2003552,47863,BM9M7G7,24.0,23.61,45.0,58.91
2003552,47882,BM9M7J8,18.0,18.03,37.42,45.65
2003552,47883,BM9M7J9,30.0,29.53,25.25,35.83
2003552,47884,BM9M7K1,64.0,63.93,5.27,14.61
2003552,47885,BM9M7K2,56.0,56.44,12.28,28.19
2003552,47887,BM9M7K4,21.0,20.77,3.51,4.43
2003552,47888,BM9M7K5,15.0,14.49,35.69,41.74
2003552,47889,BM9M7K6,15.0,15.05,19.31,22.73
2003552,47893,BM9M7L1,18.0,18.32,4.68,5.73
