increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
20298,NULL,SC-00029,56381,22934,1,95840,1,0,0,0.00,0.00,1,367.80,"STANLEY Crimping Plier Set, Length 230 mm/9"" - 84-253-22",0.00,0.00,0,0,311.90,BM0C7B3,NULL,NULL,367.80,84-253-22,EA,,0,0,135,16,"IGST 18%",0,8203,NULL,NULL,0,0
20298,NULL,SC-00029,56382,22934,2,678151,1,0,0,0.00,0.00,1,42.37,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,42.37,BM99999,NULL,NULL,42.37,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20299,NULL,SC-00029,56383,22935,1,95840,1,0,0,0.00,0.00,1,367.80,"STANLEY Crimping Plier Set, Length 230 mm/9"" - 84-253-22",0.00,0.00,0,0,311.90,BM0C7B3,NULL,NULL,367.80,84-253-22,EA,,0,0,135,16,"IGST 18%",0,8203,NULL,NULL,0,0
20300,NULL,SC-00029,56384,22936,1,645499,1,0,0,0.00,0.00,1,250.00,"STANLEY Crimping Plier, Length 230 mm/9"" - 84-223-22",0.00,0.00,0,0,157.30,BM0C7B2,NULL,NULL,250.00,84-223-22,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20301,NULL,SC-00029,56385,22937,1,95582,2,0,0,0.00,0.00,1,639.83,"STANLEY Rubber Grip Hacksaw, Adjustable Frame - 15-265-23",0.00,0.00,0,0,466.90,BM0C7I5,NULL,NULL,639.83,15-265-23,EA,,0,0,135,16,"IGST 18%",0,82021010,NULL,NULL,0,0
20302,NULL,SC-00029,56386,22938,1,645880,1,0,0,0.00,0.00,1,275.42,"STANLEY Wood Handle Nail Hammer, 450 gms/16 - 51-159",0.00,0.45,0,0,199.52,BM0C7G7,NULL,NULL,137.71,51-159,EA,,0,0,135,16,"IGST 18%",0,8467,NULL,NULL,0,0
20303,NULL,SC-00029,56387,22939,1,645880,1,0,0,0.00,0.00,1,275.42,"STANLEY Wood Handle Nail Hammer, 450 gms/16 - 51-159",0.00,0.45,0,0,199.52,BM0C7G7,NULL,NULL,275.42,51-159,EA,,0,0,135,16,"IGST 18%",0,8467,NULL,NULL,0,0
20304,NULL,SC-00029,56388,22940,1,95527,1,0,0,0.00,0.00,1,240.68,"STANLEY Combination Plier, Single Color Sleeve, Length 205mm/8"" - 70-461 - BM0C7Q4",0.00,0.00,0,0,250.00,BM0C7Q4,NULL,NULL,240.68,70-461,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20305,NULL,SC-00029,56389,22941,1,733367,1,0,0,0.00,0.00,1,137.29,"STANLEY Tough Case Tape, Width 19 mm, Length 5 Mtr - STHT36067-812",0.00,0.00,0,0,169.95,BM0Q8X8,NULL,NULL,322.03,STHT36067-812,EA,,0,0,135,16,"IGST 18%",0,90178090,NULL,NULL,0,0
20305,NULL,SC-00029,56390,22941,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,42.37,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
