Inside Sales Name,Client Order Date,Price Currency,Document Rate,Magento Company Name,Company Alias,Inquiry Number,So #,Order Date,Bm #,Description,Order Qty,Unit Selling Price,Freight,Tax Type,Tax Rate,Tax Amount,Total Selling Price,Total Landed Cost,Unit cost price,Margin,Margin (In %),Kit,AE,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,Abs. Mismatch,Mismatch
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O8,"SHCKL D,80,1T,SCRW,3/8IN",12,98.7233333333333,0,2.0% VAT,2.00%,23.6936,1184.68,750,62.5,434.68,36.69%,No,No,1061.04,1082.26,1184.68,1208.37,126.11,-126.11
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O9,"SHCKL D,AS,6.5T,SCRW,7/8IN",8,477.31625,0,2.0% VAT,2.00%,76.3706,3818.53,2418,302.25,1400.53,36.68%,No,No,3420,3488.4,3818.53,3894.9,406.5,-406.5
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P0,"SHCKL D,80,8.5T,SCRW,1IN",8,641.87,0,2.0% VAT,2.00%,102.6992,5134.96,3254,406.75,1880.96,36.63%,No,No,4599.04,4691.02,5134.96,5237.66,546.639999999999,-546.639999999999
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P1,"Senator Cut 2 Assorted Needle File Set, SEN0316990K (1pack - 12 pcs)",4,2056.645,0,2.0% VAT,2.00%,164.5316,8226.58,3928,982,4298.58,52.25%,No,No,7368,7515.36,8226.58,8391.11,875.750000000001,-875.750000000001
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P2,"SHAPE: RECTANGULAR ADJ TELESCOPIC 3-1/2"" REC. INSP. MIRROR Rectangular Mirror Mirror size: 90 x 50mm. Length Closed/Open 370/550 mm",4,386.8775,0,2.0% VAT,2.00%,30.9502,1547.51,1010,252.5,537.51,34.73%,No,No,1386,1413.72,1547.51,1578.46,164.74,-164.74
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P4,"HST MECH CHN CMPCT,5T,2,LG6M",2,25921.335,0,2.0% VAT,2.00%,1036.8534,51842.67,32843,16421.5,18999.67,36.65%,No,No,46432,47360.64,51842.67,52879.52,5518.88,-5518.88
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P5,"HST MECH CHN CMPCT,2T,2,LG6M",2,13454.175,0,2.0% VAT,2.00%,538.167,26908.35,17047,8523.5,9861.35,36.65%,No,No,24100,24582,26908.35,27446.52,2864.52,-2864.52
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P6,"HST MECH CHN CMPCT,1T,1,LG6M",2,8162.945,0,2.0% VAT,2.00%,326.5178,16325.89,10342,5171,5983.89,36.65%,No,No,14622,14914.44,16325.89,16652.41,1737.97,-1737.97
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3P7,AL Adhesive Tape 20M Roll ( Thermon Heat TracersÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ Approved Product ),20,460.289,0,2.0% VAT,2.00%,184.1156,9205.78,5912,295.6,3293.78,35.78%,No,No,8245,8409.9,9205.78,9389.9,980,-980
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3Q2,"Masonary Drill Bit Set - 5 Pcs
Size Diameter: 4mm, 5mm, 6mm, 8mm & 10mm
Material: HSS with brazed Carbide tip",4,427.0725,0,2.0% VAT,2.00%,34.1658,1708.29,911,227.75,797.29,46.67%,No,No,1530,1560.6,1708.29,1742.46,181.86,-181.86
