invoice_number,commited date,delivery date
202001684,4/30/2019,8/20/2019
202001679,5/20/2019,8/20/2019
202001685,5/20/2019,8/20/2019
202001681,1/31/2019,8/20/2019
202001683,5/20/2019,8/20/2019
202001686,6/30/2019,8/20/2019
202001689,8/6/2019,8/22/2019
202001687,11/12/2018,6/1/2019
202001690,7/1/2019,8/20/2019
202001688,9/20/2019,8/17/2019
202001696,8/19/2019,8/20/2019
202001479,8/2/2019,8/5/2019
204000590,9/30/2019,8/21/2019
204000588,8/31/2019,08-22-2019
202001703,7/25/2019,8/21/2019
204000587,8/22/2019,8/22/2019
204000599,8/19/2019,8/22/2019
204000594,9/3/2019,8/21/2019
202001705,8/28/2019,8/17/2019
208000076,8/22/2019,8/23/2019
202001715,5/2/2019,6/13/2019
202001719,3/21/2019,8/23/2019
204000595,7/18/2019,8/22/2019
202001704,8/28/2019,8/23/2019
202001716,5/8/2019,8/23/2019
202001724,8/9/2019,8/23/2019
204000598,8/29/2019,8/21/2019
202001717,3/7/2019,8/23/2019
202001718,3/26/2019,8/23/2019
202001721,5/2/2019,8/23/2019
202001723,8/20/2019,8/23/2019
202001725,8/8/2019,8/23/2019
202001726,9/10/2019,8/23/2019
202001720,8/8/2019,8/23/2019
202001722,7/31/2019,8/23/2019
204000591,8/19/2019,8/21/2019
204000600,9/15/2019,8/22/2019
205000248,5/23/2019,8/23/2019
205000204,9/20/2019,8/3/2019
202001729,8/14/2019,8/23/2019
202001730,8/4/2019,8/23/2019
202001572,9/10/2019,8/13/2019
205000252,9/30/2019,8/23/2019
205000251,8/28/2019,8/23/2019
205000253,7/24/2019,8/23/2019
202001733,8/15/2019,8/23/2019
202001732,8/16/2019,8/23/2019
202001736,9/9/2019,8/23/2019
202001734,8/21/2019,8/23/2019
202001735,8/14/2019,8/23/2019
202001737,8/2/2019,8/23/2019
204000601,8/20/2019,8/23/2019
202001714,3/20/2019,8/22/2019
