Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Rexel India Pvt. Ltd.,Rexel India Pvt. Ltd.,No-Yes,Rexel,Rexel India,Customer
,Rico Auto Industries Ltd.,Rico Auto Industries Ltd.,No-Yes,Rico,Rico Auto Industries,Customer
,Ricoh India Ltd.,Ricoh India Limited,Yes-Yes,Ricoh,Ricoh India Limited,Customer
,Rieco Industries Ltd.,Rieco Industries Ltd.,No-Yes,Rieco,Rieco Industries,Customer
,Ringspann Power Transmission India Pvt. Ltd.,RINGSPANN Power Transmission India Pvt. Ltd.,No-Yes,RINGSPANN Power,RINGSPANN,Customer
,Rise n' Shine Biotech Pvt. Ltd.,Rise n' Shine Biotech Pvt. Ltd.,No-Yes,Rise n' Shine Biotech,Rise n Shine Biotech,Customer
,Rising Stars Mobile India Pvt. Ltd.,Rising Stars Mobile India Pvt. Ltd.,No-Yes,Rising Stars Mobile,Rising Stars Mobile India Pvt. Ltd.,Customer
,RMC Readymix India Pvt. Ltd.,RMC Readymix India Pvt. Ltd.,No-Yes,RMC Readymix,RMC Readymix India,Customer
,RNS Electrical and Engineering,RNS Electrical and Engineering,No-Yes,RNS Electrical,RNS Electrical Engg,Customer
,Ropalsoft Technologies Pvt. Ltd.,Ropalsoft Technologies Pvt. Ltd.,No-Yes,Ropalsoft Technologies,Ropalsoft Tech,Customer
,Ross Process Equipment Pvt. Ltd.,Ross Process Equipment Pvt. Ltd.,No-Yes,Ross Process Equipment,Ross Process,Customer
,Roto Auto Engineering Solutions Pvt. Ltd.,Roto Auto Engineering Solutions Pvt. Ltd.,No-Yes,Roto Auto Engineering,Roto Auto Engineering Solutions,Customer
,Royal Project Suppliers,Royal Project Suppliers,No-Yes,Royal Project Suppliers,Royal Project Supp.,Customer
,Royal Sundaram General Insurance Co. Ltd.,Royal Sundaram General Insurance Co. Ltd.,No-Yes,Royal Sundaram Insurance,Royal Sundaram General Insurance,Customer
,R.P. Polymers,R.P. Polymers,No-Yes,RP Polymers,R P Polymers,Customer
,RPS Infrastructure Ltd.,RPS Infrastructure Ltd.,No-Yes,RPS Infra,RPS Infrastructure,Customer
,Rubberwing,Rubberwing,No-Yes,Rubberwing,Henkel,Customer
,Ruchi Soya Industries Ltd.,Ruchi Soya Industries Ltd.,No-Yes,Ruchi Soya,Ruchi Soya Industries,Customer
Yes,Ruhani Enterprises,Ruhani Enterprise,Yes-No,Ruhani Enterprise,Ruhani Enterprise,Customer
Yes,Ruhani Enterprises,Ruhani Enterprises,No-Yes,Ruhani Enterprises,Henkel,Customer
,Rumy Consultancy Services,Rumy Consultancy Services,No-Yes,Rumy Consultancy,Rumy Consultancy Services,Customer
,Safeline Enterprises,SAFELINE ENTERPRISES,No-Yes,Safeline,SAFELINE ENTERPRISES,Customer
,SAIL Chrome,Sail Chrome,No-Yes,SAIL,Sail Chrome,Customer
,Saipem India Projects Ltd.,Saipem India Projects Ltd.,No-Yes,Saipem,Saipem India,Customer
,Sakata Inx India Ltd.,Sakata Inx India Ltd.,No-Yes,Sakata Inx,Sakata Inx India,Customer
Yes,Samsung C&T Corporation India Pvt. Ltd.,Samsung CandT India,Yes-Yes,Samsung,Samsung CandT India,Customer
,Sanden Vikas India Ltd.,Sanden Vikas India Ltd.,No-Yes,Sanden Vikas,Sanden Vikas India,Customer
,S and S Industrial Enterprises,S and S Industrial Enterprises,No-Yes,S&S Industrial,Henkel,Customer
,Saraswathi Institute of Medical Sciences,Saraswathi Institute of Medical Sciences,No-Yes,Saraswathi Medical Institute,Saraswathi Inst. Med,Customer
,Sardar Patel Renewable Energy Research Institute,Sardar Patel Renewable Energy Research Institute,No-Yes,Sardar Patel Institute,Sardar Patel Renew,Customer
,Scandic Food India Pvt. Ltd.,Scandic Food India Pvt. Ltd.,No-Yes,Scandic Food,Scandic Food India,Customer
Yes,Schlumberger Ltd.,Schlumberger Ltd.,No-Yes,Schlumberger,Schlumberger Ltd.,Customer
,Schmersal India Pvt. Ltd.,Schmersal India Pvt. Ltd.,No-Yes,Schmersal,Schmersal India,Customer
,Schneider Electric India Pvt. Ltd.,Schneider Electric,Yes-No,Schneider Electric,Schneider Electric,Customer
,Scientific Corporation,Scientific Corporation,No-Yes,Scientific Corp,Scientific Corp.,Customer
,Scigenics India Pvt. Ltd.,Scigenics India Pvt. Ltd.,No-Yes,Scigenics,Scigenics India,Customer
Yes,SD FG McClintoc. Ltd (SDFGML),SD FG McClintoc. Ltd (SDFGML),No-Yes,Shelf Drilling,Shelf Trident,Customer
,Seforge Ltd.,Seforge Limited,Yes-No,Seforge Limited,Seforge Limited,Customer
,Seiki Auto India Ltd.,Seiki Auto India Ltd.,No-Yes,Seiki Auto,Seiki Auto India,Customer
,Seoyon E-Hwa Automotive India Pvt. Ltd.,Seoyon E-Hwa Automotive India Pvt. Ltd.,No-Yes,Seoyon,Seoyon E-Hwa Automotive,Customer
,SGS India Pvt. Ltd.,SGS India Pvt. Ltd.,No-Yes,SGS,SGS India,Customer
Yes,Shelf Drilling F.G.MCCLINTOCK,Shelf Drilling F.G.MCCLINTOCK,No-Yes,Shelf Drilling,Shelf Trident,Customer
,Shelf Drilling Offshore Services India Pvt. Ltd.,Shelf Drilling Offshore Services India Pvt. Ltd.,No-Yes,Shelf Drilling,Shelf Drilling Offshore,Customer
,Shelf Drilling Trident XII Ltd.,Shelf Drilling Trident XII Ltd.,No-Yes,Shelf Drilling,Shelf Trident,Customer
,Shilpi Cable Technlogies Ltd.,Shilpi Cable Technlogies Ltd.,No-Yes,Shilpi Cable,Shilpi Cable Tech,Customer
,S.H. Industrial Needs,S.H Industrial Needs,Yes-Yes,SH Industrial,S.H Industrial,Customer
,Shlesha Trading Co.,Shlesha Trading Co.,No-Yes,Shlesha Trading,Siemens,Customer
,Shree Brijbehari Engg Pvt. Ltd.,Shree Brijbehari Engg Pvt. Ltd.,No-Yes,Shree Brijbehari Engg,Shree Brijbehari,Customer
,Shree Ganesh Engineers,Shree Ganesh Engineers,No-Yes,Shree Ganesh Engineers,Shree Ganesh Eng,Customer
,Shree Ganesh Stamping,Shree Ganesh Stamping,No-Yes,Shree Ganesh Stamping,Shree Ganesh Stamp,Customer
,Shree Kanchan Electricals,Shree Kanchan Electricals,No-Yes,Shree Kanchan Electricals,Shree Kanchan Elec,Customer
,Shreenath Tools Centre,Shreenath Tools Centre,No-Yes,Shreenath Tools,Shreenath Tools Cent,Customer
,Shri Balaji Overseas,Shri Balaji Overseas,No-Yes,Shri Balaji Overseas,Balaji Overseas,Customer
,Shri Mata Vaishno Devi Narayana Superspeciality Hospital,Shri Mata Vaishno Devi Narayana Superspeciality Hospital,No-Yes,Narayana Hospital,Narayana Health,Customer
,SICIM,Sicim S.P.A,Yes-Yes,SICIM,Sicim S.P.A,Customer
,Siemens Product Lifecycle Management Software Inc.,Siemens Product Lifecycle Management Software Inc.,No-Yes,Siemens,Siemens Product,Customer
,SI Group - India Ltd.,SI Group - India Ltd.,No-Yes,SI Group,SI Group - India,Customer
,Silverline Electricals Pvt. Ltd.,Silverline Electricals Pvt. Ltd.,No-Yes,Silverline Electricals,Silverline Elec,Customer
,Singapore India Trade Resources Co,Singapore India Trade Resources Co,No-Yes,Singapore India Trade,Singapore India Trade Resources Co,Customer
,Singer India Ltd.,Singer India Ltd.,No-Yes,Singer,Singer India Ltd.,Customer
,Sinwoo Pack India Pvt. Ltd.,Sinwoo Pack India Pvt. Ltd.,No-Yes,Sinwoo Pack,Sinwoo Pack India,Customer
,S.K. Enterprises,S.K.Enterprises,Yes-Yes,SK Enterprises,S.K.Enterprises,Customer
,Skimmeronline Pty. Ltd.,Skimmer On Line Pty Ltd.,Yes-Yes,Skimmeronline,Skimmer On Line,Customer
,SK Oilfield Services Pvt. Ltd.,SK Oilfiled Services Pvt. Ltd.,Yes-Yes,SK Oilfield,SK Oilfiled,Customer
,Smart Industrial Supplies Trading,Smart Industrial Supplies Trading,No-Yes,Smart Industrial,Smart Industrial Sup,Customer
,Smart Techno System India Pvt. Ltd.,Smart Techno System India Pvt. Ltd.,No-Yes,Smart Techno,Smart Techno Sys,Customer
,SNECMA HAL,Snecma HAL,No-Yes,HAL,Snecma HAL,Customer
,Sobek Auto India Pvt. Ltd.,Sobek Auto India Private Limited,Yes-No,Sobek Auto India Private Limited,Sobek Auto India Private Limited,Customer
,Sofitel Mumbai BKC,Sofitel Mumbai BKC,No-Yes,Sofitel,Sofitel Mumbai BKC,Customer
,Sona Papers Pvt. Ltd.,Sona Papers Pvt. Ltd.,No-Yes,Sona Papers,Sona Papers Pvt. Ltd.,Customer
,Sopan O&M Co. Pvt. Ltd.,Sopan O&M Co. Pvt. Ltd.,No-Yes,Sopan O&M,Sopan O&M Co. Pvt. Ltd.,Customer
,Sourceone Industrial Supply,Sourceone Industrial Supply,No-Yes,Sourceone,Sourceone Industrial,Customer
,South West Pinnacle Exploration Pvt. Ltd.,South West Pinnacle Exploration Pvt. Ltd.,No-Yes,South West Pinnacle Exploration,South West Pinnacle,Customer
,Space Applications Centre,Space Applications Centre,No-Yes,Space Applications Centre,Space App. Centre,Customer
,Spannkraft Hydrosystems Pvt. Ltd.,Spannkraft Hydrosystems Pvt. Ltd.,No-Yes,Spannkraft Hydrosystems,Spannkraft Hydrosystems Pvt. Ltd.,Customer
,SP Armada Oil Exploration Pvt. Ltd.,SP Armada Oil Exploration Pvt. Ltd.,No-Yes,SP Armada,SP Armada Oil,Customer
,SRF Ltd.,SRF Ltd.,No-Yes,SRF,SRF Ltd.,Customer
,Sri Ayyappa Industries,Sri Ayyappa Industries,No-Yes,Sri Ayyappa Industries,Ayyappa Industries,Customer
,S.S. Khardekar India Pvt. Ltd.,S.S.Khardekar India Pvt. Ltd.,Yes-No,S.S.Khardekar,S.S.Khardekar,Customer
,Stanley Engineered Fastening India Pvt. Ltd.,Stanley Engineered Fastening India Pvt. Ltd.,No-Yes,Stanley,Stanley Engineered,Customer
,Starion India Pvt. Ltd.,Starion India Pvt. Ltd.,No-Yes,Starion,Starion India,Customer
,STAUFF India Pvt. Ltd.,STAUFF India Pvt. Ltd.,No-Yes,STAUFF,STAUFF India,Customer
,Sterlite Industrial Service,Sterlite Industrial Service,No-Yes,Sterlite,Sterlite Tech,Customer
,Sterlite Technologies Ltd.,Sterlite Technologies Ltd.,No-Yes,Sterlite,Sterlite Technologies,Customer
,Subrata,Subrata!!,Yes-Yes,Subrata,Demo Account 1,Customer
,Sudarshan Chemical Industries Ltd.,Sudarshan Chemical Industries Limited,Yes-No,Sudarshan Chemical,Sudarshan Chemical,Customer
,Sulzer Pumps India Pvt. Ltd.,Sulzer Pumps India Pvt. Ltd.,No-Yes,Sulzer,Sulzer Pumps India Pvt. Ltd.,Customer
,Sun Petrochemicals Pvt. Ltd,Sun Petrochemicals Pvt. Ltd,No-Yes,Sun Petrochem,Legacy Account,Customer
,Sunpower India Ventures Pvt. Ltd.,Sunpower India Ventures Pvt. Ltd.,No-Yes,Sunpower India Ventures,Sunpower India,Customer
,Supermax personal Care Pvt. Ltd.,Supermax personal Care Pvt. Ltd.,No-Yes,Supermax,Supermax personal Care Pvt. Ltd.,Customer
,Super Seals India Pvt. Ltd.,Super Seals India Pvt. Ltd.,No-Yes,Super Seals,Super Seals India,Customer
,Supremex Equipments,Supremex Equipments,No-Yes,Supremex,Supremex Equipments,Customer
,Survival Systems India,Survival Systems India,No-Yes,SSI,Indian Navy,Customer
,Suzuki Motor Gujarat Pvt. Ltd.,Suzuki Motor Gujarat Pvt. Ltd.,No-Yes,Suzuki,Suzuki Motor,Customer
,Swarovski India Pvt. Ltd.,Swarovski India Pvt. Ltd.,No-Yes,Swarovski,Swarovski India,Customer
,Symbiosis Institute of Design,Symbiosis Institute of Design,No-Yes,Symbiosis Institute of Design,Symbiosis Inst. Des.,Customer
,Taikisha Engineering India Pvt. Ltd.,Taikisha Engineering India Pvt. Ltd.,No-Yes,Taikisha Engg,Taikisha,Customer
,Taj Air Ltd.,Taj Air Ltd.,No-Yes,Tata,TAJ,Customer
,Taj City Centre,Taj City Centre,No-Yes,Tata,TAJ,Customer
,Taj Hotel,Taj Hotel,No-Yes,Tata,TAJ,Customer
,Tata Advanced Materials Ltd.,TATA Advanced Materials Ltd.,No-Yes,Tata,Tata Group,Customer
,Tata Centre for Technology and Design,Tata Centre for Technology and Design,No-Yes,Tata,Tata Group,Customer
,Tata Communications Ltd.,Tata Communications Ltd.,No-Yes,Tata,TCL,Customer
,Tata Consultancy Services Ltd.,Tata Consultancy Services Ltd.,No-Yes,Tata,Tata Group,Customer
,Tata Motors Ltd.,Tata Motors Ltd.,No-Yes,Tata,Tata Group,Customer
,Tata Power DDL,Tata Power DDL,No-Yes,Tata,Tata Group,Customer
,Tata Projects Ltd.,Tata Projects Ltd.,No-Yes,Tata,Tata Group,Customer
,Tata Steel BSL Ltd.,Tata Steel BSL Ltd.,No-Yes,Tata,Bhushan Power Steel,Customer
,Tata Steel Ltd.,Tata Steel Ltd.,No-Yes,Tata,Tata Group,Customer
,TCS,TCS,No-Yes,Tata,TCS,Customer
,T. D. Williamson India Pvt. Ltd.,T. D. Williamson India Pvt. Ltd.,No-Yes,TD Williamson,T. D. Williamson,Customer
,Technocraft Industries India Ltd.,Technocraft Industries India Ltd.,No-Yes,Technocraft Industries,Technocraft Industries India Ltd.,Customer
,TechNova Imaging Systems Pvt. Ltd.,TechNova Imaging Systems Pvt. Ltd.,No-Yes,TechNova Systems,TechNova Imaging Sys,Customer
,Technovative Engineers Pvt. Ltd.,Technovative Engineers Pvt. Ltd.,No-Yes,Technovative Engineers,Technovative Eng,Customer
,Tecnimont Pvt. Ltd.,Tecnimont Pvt. Ltd.,No-Yes,Tecnimont,Tecnimont Pvt. Ltd.,Customer
,Tej Control Systems Pvt. Ltd.,Tej Control Systems Pvt. Ltd.,No-Yes,Tej Control Systems,Tej Control Systems Pvt. Ltd.,Customer
,Telangana State Power Generation Corporation Ltd.,Telangana State Power Generation Corporation Ltd.,No-Yes,Telangana State Power,Telangana Power,Customer
,Tetra Pak India Pvt. Ltd.,Tetra Pak India Pvt. Ltd.,No-Yes,Tetra Pak,Tetra Pak India,Customer
,Teva API India Ltd.,Teva API India Ltd.,No-Yes,Teva,Teva API India Ltd.,Customer
,THDC India Ltd.,THDC India Ltd.,No-Yes,THDC,THDC India,Customer
,Ambassadors Sky Chef,The Ambassadorâ€™s Sky Chef,Yes-No,Ambassador Sky Chef,Ambassador Sky Chef,Customer
,The Automotive Research Association of India,The Automotive Research Association of India,No-Yes,ARAI,The Automotive Research Association of India,Customer
,The Bombay Tools and Hardware Mart,The Bombay Tools and Hardware Mart,No-Yes,Bombay Tools,Bombay Tools H/W,Customer
,The Himalaya Drug Company,The Himalaya Drug Company,No-Yes,Himalaya,The Himalaya Drug,Customer
,"The Lalit, New Delhi (An enterprise of Bharat Hotels Ltd.)","The Lalit, New Delhi (An enterprise of Bharat Hotels Limited)",Yes-No,The Lalit,The Lalit,Customer
,The Orchid Five Star Ecotel Hotel,The Orchid Five Star Ecotel Hotel,No-Yes,Orchid Hotels,The Orchid Five Star Ecotel Hotel,Customer
,The Suryaa,The Suryaa,No-Yes,Suryaa,The Suryaa,Customer
,The Taj Mahal Palace,The Taj Mahal Palace,No-Yes,Tata,TAJ,Customer
,The Times of India Group,The Times of India Group,No-Yes,Bennett Coleman,TOI,Customer
,The Varma Pharmacy Pvt. Ltd.,The Varma Pharmacy Pvt. Ltd.,No-Yes,Varma Pharmacy,The Varma Pharmacy,Customer
,Thyssenkrupp India Pvt. Ltd.,Thyssenkrupp India Pvt. Ltd.,No-Yes,Thyssenkrupp,Thyssenkrupp India,Customer
,Toshiba JSW Power Systems Pvt. Ltd.,Toshiba JSW Power Systems Pvt. Ltd.,No-Yes,Toshiba JSW,Toshiba,Customer
,Toyo Engineering India Pvt. Ltd.,Toyo Engineering India Pvt. Ltd.,No-Yes,Toyo Engineering,Toyo,Customer
,Toyota Kirloskar Auto Parts Pvt. Ltd.,Toyota Kirloskar Auto Parts Pvt. Ltd.,No-Yes,Toyota,Kirloskar,Customer
,Toyota Kirloskar Motor Pvt. Ltd.,Toyota Kirloskar Motor Pvt. Ltd.,No-Yes,Toyota,Kirloskar,Customer
,Trambaklal Raichand and Co.,Trambaklal Raichand and Co.,No-Yes,Trambaklal Raichand,Trambaklal Raichand and Co.,Customer
,Transfix India Pvt. Ltd.,Transfix India Pvt. Ltd.,No-Yes,Transfix,Transfix India,Customer
,Trident Group,Trident Group,No-Yes,Trident Hotel,Trident Group Hotel,Customer
,Trident Hotel Gurgaon,Trident Hotel Gurgaon,No-Yes,Trident Hotel,Trident Group Hotel,Customer
,Trident Hotel Mumbai,Trident Hotel Mumbai,No-Yes,Trident Hotel,Trident Group Hotel,Customer
,Trident Ltd.,Trident Ltd.,No-Yes,Trident Hotel,Trident Ltd.,Customer
,Triune Energy Services Pvt. Ltd.,Triune Energy Services Private Limited,Yes-No,Triune Energy,Triune Energy,Customer
,TVS Electronics Ltd.,TVS Electronics Ltd.,No-Yes,TVS Group,TVS Electronics Ltd.,Customer
,TVS Logistics Services Ltd.,TVS Logistics Services Ltd.,No-Yes,TVS Group,TVS Logistics,Customer
,TVS Motor Co. Ltd.,TVS Motor Co. Ltd.,No-Yes,TVS Group,TVS Motor,Customer
,UltraTech Cement Ltd,UltraTech Cement Ltd,No-Yes,ABG,Aditya Birla Group,Customer
,Unicharm India Pvt. Ltd.,Unicharm India Pvt. Ltd.,No-Yes,Unicharm,Unicharm India,Customer
,Unichem Laboratories Ltd.,Unichem Laboratories Ltd.,No-Yes,Unichem Laboratories,Unichem Lab.,Customer
,Unifab Engineering Project Pvt. Ltd.,UNIFAB Engineering Project Pvt. Ltd.,No-Yes,Unifab,Unifab Engineering,Customer
,Unipart Services India Pvt. Ltd.,Unipart Services India Pvt. Ltd.,No-Yes,Uniparts,Unipart Services,Customer
,Uniparts India Ltd.,Uniparts India Ltd.,No-Yes,Uniparts,Uniparts India,Customer
,Unipres India Pvt. Ltd.,Unipres India Pvt. Ltd.,No-Yes,Unipres,Unipres India,Customer
,United Breweries Ltd.,United Breweries Ltd.,No-Yes,UBL,United Breweries,Customer
,Universal Electrical and Electronics Co.,Universal Electrical and Electronics Co.,No-Yes,Universal Electricals,Universal Electronic,Customer
,University Of Delhi,University Of Delhi,No-Yes,DU,Legacy Account,Customer
,UPS Jetair Express Pvt. Ltd.,UPS Jetair Express Pvt. Ltd.,No-Yes,UPS Jetair,UPS Jetair Express,Customer
,UrbanClap Technologies India Pvt. Ltd.,UrbanClap Technologies India Pvt. Ltd.,No-Yes,UrbanClap,UrbanClap Tech,Customer
,Vasantdada Shetkari Sahakari Sakhar Karkhana Ltd.,Vasantdada Shetkari Sahakari Sakhar Karkhana Ltd.,No-Yes,Vasantdada Karkhana,Vasantdada,Customer
,Vasundhara Food And Beverages Pvt. Ltd.,Vasundhara Food And Beverages Pvt. Ltd.,No-Yes,Vasundhara Beverages,Vasundhara Food,Customer
,Vesi Enterprises,Vesi Enterprises,No-Yes,Vesi Enterprises,VESI,Customer
,Vestas Wind Technology India Pvt. Ltd.,Vestas Wind Technology India Pvt. Ltd.,No-Yes,Vestas Wind,Vestas,Customer
Yes,Vikram Sarabhai Space Center,Vikram Sarabhai Space Center,No-Yes,Vikram Sarabhai Space Centre,Vikram Space Center,Customer
Yes,Vikram Sarabhai Space Center,Vikram Sarabhai Space Centre,Yes-No,Vikram Sarabhai Space Centre,Vikram Sarabhai Space Centre,Customer
,Vilking Electrics & Electronics,Vilking Electrics and Electronics,Yes-No,Vilking Elec.,Vilking Elec.,Customer
,VIP Industries Ltd.,VIP Industries Ltd.,No-Yes,VIP,VIP Industries,Customer
,Visiport,Visiport,No-Yes,Visiport,Legacy Account,Customer
,V. K. Instruments,V. K. Instruments,No-Yes,VK Instruments,V. K. Instruments,Customer
,V.M. Products,V.M. Products,No-Yes,VM Products,V.M. Products,Customer
,V. R. International Co.,V. R. International Co.,No-Yes,VR International,V. R. International,Customer
,Wadia Group,Wadia Group,No-Yes,Wadia Group,Wadia,Customer
,Walchandnagar Industries Ltd.,Walchandnagar Industries Ltd.,No-Yes,Walchandnagar Industries,Walchandnagar Ind,Customer
,Wave Suspension Systems India Pvt. Ltd.,Wave Suspension Systems India Pvt. Ltd.,No-Yes,Wave Suspension Systems,Wave Suspension Sys,Customer
,Weikfield Foods Pvt. Ltd.,Weikfield Foods Pvt. Ltd.,No-Yes,Weikfield,Weikfield Foods,Customer
,Western Coalfields Ltd.,Western Coalfields Limited,Yes-No,Western Coalfields,Western Coalfields,Customer
,Wings Automobile Products Pvt. Ltd.,Wings Automobile Products Pvt. Ltd.,No-Yes,Wings Auto,Wings Automobile,Customer
,Wipro GE Healthcare Pvt. Ltd.,Wipro GE Healthcare Pvt. Ltd.,No-Yes,Wipro,GE,Customer
,Wohr Parking System Pvt. Ltd.,Wohr Parking System Pvt. Ltd.,No-Yes,Wohr Parking,Wohr Parking Sys,Customer
,Work Store Ltd.,Work Store Ltd.,No-Yes,Work Store,Work Store Ltd.,Customer
,World Laparoscopy Hospital,World Laparoscopy Hospital,No-Yes,World Hospital,World Laparo Hosp,Customer
,Xpro India Ltd.,Xpro India Ltd.,No-Yes,Xpro,Xpro India,Customer
,Yashoda Super Speciality Hospital,Yashoda Super Speciality Hospital,No-Yes,Yashoda Hospital,Yashoda Super,Customer
,Yazaki India Pvt. Ltd.,Yazaki India Pvt. Ltd.,No-Yes,Yazaki,Yazaki India,Customer
,Yonex Engineering Services Pvt. Ltd.,Yonex Engineering Services Private Limited,Yes-Yes,Yonex,Yonex Engineering,Customer
,Zamil Steel Buildings India Pvt. Ltd.,Zamil Steel Buildings India Pvt. Ltd.,No-Yes,Zamil Steel Buildings,Zamil Steel,Customer
,ZCL Chemicals Ltd.,ZCL Chemicals Ltd.,No-Yes,ZCL,ZCL Chemicals,Customer
,Zelos Food Products Pvt. Ltd.,Zelos Food Products Pvt. Ltd.,No-Yes,Zelos,Zelos Food,Customer
,ZF India Pvt. Ltd.,ZF India Pvt. Ltd.,No-Yes,ZF,ZF India,Customer
