Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Crossways Vertical Solutions Pvt. Ltd.,Crossways Vertical Solutions Pvt. Ltd.,No-Yes,Crossways Vertical Solutions,Crossways Vertical,Customer
,CSIR-Indian Institute of Petroleum,CSIR-Indian Institute of Petroleum,No-Yes,CSIR-IIP,CSIR-Petroleum Inst.,Customer
Yes,Cummins Technologies India Pvt. Ltd. - Recon India,Cummins Technologies India Pvt. Ltd. Recon India,Yes-No,Cummins,Cummins,Customer
,Curo India Pvt. Ltd.,Curo India Pvt. Ltd.,No-Yes,Curo,Curo India,Customer
,Cybertech Systems and Software Ltd.,Cybertech Systems and Software Ltd.,No-Yes,Cybertech Systems and Software,Cybertech Systems and Software Ltd.,Customer
,Cytec India Specialty Chemicals and Materials Pvt. Ltd.,Cytec India Specialty Chemicals and Materials Pvt. Ltd.,No-Yes,Cytec,Cytec India,Customer
,Dalmia Bharat Ltd.,Dalmia Bharat Ltd.,No-Yes,Dalmia Bharat,Dalmia Bharat Ltd.,Customer
,Dana India Pvt. Ltd.,Dana India Pvt. Ltd.,No-Yes,Dana,Dana India,Customer
,Danieli Corus,Danieli Corus,No-Yes,Danieli,Danieli Corus,Customer
,Danone India,Danone India,No-Yes,Danone,Danone India,Customer
Yes,Daulatram Engg. Services Pvt. Ltd.,Daulatram Engg. Services Pvt. Ltd.,No-Yes,Daulatram,Daulat Ram Engineering Services,Customer
Yes,Daulatram Engg. Services Pvt. Ltd.,Daulatram Engg. Services Pvt. Ltd.,No-Yes,Daulatram,Daulatram Engg.,Customer
,DB Corp Ltd.,DB Corp Ltd.,No-Yes,DB Corp,DB Corp Ltd.,Customer
,Deccan Fine Chemicals,"Deccan Fine Chemicals, Visakhapatnam",Yes-Yes,Deccan Fine Chemicals,Legacy Account,Customer
,Deep International DMCC,Deep International DMCC,No-Yes,Deep International,Deep Industries,Customer
,Delhi International Airport Ltd.,Delhi International Airport Limited,Yes-No,Delhi International Airport,Delhi International Airport,Customer
,Delhi Metro Rail Corporation Ltd.,Delhi Metro Rail Corporate Ltd.,Yes-No,Delhi Metro,Delhi Metro,Customer
,Department of Zoology,Department of Zoology,No-Yes,DU - Zoology,Zoology,Customer
,Dhaval Paper Bag Manufacturing Co.,Dhaval Paper Bag Manufacturing Co.,No-Yes,Dhaval Paper,Dhaval Paper Bag,Customer
,DHR Holding India Pvt. Ltd.,DHR Holding India Pvt. Ltd.,No-Yes,DHR,DHR Holding India,Customer
,Dietech India Pvt. Ltd.,Dietech India Pvt. Ltd.,No-Yes,Dietech,Dietech India,Customer
,Directorate General of Civil Aviation,Directorate General of Civil Aviation,No-Yes,DGCA,Directorate General of Civil Aviation,Customer
,Directorate Of Purchase And Stores,Directorate Of Purchase And Stores,No-Yes,DGPA,Directorate Purchase,Customer
,D.N.P. Ltd.,D.N.P. Ltd.,No-Yes,DNP,D.N.P. Ltd.,Customer
,DNV Overseas Impex Pvt. Ltd.,DNV Overseas Impex Pvt. Ltd.,No-Yes,DNV,DNV Overseas Impex,Customer
,Doddanavar Global Energy Pvt. Ltd.,Doddanavar Global Energy Pvt. Ltd.,No-Yes,Doddanavar,Doddanavar Global,Customer
Yes,Dolphin Offshore Shipping Ltd.,Dolphin Offshore Shipping Limited,Yes-Yes,Dolphin,Dolphin Offshore Enterprises india ltd,Customer
Yes,Dolphin Offshore Shipping Ltd.,Dolphin Offshore Shipping Ltd.,No-Yes,Dolphin,Dolphin Offshore Shipping Ltd.,Customer
