invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
209000082,2019-08-10 16:50:21,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001477,2019-08-03 10:44:41,36992,2019-07-31 11:29:47,8/24/2019,8/6/2019,-18,ON OR BEFORE TIME,8/6/2019
205000199,2019-08-02 17:25:40,36597,2019-07-19 16:06:09,7/29/2019,7/28/2019,-1,ON OR BEFORE TIME,7/28/2019
205000198,2019-08-02 17:22:34,36597,2019-07-19 16:06:09,7/29/2019,7/28/2019,-1,ON OR BEFORE TIME,7/28/2019
205000202,2019-08-02 17:58:59,36631,2019-07-20 16:13:11,7/28/2019,7/27/2019,-1,ON OR BEFORE TIME,7/27/2019
205000200,2019-08-02 17:30:10,36631,2019-07-20 16:13:11,7/28/2019,7/27/2019,-1,ON OR BEFORE TIME,7/27/2019
209000084,2019-08-10 16:50:34,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
205000205,2019-08-03 12:26:15,36800,2019-07-25 12:36:44,8/8/2019,8/5/2019,-3,ON OR BEFORE TIME,8/5/2019
204000556,2019-08-08 15:40:28,35918,2019-06-27 12:41:33,8/16/2019,8/17/2019,1,DELAYED BY <2 DAYS,8/17/2019
204000541,2019-08-05 11:37:04,36977,2019-07-31 10:13:31,8/5/2019,8/2/2019,-3,ON OR BEFORE TIME,8/2/2019
205000206,2019-08-03 12:43:43,34261,2019-05-04 15:20:44,8/6/2019,8/6/2019,0,ON OR BEFORE TIME,8/6/2019
202001482,2019-08-03 13:05:52,36514,2019-07-17 16:30:13,8/5/2019,8/2/2019,-3,ON OR BEFORE TIME,8/2/2019
202001481,2019-08-03 11:27:46,35809,2019-06-24 16:41:06,7/10/2019,7/8/2019,-2,ON OR BEFORE TIME,7/8/2019
202001483,2019-08-03 14:37:53,13045,2017-10-17 00:00:00,8/9/2019,8/5/2019,-4,ON OR BEFORE TIME,8/5/2019
202001485,2019-08-03 16:15:59,30222,2018-12-26 18:50:56,12/31/2018,12/30/2018,-1,ON OR BEFORE TIME,12/30/2018
209000085,2019-08-10 16:50:47,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
