inquiry_number,client order date,order_number,old_order_number,order date,SKU,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,mismatch(total with tax),,total with tax mismatch(sprint - bible),Analysis notes,Kit order
2643,2-Nov-2015,100000875,nil,2-Nov-2015,BM0C7O6,506.00,531.30,636.00,667.80,136.50,,-136.50,,
2644,2-Nov-2015,100000876,nil,2-Nov-2015,BM0C7R0,164.00,172.20,570.00,598.50,426.30,,-426.30,,
2645,2-Nov-2015,100000877,nil,2-Nov-2015,BM0C7O6,506.00,531.30,636.00,667.80,136.50,,-136.50,,
5015,21-Jun-2016,100000879,nil,21-Jun-2016,BM9A4J5,114.30,121.16,5595.34,5931.06,5809.90,,-5809.90,,
3126,14-Mar-2016,100000881,nil,14-Mar-2016,BM0C9A8,166.00,169.32,136867.00,139604.34,139435.02,,-139435.02,,
2685,3-Mar-2016,100000882,nil,3-Mar-2016,BM0Z1G7,323988.00,366106.44,323988.00,364486.50,1619.94,,1619.94,,
2925,29-Feb-2016,100000886,nil,15-Apr-2016,BM0O4D9,140000.00,158200.00,140000.00,157500.00,700.00,,700.00,,
2908,30-Mar-2016,100000887,nil,30-Mar-2016,BM1A5I4,63750.00,72037.50,63750.00,71718.75,318.75,,318.75,,
2848,1-Feb-2016,100000890,nil,1-Feb-2016,BM1A3S7,69567.00,78610.71,99891.00,112377.38,33766.67,,-33766.67,,
2838,8-Jan-2016,100000891,nil,8-Jan-2016,BM0L8I8,10320.00,11661.60,38280.00,43065.00,31403.40,,-31403.40,,
2755,23-Nov-2015,100000892,nil,23-Nov-2015,BM1A3Q6,9280.00,10486.40,14962.00,16832.25,6345.85,,-6345.85,,
2776,26-Nov-2015,100000894,nil,26-Nov-2015,BM0Z0Z8,241.00,241.00,371.00,371.00,130.00,,-130.00,,
2826,4-Dec-2015,100000895,nil,4-Dec-2015,BM1A6G2,36750.00,38587.50,114230.00,119941.50,81354.00,,-81354.00,,
2777,7-Jan-2016,100000897,nil,6-Jan-2016,BM1A8L4,1004868.00,1024965.36,2704896.33,2758994.26,1734028.90,,-1734028.90,,
2777,6-Jan-2016,100000897,nil,1-Mar-2016,BM1B0I1,133488.00,136157.76,2704986.00,2759085.72,2622927.96,,-2622927.96,,
4130,20-Apr-2016,100000899,nil,20-Apr-2016,BM1B0E6,764.34,863.70,2489.34,2800.51,1936.80,,-1936.80,,
4223,2-May-2016,100000904,nil,2-May-2016,BM0K8J3,175.00,201.25,10868.25,12498.49,12297.24,,-12297.24,,
4292,23-May-2016,100000908,nil,23-May-2016,BM0O7C4,4025.00,4226.25,123205.00,129365.25,125139.00,,-125139.00,,
4307,5-May-2016,100000909,nil,5-May-2016,BM1B2P5,1032.00,1093.92,2481.00,2629.86,1535.94,,-1535.94,,
4297,14-May-2016,100000910,nil,14-May-2016,BM1B2B5,2895.00,3271.35,14895.00,16756.88,13485.53,,-13485.53,,
4308,19-May-2016,100000911,nil,19-May-2016,BM1B2L6,3205.00,3685.75,4007.00,4608.05,922.30,,-922.30,,
4340,21-May-2016,100000913,nil,21-May-2016,BM1B2R0,323661.00,330134.22,363585.00,370856.70,40722.48,,-40722.48,,
4365,6-May-2016,100000914,nil,6-May-2016,BM0C7C9,106.00,106.00,256.00,256.00,150.00,,-150.00,,
4367,6-May-2016,100000915,nil,6-May-2016,BM0C7C9,106.00,106.00,256.00,256.00,150.00,,-150.00,,
4368,6-May-2016,100000916,nil,6-May-2016,BM0C8Z1,192.00,192.00,342.00,342.00,150.00,,-150.00,,
4381,20-May-2016,100000917,nil,20-May-2016,BM0O7G4,3270.83,3696.04,3270.83,3679.68,16.35,,16.35,,
4422,16-May-2016,100000919,nil,16-May-2016,BM1B2Q4,35714.28,40357.14,35714.28,40178.57,178.57,,178.57,,
4435,20-May-2016,100000920,nil,20-May-2016,BM0O7J3,6000.00,6780.00,6000.00,6750.00,30.00,,30.00,,
4458,25-May-2016,100000923,nil,25-May-2016,BM0O8H7,39855.15,45036.32,39855.15,44837.04,199.28,,199.28,,
4483,18-May-2016,100000927,nil,18-May-2016,BM0O7Z5,13555.56,15317.78,13755.56,15475.01,157.22,,-157.22,,
4485,18-May-2016,100000929,nil,18-May-2016,BM0O8I3,4392.85,4963.92,4392.85,4941.96,21.96,,21.96,,
