Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Ashwini Pumps Sales and Service,Ashwini Pumps Sales and Service,Ashwini Pumps,Ashwini Pumps,Customer
,Asian Electronics,Asian Electronics,Asian Electronics,Asian Electronics,Customer
,Asian Institute of Medical Sciences,Asian Institute of Medical Sciences,Asian Institute,Asian Institute Med,Customer
,Asian Oilfield Services Ltd.,Asian Oilfield Services Ltd.,Asian Oilfield,Asian Oilfield,Customer
,Asian Paints Ltd,Asian Paints Ltd,Asian Paints,Asian Paints,Customer
,Asiatech Coatings Pvt. Ltd.,Asiatech Coatings Pvt. Ltd.,Asiatech Coatings,Asiatech Coatings,Customer
,Ask Academy,Ask Academy,Ask Academy,Ask Academy,Customer
,Ask Automotive Pvt. Ltd.,Ask Automotive Pvt. Ltd.,Ask Automotive,Ask Automotive,Customer
,Assam Air Products Pvt. Ltd.,Assam Air Products Pvt. Ltd.,Assam Air,Assam Air,Customer
,Astik Dyestuff Pvt. Ltd.,Astik Dyestuff Pvt. Ltd.,Astik Dyestuff,Astik Dyestuff,Customer
,Astral India Pvt. Ltd.,Astral India Pvt. Ltd.,Astral,Astral,Customer
,ASV Engineering Pvt. Ltd.,ASV Engineering Pvt. Ltd.,ASV Engineering,ASV Engineering,Customer
,ATA Enterprises,ATA Enterprises,ATA Enterprises,ATA Enterprises,Customer
,ATC Tires Pvt. Ltd.,ATC Tires Pvt. Ltd.,ATC Tires,ATC Tires,Customer
,AT India Autoparts Pvt. Ltd.,AT India Autoparts Pvt. Ltd.,AT India Autoparts,AT India Autoparts,Customer
,Atishay Indenture Pvt. Ltd.,Atishay Indenture Private Limited,Atishay Indenture,Atishay Indenture Pvt. Ltd.,Customer
,Atlantic Maritime Services Pvt. Ltd.,Atlantic Maritime Services Pvt. Ltd.,Atlantic Maritime,Atlantic Maritime,Customer
,Atlantis Agritech Pvt. Ltd.,Atlantis Agritech Pvt. Ltd.,Atlantis Agritech,Atlantis Agritech,Customer
,Atlas Energy,Atlas Energy,Atlas Energy,Atlas Energy,Customer
,Atma,Atma,Atma,Atma,Customer
,Atomberg Technologies Pvt. Ltd.,Atomberg Technologies Pvt. Ltd.,Atomberg,Atomberg,Customer
,Atos Airoli,ATOS AIROLI,ATOS,ATOS,Customer
,Atulya Polypack Pvt. Ltd.,Atulya Polypack Pvt. Ltd.,Atulya Polypack,Atulya Polypack,Customer
,Aura Energy,Aura Energy,Aura Energy,Aura Energy,Customer
,Aurangabad Electricals Ltd.,Aurangabad Electricals Ltd.,Aurangabad Electricals,Aurangabad Electricals,Customer
