Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,L&T Construction,L and T Construction,L&T,L and T,Customer
,L&T Electrical and Automation,L and T Electrical and Automation,L&T,L and T,Customer
,L&T Heavy Civil Structure Ltd.,L and T Heavy Civil Structure Ltd.,L&T,L and T,Customer
,L&T Heavy Enginering,L and T Heavy Enginering,L&T,L and T,Customer
,L&T Infotech Ltd.,L and T Infotech Ltd.,L&T,L and T,Customer
,L&T-MHPS Boilers Pvt. Ltd.,L and T-MHPS Boilers Pvt. Ltd.,L&T,L and T,Customer
,L&T - STEC JV (Mumbai metro),L and T - STEC JV (Mumbai metro),L&T,L and T,Customer
,Langley Apparel India Pvt. Ltd.,Langley Apparel India Pvt. Ltd.,Langley Apparel,Langley Apparel,Customer
,L&T Ltd.,Larsen and Toubro Ltd.,L&T,L and T,Customer
,Lear Corporation,Lear Corporation,Lear Corporation,Lear Corporation,Customer
,LeasePlan India Pvt. Ltd.,LeasePlan India Pvt. Ltd.,LeasePlan India,LeasePlan India,Customer
,Lechler India Pvt. Ltd.,Lechler India Pvt. Ltd.,Lechler,Lechler India,Customer
,LeeBoy India Construction Equipment Pvt. Ltd.,LeeBoy India Construction Equipment Pvt. Ltd.,LeeBoy,LEEBOY Construction,Customer
,Legacy Company,Legacy Company,Legacy Company,Legacy Account,Customer
,Leister Technologies India Pvt. Ltd.,Leister Technologies India Pvt. Ltd.,Leister Technologies,Leister Technologies,Customer
,Lenskart Solutions Pvt. Ltd.,Lenskart Solutions Pvt. Ltd.,Lenskart,Lenskart,Customer
,Leo Earthmovers Pvt. Ltd.,Leo Earthmovers Pvt. Ltd.,Leo Earthmovers,Leo Earthmovers,Customer
,Leo Network Power Systems,Leo Network Power Systems,Leo Network Power,Leo Network Power,Customer
,Libra Drug (India),Libra Drug (India),Libra Drugs,Libra Drugs,Customer
,Linde Engineering,Linde Engineering,Linde,Legacy Account,Customer
,Linde India Pvt. Ltd.,Linde India Pvt. Ltd.,Linde,Linde,Customer
,Link Engineers Pvt. Ltd.,Link Engineers Pvt. Ltd.,Link Engineering,Link Engineering,Customer
,Liugong India Pvt. Ltd.,Liugong India Pvt. Ltd.,Liugong,Liugong India,Customer
,L. K. Machinery India Pvt. Ltd.,L. K. Machinery India Pvt. Ltd.,LK Machinery,L. K. Machinery,Customer
Yes,L.M. Wind Power Blades India Pvt. Ltd.,LM Wind Power,LM Wind Power,LM Wind,Customer
Yes,L.M. Wind Power Blades India Pvt. Ltd.,L.M. Wind Power Blades India Pvt. Ltd.,LM Wind Power,L.M. Wind Power,Customer
,Lodha Xperia Mall,Lodha Xperia Mall,Lodha,Lodha,Customer
,Lokesh Machines Ltd.,Lokesh Machines Ltd.,Lokesh Machines,Lokesh Machines,Customer
,Lona Industries Ltd.,Lona Industries Ltd.,Lona Industries,Lona Industries,Customer
,Lonestar Industries,Lonestar Industries,Lonestar Industries,Lonestar Industries,Customer
,Loreal India Ltd.,Loreal India Ltd.,Loreal,Loreal,Customer
,Lotus Security Hub,Lotus Security Hub,Lotus Security,Lotus Security,Customer
,Lovely Professional University,Lovely Professional University,LPU,Lovely Professional,Customer
,L. P. Gas Engineers and Consultants,L. P. Gas Engineers and Consultants,LP Gas,L. P. Gas,Customer
,L.P.S Services,L.P.S Services,LPS Services,L.P.S Services,Customer
,LSR Speciality Oils Pvt. Ltd.,LSR Speciality Oils Pvt. Ltd.,LSR Speciality Oils,LSR Speciality Oils,Customer
,L&T - MHPS Turbine Generators Pvt. Ltd.,L & T-MHPS Turbine Generators Pvt. Ltd.,L&T,L and T,Customer
,Lucas TVS Ltd.,Lucas TVS Ltd.,Lucas TVS,Lucas TVS,Customer
,Lucky Star Co. Ltd.,Lucky Star Co. Ltd.,Lucky Star,Lucky Star,Customer
,Lumitronic Industries B.V.,Lumitronic Industries B.V.,Lumitronic Industries,Lumitronic,Customer
,Lupin Ltd.,Lupin Ltd.,Lupin,Lupin,Customer
,Luxury Products Trendsetter Pvt. Ltd.,Luxury Products Trendsetter Pvt. Ltd.,Luxury Prod Trends,Luxury Prod Trends,Customer
,M3M India Pvt. Ltd.,M3M India Pvt. Ltd.,M3M,M3M India,Customer
,Macleods Pharmaceuticals Ltd.,Macleods Pharmaceuticals Ltd.,Macleods,Macleods Pharma,Customer
,Macpower CNC Machines Pvt. Ltd.,Macpower CNC Machines Pvt. Ltd.,Macpower,Macpower,Customer
,Madhu Subtronic Components Pvt. Ltd.,Madhu Subtronic Components Pvt. Ltd.,Madhu Subtronic,Madhu Subtronic Components Pvt. Ltd.,Customer
,Madhyachal Steel Pvt. Ltd.,Madhyachal Steel Pvt. Ltd.,Madhyachal Steel,Madhyachal Steel,Customer
,Magal Engineering Tech Pvt. Ltd.,Magal Engineering Tech Pvt. Ltd.,Magal Engg Tech,Magal Engg Tech,Customer
,Magarpatta Clubs and Resorts Pvt. Ltd.,Magarpatta Clubs and Resorts Pvt. Ltd.,Magarpatta Clubs,Magarpatta Clubs,Customer
,Magicbricks Realty Services Ltd.,Magicbricks Realty Services Ltd.,Magicbricks,Magicbricks,Customer
,Magma Steel,Magma Steel,Magma Steel,Magma Steel,Customer
,Magnaflux,Magnaflux,Magnaflux,Magnaflux,Customer
,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,Magnetti Marelli,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,Customer
,Magnetti Marelli Motherson Auto System Pvt. Ltd,Magnetti Marelli Motherson Auto System Pvt. Ltd,Magnetti Marelli,Magnetti Marelli,Customer
,Magotteaux Industries Pvt. Ltd.,Magotteaux Industries Pvt. Ltd.,Magotteaux,Magotteaux,Customer
,Magus Customer Dialog Pvt. Ltd.,Magus Customer Dialog Pvt. Ltd.,Magus,Magus Customer,Customer
,Mahabal Metals Pvt. Ltd.,Mahabal Metals Pvt. Ltd.,Mahabal Metals,Mahabal Metals,Customer
,Mahadev Manufactures,Mahadev Manufactures,Mahadev Manufactures,Mahadev Manufactures,Customer
,Mahaganpati Beverages Pvt. Ltd.,Mahaganpati Beverages Pvt. Ltd.,Mahaganpati Bev,Mahaganpati Bev,Customer
,Mahanagar Gas Ltd.,Mahanagar Gas Ltd.,MGL,MGL,Customer
,Maharashtra Fasteners Pvt. Ltd.,Maharashtra Fasteners Pvt. Ltd.,Maharashtra Fastener,Maharashtra Fastener,Customer
,Maharashtra Natural Gas Ltd.,Maharashtra Natural Gas Ltd.,MNG,"Maharashtra N, Gas",Customer
,Maharashtra Seamless Ltd.,Maharashtra Seamless Ltd.,Maharashtra Seamless,Maharashtra Seamless,Customer
,Mahavir Trading Corporation,Mahavir Trading Corporation,Mahavir Trading,Mahavir Trading,Customer
,Maheshwari Agencies,Maheshwari Agencies,Maheshwari Agencies,Maheshwari Agencies,Customer
,Mahindra and Mahindra Ltd.,Mahindra and Mahindra Ltd.,Mahindra,Mahindra,Customer
,Mahindra and Mahindra Ltd. FES Swaraj Division,Mahindra and Mahindra Ltd. FES Swaraj Division,Mahindra,Mahindra,Customer
,Mahindra Comviva,Mahindra Comviva,Mahindra,Comviva,Customer
,Mahindra Defence Land Systems India Ltd.,Mahindra Defence Land Systems India Ltd.,Mahindra,Mahindra,Customer
,Mahindra Forgings Ltd.,Mahindra Forgings Ltd.,Mahindra,Mahindra,Customer
,Mahindra Gears and Transmissions Pvt. Ltd.,Mahindra Gears and Transmissions Pvt. Ltd.,Mahindra,Mahindra Gears,Customer
,Mahindra Logistics Ltd.,Mahindra Logistics Ltd.,Mahindra,Mahindra,Customer
,Mahindra Retail Ltd,Mahindra Retail Ltd,Mahindra,Mahindra,Customer
,Mahindra Reva Electric Vehicles Ltd.,Mahindra Reva Electric Vehicles Ltd.,Mahindra,Mahindra,Customer
,Mahindra Stiller Auto Trucks Ltd.,Mahindra Stiller Auto Trucks Ltd.,Mahindra,Mahindra Stiller,Customer
,Maini Materials Movement,Maini Materials Movement,Maini Materials,Maini Materials,Customer
,Make and Bake,Make and Bake,Make and Bake,Make and Bake,Customer
,Malhotra Construction,Malhotra Construction,Malhotra Construction,Malhotra Construction,Customer
,Mamata Machinery Pvt. Ltd.,Mamata Machinery Pvt. Ltd.,Mamta Machinery,MAMATA,Customer
,Manas Automotive Systems Ltd.,Manas Automotive Systems Ltd.,Manas Automotive,Manas Automotive,Customer
,Manbras Plastronics Pvt. Ltd.,Manbras Plastronics Pvt. Ltd.,Manbras Plastronics,Manbras Plastronics,Customer
,Mangalam Organics Ltd.,Mangalam Organics Ltd.,Mangalam Organics,Mangalam Organics,Customer
,Mangalore Refinery And Petrochemicals Ltd.,Mangalore Refinery And Petrochemicals Ltd.,Mangalore Refinery,MRPL,Customer
,Manlift India Pvt. Ltd.,Manlift India Pvt. Ltd.,Manlift,Manlift India,Customer
,Manpro Equipments Pvt. Ltd.,Manpro Equipments Pvt. Ltd.,Manpro Equipments,MANPRO,Customer
,Mansons International Pvt. Ltd.,Mansons International Pvt. Ltd.,Mansons,Mansons,Customer
,Marshall Technocast Pvt. Ltd.,Marshall Technocast Pvt. Ltd.,Marshall Technocast,Marshall Technocast,Customer
,Mars International India Pvt. Ltd.,Mars International India Private Limited,Mars International,Mars International India Private Limited,Customer
,Marvel Vinyls Ltd.,Marvel Vinyls Ltd.,Marvel Vinyls,Marvel Vinyls,Customer
,Maschio Gaspardo India Pvt. Ltd.,Maschio Gaspardo India Pvt. Ltd.,Maschio,Maschio,Customer
,MAS Infrapower Projects,MAS Infrapower Projects,MAS Infrapower,MAS Infrapower,Customer
,Mass Machine Tools,Mass Machine Tools,Mass Machine Tools,Mass Machine Tools,Customer
,Master Fluid Solutions India Pvt. Ltd.,Master Fluid Solutions India Pvt. Ltd.,Master Fluid Soln,Master Fluid Soln,Customer
,"Material Organization Karwar, Indian Navy","Material Organization Karwar, Indian Navy",Indian Navy,Indian Navy,Customer
,Material Technology Lab,Material Technology Lab,Material Tech Lab,Material Tech Lab,Customer
,Mathew Associates Hook-Up and Weld Services,Mathew Associates Hook-Up and Weld Services,Mathew Associates,Mathew Associates,Customer
,Matoshree Agro Industries,Matoshree Agro Industries,Matoshree Agro,Matoshree Agro,Customer
,Mavani Engineering and Die Maker,Mavani Engineering and Die Maker,Mavani Engg,Mavani Engg and Die,Customer
,Mavani Engineering Works,Mavani Engineering Works,Mavani Engg,Mavani Engineering,Customer
,Max Hypermarket India Pvt. Ltd.,Max Hypermarket India Pvt. Ltd.,Max Hypermarket,Max Hypermarket,Customer
,Max Machinery and Automation,Max Machinery and Automation,Max Machinery,Max Machinery,Customer
,Max MRO India Pvt. Ltd.,Max MRO India Pvt. Ltd.,Max MRO,Max MRO,Customer
,Max MRO Services Pvt. Ltd.,Max MRO Services Pvt. Ltd.,Max MRO,Max MRO,Customer
,Maxxis Rubber India Pvt. Ltd.,Maxxis Rubber India Pvt. Ltd.,Maxxis Rubber,Maxxis Rubber India,Customer
,Mazagon Dock Shipbuilders Ltd.,Mazagon Dock Shipbuilders Ltd.,Mazagaon Dock,Mazagaon Dock,Customer
,M.B.A. Consulting India Pvt. Ltd.,M.B.A. Consulting India Pvt. Ltd.,MBA Consulting,M.B.A. Consulting,Customer
,McClelland Engineers Pvt. Ltd.,McClelland Engineers Pvt. Ltd.,McClelland Engineers,McClelland Engineers,Customer
,McNally Bharat Engineering Co. Ltd.,McNally Bharat Engineering Co. Ltd.,McNally,McNally,Customer
,MD Electricals,MD Electricals,MD Electricals,MD Elec.,Customer
,MECON Ltd.,MECON Ltd.,MECON,MECON,Customer
,MEC Technology,MEC Technology,MEC Technology,MEC Technology,Customer
,Medicover Healthcare Pvt. Ltd.,Medicover Healthcare Pvt. Ltd.,Medicover,Medicover,Customer
,Medispray Laboratories Pvt. Ltd.,Medispray Laboratories Pvt. Ltd.,Medispray Laboratories,Medispray Lab.,Customer
,Meera Engineering Works,Meera Engineering Works,Meera Engineering,Meera Engineering,Customer
,Meera Metal,Meera Metal,Meera Metal,Meera Metal,Customer
,Meluha - The Fern,Meluha - The Fern,The Fern,Meluha - The Fern,Customer
,MEP International,MEP International,MEP,MEP International,Customer
,Mercator Ltd.,Mercator Ltd.,Mercator,Mercator,Customer
,Merino Industries Ltd.,MERINO INDUSTRIES LIMITED,Merino,MERINO INDUSTRIES LIMITED,Customer
,Metal Blaz (M) SDN BHD,Metal Blaz (M) Sdn Bhd,Metal Blaz,Metal Blaz (M) Sdn Bhd,Customer
,Metal Forms Pvt. Ltd.,Metal Forms Pvt. Ltd.,Metal Forms,Metal Forms,Customer
,Metal Home Engineering,Metal Home Engineering,Metal Home Engineering,Metal Home,Customer
,Metaltech Motor Bodies Pvt. Ltd.,Metaltech Motor Bodies Pvt. Ltd.,Metaltech Motor Body,Metaltech Motor Body,Customer
,Metastar,MetaStar,Metastar,MetaStar,Customer
,Metso India Pvt. Ltd.,Metso India Pvt. Ltd.,Metso,Metso,Customer
,M.H. Enterprises,M.H. Enterprises,MH Enterprises,M.H. Enterprises,Customer
,Miba Drivetec India Pvt. Ltd.,Miba Drivetec India Pvt. Ltd.,Miba Drivetec,Miba Drivetec,Customer
,Michelin India Tamilnadu Tyres Pvt. Ltd.,Michelin India Tamilnadu Tyres Pvt. Ltd.,Michelin,Michelin India,Customer
,Micron Enterprises,Micron Enterprises,Micron Enterprises,Micron Enterprises,Customer
,Midas Safety Pvt. Ltd.,Midas Safety Pvt. Ltd.,Midas,Midas Safety,Customer
,Midland Credit Management India Pvt. Ltd.,Midland Credit Management India Pvt. Ltd.,Midland Credit,Midland Credit,Customer
,Mi Industries India Pvt. Ltd.,Mi Industries India Pvt. Ltd.,Mi Industries,Mi Industries,Customer
,Millennium Motors,Millennium Motors,Millennium Motors,Millennium Motors,Customer
,Minda SAI Ltd.,Minda SAI Ltd.,Minda SAI,Minda SAI,Customer
,Mindz Technology,Mindz Technology,Mindz Technology,Mindz Technology,Customer
,Mineral Exploration Corporation Ltd.,Mineral Exploration Corporation Ltd.,Mineral Exploration,Mineral Exploration,Customer
,Minerva Flavours And Fragrances Pvt. Ltd.,Minerva Flavours And Fragrances Pvt. Ltd.,Minerva Flavours,Minerva Flavours,Customer
,"Ministry of Defence, WESEE","Ministry of Defence, WESEE",Indian Navy,Indian Navy,Customer
,Miracle Enterprises,Miracle Enterprises,Miracle Enterprises,Miracle Enterprises,Customer
,Mirza International Ltd.,Mirza International Ltd.,Mirza International,Mirza International,Customer
,Mita India Pvt. Ltd..,Mita India Pvt. Ltd..,Mita,Mita India,Customer
,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,Mitsubishi Hitachi,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,Customer
,Mittal Corp Ltd.,Mittal Corp Ltd.,Mittal Corp,MITTAL,Customer
,MK LIDE Auto Clutch Industries Pvt. Ltd.,MK LIDE Auto Clutch Industries Pvt. Ltd.,MK LIDE,MK LIDE Auto Clutch,Customer
,MKP Engineers India Pvt. Ltd.,MKP Engineers India Pvt. Ltd.,MKP Engineering,MKP Engineering,Customer
,MNR Marketing LLP,MNR Marketing LLP,MNR,MNR Marketing LLP,Customer
,Modern Display Product Making LLC,Modern Display Product Making LLC,Modern Display,Modern Display Product,Customer
,Modern Transformers Pvt. Ltd.,Modern Transformers Pvt. Ltd.,Modern Transformers,Modern Transformers,Customer
,Mohan Clothing Co. Pvt. Ltd.,Mohan Clothing Co. Pvt. Ltd.,Mohan Clothing,Mohan Clothing,Customer
,Mohan Meakin Ltd.,Mohan Meakin Ltd.,Mohan Meakin,Mohan Meakin,Customer
,Mohsin Bros.,Mohsin Bros.,Mohsin Bros.,Mohsin Bros.,Customer
,Mojj Engineering Systems Ltd.,Mojj Engineering Systems Ltd.,Mojj Engineering,Mojj Engineering,Customer
,Monad University,Monad University,Monad University,Monad University,Customer
,Monarch Self Adhesive Tapes and Foam Pvt. Ltd.,Monarch Self Adhesive Tapes and Foam Pvt. Ltd.,Monarch Adhesive,Monarch Adhesive,Customer
,Mondelez India Foods Pvt. Ltd.,Mondelez India Foods Pvt. Ltd.,Mondelez,Mondelez India Foods,Customer
,Monginis Foods Pvt. Ltd.,Monginis Foods Pvt. Ltd.,Monginis,Monginis,Customer
,Monnet Ispat and Energy Ltd.,Monnet Ispat and Energy Ltd.,Monnet Ispat Energy,Monnet Ispat Energy,Customer
,Monsoon Agro Bio Ltd.,Monsoon Agro Bio Ltd.,Monsoon Agro,Monsoon Agro,Customer
,Montanhydraulik India Pvt. Ltd.,Montanhydraulik India Pvt. Ltd.,Montanhydraulik,Montanhydraulik,Customer
,MOOG Controls India Pvt. Ltd.,MOOG Controls India Pvt. Ltd.,MOOG,MOOG,Customer
,Moon Beverage Ltd.,Moon Beverage Ltd.,Moon Beverage,Moon Beverage,Customer
,Moon Engineering Services,Moon Engineering Services,Moon Engg,Moon Engg Services,Customer
,Moosajee Jevajee Enterprises Pvt. Ltd.,Moosajee Jevajee Enterprises Pvt. Ltd.,Moosajee Jevajee,Moosajee Jevajee,Customer
,More Metals,More Metals,More Metals,More Metals,Customer
,Motherson Sumi Systems Ltd.,Motherson Sumi Systems Ltd.,Motherson Sumi,Motherson Sumi Sys,Customer
,Mott MacDonald Pvt. Ltd.,Mott MacDonald Pvt. Ltd.,Mott MacDonald,Mott MacDonald,Customer
,MP Jain and Co.,MP Jain and Co.,MP Jain,MP Jain and Co.,Customer
,Mr. Abdon M Valladares,Mr. Abdon M Valladares,Abdon M Valladares,Abdon M Valladares,Customer
,MRK Engineers,MRK Engineers,MRK Engineers,MRK,Customer
,MRK Steel Cast,MRK Steel Cast,MRK Steel Cast,MRK Steel Cast,Customer
,MRL Lubricants India Ltd.,MRL Lubricants India Ltd.,MRL Lubricants,MRL Lubricants,Customer
,MRL Tyres Ltd.,MRL Tyres Ltd.,MRL Tyres,MRL Tyres,Customer
,M/S Pikotek,M/S Pikotek,Pikotek,Pikotek,Customer
,MSR India Ltd.,MSR India Ltd.,MSR,MSR India,Customer
,MS Technosys,MS Technosys,MS Technosys,MS Technosys,Customer
,Multi Dimensional Solutions,Multi Dimensional Solutions,Multi Dimension Solutions,Multi Dimension Sol,Customer
,Multitex Filtration Engineers Ltd.,Multitex Filtration Engineers Ltd.,Multitex Engineers,Multitex,Customer
,Multitone Polypack Pvt.Ltd.,Multitone Polypack Pvt.Ltd.,Multitone Polypack,Multitone Polypack,Customer
,Mumbai Port Trust,Mumbai Port Trust,Mumbai Port Trust,Mumbai Port Trust,Customer
,Mundra International Container Terminal Pvt. Ltd.,Mundra International Container Terminal Pvt. Ltd.,DP World,DP World,Customer
,Musashi Auto Parts India Pvt. Ltd.,Musashi Auto Parts India Pvt. Ltd.,Musashi Auto Parts,Musashi Auto Parts,Customer
,Mutual Industries Ltd.,Mutual Industries Ltd.,Mutual Industries,Mutual Industries,Customer
,Muvtons Castors Pvt. Ltd.,Muvtons Castors Pvt. Ltd.,Muvtons Castors,Muvtons Castors,Customer
,Mylan,Mylan,Mylan,Mylan,Customer
,Mylo Industries Pvt. Ltd.,Mylo Industries Pvt. Ltd.,Mylo Industries,Mylo Industries,Customer
,Myntra Jabong India Pvt. Ltd.,Myntra Jabong India Pvt. Ltd.,Myntra,Myntra Jabong India,Customer
,NADI Airtechnics Pvt. Ltd.,NADI Airtechnics Pvt. Ltd.,NADI,NADI Airtechnics,Customer
,Nagesh Enterprise,Nagesh Enterprise,Nagesh Enterprise,Nagesh Enterprise,Customer
,Nagpur Boring Works,Nagpur Boring Works,Nagpur Boring Works,Nagpur Boring Works,Customer
,Najath Trading and Contracting,Najath Trading and Contracting,Najath Trading,Najath Trading,Customer
,NALCO Water India Ltd.,Nalco Water India Ltd.,NALCO,Nalco Water India,Customer
,Narendra International,Narendra International,Narendra International,Narendra,Customer
,Narinder Mohan Hospital and Heart Centre,Narinder Mohan Hospital and Heart Centre,Narender Mohan Hospital,Narender Mohan Hosp,Customer
,Naryara Energy Ltd,Naryara Energy Ltd,Naryara Energy,Naryara Energy,Customer
,Natco Pharma Ltd,Natco Pharma Ltd,Natco Pharma,Natco Pharma,Customer
,National Academy of Agricultural Sciences (NAAS),National Academy of Agricultural Sciences (NAAS),NAAS,NAAS,Customer
,National Aluminium Co. Ltd.,National Aluminium Co. Ltd.,NALCO,National Aluminium,Customer
,National Bureau of Plant Genetic Resources,National Bureau of Plant Genetic Resources,National Bureau-Plant Genetic,National Bureau Res.,Customer
,National Cold Tyre,National Cold Tyre,National Cold Tyre,National Cold Tyre,Customer
Yes,National Fertilizer Ltd.,National Fertilizer Ltd.,National Fertilizer,National Fertilizer,Customer
Yes,National Fertilizer Ltd.,National Fertilizers Limited,National Fertilizer,National Fertilizers Limited,Customer
,National Hydroelectric Power Corporation Ltd.,National Hydroelectric Power Corporation Ltd.,NHPC,NHPC Ltd.,Customer
,National Informatics Center,National Informatics Center,NIC,NIC,Customer
,National Institute of Technology Delhi,National Institute of Technology Delhi,NIT,NIT,Customer
,National Institute of Technology Hamirpur,National Institute of Technology Hamirpur,NIT,NIT,Customer
,National Research Centre For Grapes,National Research Centre For Grapes,NRCGrapes,NRCGrapes,Customer
,Natural Ice Cream,Natural Ice Cream,Natural Ice Cream,Natural Ice Cream,Customer
,Naval Armament Depot,Naval Armament Depot,Indian Navy,Indian Navy,Customer
,"Naval Dockyard, Lion Gate","Naval Dockyard, Lion Gate",Indian Navy,Indian Navy,Customer
,"Naval Dockyard, Visakhapatnam","Naval Dockyard, Visakhapatnam",Indian Navy,Indian Navy,Customer
,Nayara Energy Ltd.,Nayara Energy Ltd.,Nayara Energy,Nayara Energy,Customer
,Neeky Enterprise,Neeky Enterprise,Neeky Enterprise,Neeky Enterprise,Customer
,Neelyog Engineers,Neelyog Engineers,Neelyog Engineers,Neelyog Engineers,Customer
,Neosym Industry Ltd.,Neosym Industry Ltd.,Neosym,Neosym Industries,Customer
,Nepa Mills Ltd.,Nepa Mills Ltd.,Nepa Mills,Nepa Mills,Customer
,Netsol Water Solutions Pvt. Ltd.,Netsol Water Solutions Pvt. Ltd.,Netsol,Netsol Water Soln,Customer
,Neutrik India Pvt. Ltd.,Neutrik India Pvt. Ltd.,Neutrik,Neutrik India,Customer
,New Delhi Television Ltd,New Delhi Television Ltd,NDTV,New Delhi Television,Customer
,New Era Investment Foundry,New Era Investment Foundry,New Era Investment,New Era Investment,Customer
,New Horizons,New Horizons,New Horizons,New Horizons,Customer
,Nexthermal Mfg. India Pvt. Ltd.,Nexthermal Mfg. India Pvt. Ltd.,Nexthermal Mfg.,Nexthermal Mfg.,Customer
,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,Nhava Sheva,Nhava Sheva,Customer
,Nhava Sheva International Container Terminal Pvt. Ltd.,Nhava Sheva International Container Terminal Pvt. Ltd.,Nhava Sheva,Nhava Sheva,Customer
,Nicomet Industries Ltd.,Nicomet Industries Ltd.,Nicomet,Nicomet,Customer
,Nidhi Auto Pvt. Ltd.,Nidhi Auto Pvt. Ltd.,Nidhi Auto,Nidhi Auto,Customer
,Nijanand Pipes and Fittings Pvt. Ltd.,Nijanand Pipes and Fittings Pvt. Ltd.,Nijanand Pipes,Nijanand Pipes,Customer
,Nilkamal Ltd.,Nilkamal Ltd.,Nilkamal,Nilkamal Ltd.,Customer
,Nimbus Harbor,Nimbus Harbor,Nimbus Harbor,Nimbus Harbor,Customer
,Nirmal Trading,Nirmal Trading,Nirmal Trading,Nirmal Trading,Customer
,Nirman Enconprojects Pvt. Ltd.,Nirman Enconprojects Pvt. Ltd.,Nirman Enconprojects,Nirman Enconprojects,Customer
,Nishan Chemical Industries,Nishan chemical industries,Nishan Chemical,Nishan Chemical,Customer
,Nitrotech Engineering Services,Nitrotech Engineering Services,Nitrotech Engg,Nitrotech Engg,Customer
,Nitson and Amitsu,Nitson And Amitsu,Nitson And Amitsu,Nitson And Amitsu,Customer
,Nivea India Pvt. Ltd.,Nivea India Pvt. Ltd.,Nivea,Nivea India,Customer
,NN Combined Engineering Agencies Pvt. Ltd.,NN Combined Engineering Agencies Pvt. Ltd.,NN Combined Engg,NN Combined Engg,Customer
,Noble Plastic Industries,Noble Plastic Industries,Noble Plastic,Noble Plastic,Customer
,NOCIL Ltd.,Nocil Ltd.,NOCIL,Nocil Ltd.,Customer
,Nova Technocast Pvt. Ltd.,Nova Technocast Pvt. Ltd.,Nova Technocast,Nova Technocast,Customer
,Novateur Electrical and Digital Systems Pvt. Ltd.,Novateur Electrical and Digital Systems Pvt. Ltd.,Novateur Electrical,Novateur Electrical,Customer
,N. R. Enterprises,N. R. Enterprises,NR Enterprises,N. R. Enterprises,Customer
,NS Instruments India Pvt. Ltd.,NS Instruments India Pvt. Ltd.,NS Instruments,NS Instruments,Customer
,NSK ABC Bearings Ltd.,NSK ABC Bearings Ltd.,NSK Bearings,NSK ABC,Customer
,NSW India Ltd.,NSW India Ltd.,NSW,NSW India Ltd.,Customer
,NTPC Ltd.,NTPC Ltd.,NTPC,NTPC Ltd.,Customer
,Nuberg Engineering Ltd.,Nuberg Engineering Ltd.,Nuberg Engg,Nuberg Engg,Customer
,Nuclear Power Corporation India Ltd.,Nuclear Power Coporation India Ltd.,Nuclear Power Corp,Nuclear Power,Customer
,Nugreen Building Technologies Pvt. Ltd.,Nugreen Building Technologies Pvt. Ltd.,Nugreen Technologies,Nugreen Technologies,Customer
,Nupros Engineering,Nupros Engineering,Nupros Engineering,Nupros Engineering,Customer
,Nutech Print Services India,Nutech Print Services India,Nutech,Nutech Print,Customer
,Nuvision Instrumentation Solutions Pvt. Ltd.,Nuvision Instrumentation Solutions Pvt. Ltd.,Nuvision Instrumentation,Nuvision Instrumentation,Customer
,NXP India Pvt. Ltd.,NXP India Pvt. Ltd.,NXP,NXP India Pvt. Ltd.,Customer
,OAG Group of Companies,OAG Group of Companies,OAG Group,OAG Group,Customer
,Oblum Electrical Industries Pvt. Ltd.,Oblum Electrical Industries Pvt. Ltd.,Oblum Electrical,Oblum Electrical,Customer
,Odisha Power Generation Corp. Ltd.,Odisha Power Generation Corp. Ltd.,Odisha Power Generation,Odisha Power Generation,Customer
,Oerlikon Balzers Coating India Pvt. Ltd.,Oerlikon Balzers Coating India Pvt. Ltd.,Oerlikon,Oerlikon,Customer
,Oerlikon Fairfield Atlas Ltd.,Oerlikon Fairfield Atlas Ltd.,Oerlikon,Oerlikon,Customer
,Oerlikon Friction Systems India Ltd.,Oerlikon Friction Systems India Ltd.,Oerlikon,Oerlikon,Customer
,Oerlikon India,Oerlikon India,Oerlikon,Oerlikon,Customer
,Oerlikon Textile India Pvt. Ltd.,Oerlikon Textile India Pvt. Ltd.,Oerlikon,Oerlikon,Customer
,Offshore Infrastructures Ltd.,Offshore Infrastructures Ltd.,Offshore Infra,Offshore Infra,Customer
,Oil and Natural Gas Corporation Ltd.,Oil and Natural Gas Corporation Ltd.,ONGC,ONGC,Customer
,Oil India Ltd.,Oil India Ltd.,OIL,Oil India,Customer
,Oil States Industries India Pvt. Ltd.,Oil States Industries India Pvt. Ltd.,Oil States Industry,Oil States Industry,Customer
,Ojas Enterprises,Ojas Enterprises,Ojas Enterprises,Ojas Enterprises,Customer
,Okay Industries,Okay Industries,Okay Industries,Okay Industries,Customer
,Olam Agro India Pvt. Ltd.,Olam Agro India Pvt. Ltd.,Olam,Olam Agro India,Customer
,Olx India Pvt Ltd,Olx India Pvt Ltd,Olx,Olx India Pvt Ltd,Customer
,Olympeo Riverside Projects LLP,Olympeo Riverside Projects LLP,Olympeo Riverside,Olympeo Riverside,Customer
